method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PI-NSGA-II,Airy,1,0.0304355131,0.0002486553,5,1
PI-NSGA-II,Airy,1,1.0279351333,0.0000000000,2,1
PI-NSGA-II,Airy,1,0.1517776272,0.0792823013,2,1
PI-NSGA-II,Airy,1,1.0279351333,0.0000000000,2,1
PI-NSGA-II,Airy,1,0.0303717548,0.0002788149,5,1
PI-NSGA-II,Airy,1,0.1394905516,0.0395947369,1,1
PI-NSGA-II,Airy,1,0.2058160586,0.0515193607,1,1
PI-NSGA-II,Airy,1,1.0279351333,0.0000000000,2,1
PI-NSGA-II,Airy,1,0.2054831744,0.0518661680,2,1
PI-NSGA-II,Airy,1,0.2053754612,0.0519807820,1,1
PI-NSGA-II,Airy,1,0.2055499791,0.0517956806,2,1
PI-NSGA-II,Airy,1,0.0304047112,0.0002620149,5,1
PI-NSGA-II,Airy,1,0.0484270772,0.0023750726,4,1
PI-NSGA-II,Airy,1,0.0484346335,0.0023415495,4,1
PI-NSGA-II,Airy,1,0.1431258033,0.0606880417,2,1
PI-NSGA-II,Airy,1,0.1517776272,0.0792823013,2,1
PI-NSGA-II,Airy,1,0.1111233676,0.0093360902,3,1
PI-NSGA-II,Airy,1,0.1114323973,0.0090217738,3,1
PI-NSGA-II,Airy,1,0.1111844460,0.0092728493,3,1
PI-NSGA-II,Airy,1,0.1394905516,0.0395947369,1,1
PI-NSGA-II,Airy,1,0.1394905516,0.0395947369,1,1
PI-NSGA-II,Airy,1,0.2055315967,0.0518150311,1,1
PI-NSGA-II,Airy,1,0.1431258033,0.0606880417,2,1
PI-NSGA-II,Airy,1,0.1394905516,0.0395947369,1,1
PI-NSGA-II,Airy,1,0.0484586342,0.0022687809,4,1
PI-NSGA-II,Airy,1,0.1112293962,0.0092266657,3,1
PI-NSGA-II,Airy,1,0.1431258033,0.0606880417,2,1
PI-NSGA-II,Airy,1,0.2056064020,0.0517364989,2,1
PI-NSGA-II,Airy,1,0.0484216531,0.0024087681,4,1
PI-NSGA-II,Airy,1,0.1114045597,0.0090495211,3,1
PI-NSGA-II,Airy,1,0.1111806399,0.0092767737,3,1
PI-NSGA-II,Airy,1,0.2056816818,0.0516580342,2,1
PI-NSGA-II,Airy,1,0.2062496611,0.0510836175,2,1
PI-NSGA-II,Airy,1,0.2055160835,0.0518313880,2,1
PI-NSGA-II,Airy,1,0.2054872233,0.0518618830,2,1
PI-NSGA-II,Airy,1,0.1112579523,0.0091974819,3,1
PI-NSGA-II,Airy,1,0.2055680930,0.0517766461,2,1
PI-NSGA-II,Airy,1,0.1112344600,0.0092214818,3,1
PI-NSGA-II,Airy,1,0.2056086072,0.0517341924,2,1
PI-NSGA-II,Airy,1,0.2057001480,0.0516388726,2,1
PI-NSGA-II,Airy,1,0.2341519958,0.0394995859,2,1
PI-NSGA-II,Airy,1,0.1060205281,0.0195883592,3,1
PI-NSGA-II,Airy,1,0.1076310001,0.0144149764,3,1
PI-NSGA-II,Airy,1,0.2164982888,0.0441842574,2,1
PI-NSGA-II,Airy,1,0.2151394784,0.0448332594,2,1
PI-NSGA-II,Airy,1,0.1065196643,0.0174093736,3,1
PI-NSGA-II,Airy,1,0.2269466507,0.0407490438,2,1
PI-NSGA-II,Airy,1,0.1061280570,0.0190234226,3,1
PI-NSGA-II,Airy,1,0.2112765612,0.0470471408,1,1
PI-NSGA-II,Airy,1,0.1063133000,0.0181931211,3,1
PI-NSGA-II,Airy,1,0.2219156053,0.0421077075,2,1
PI-NSGA-II,Airy,1,0.1073282328,0.0150974209,3,1
PI-NSGA-II,Airy,1,0.1082852249,0.0131428334,3,1
PI-NSGA-II,Airy,1,0.2137792246,0.0455456958,2,1
PI-NSGA-II,Airy,1,0.2155079062,0.0446513844,1,1
PI-NSGA-II,Airy,1,0.0567050538,0.0003101331,4,1
PI-NSGA-II,Airy,1,0.2261164387,0.0409420037,2,1
PI-NSGA-II,Airy,1,0.2248228882,0.0412659980,1,1
PI-NSGA-II,Airy,1,0.2117521874,0.0467407311,2,1
PI-NSGA-II,Airy,1,0.2358057693,0.0393061424,2,1
PI-NSGA-II,Airy,1,0.0498651079,0.0013543426,4,1
PI-NSGA-II,Airy,1,0.2272986742,0.0406706170,2,1
PI-NSGA-II,Airy,1,0.2441029830,0.0387562263,2,1
PI-NSGA-II,Airy,1,0.0487215399,0.0019281404,4,1
PI-NSGA-II,Airy,1,0.2330126695,0.0396514208,1,1
PI-NSGA-II,Airy,1,0.0616975542,0.0000701809,4,1
PI-NSGA-II,Airy,1,0.1080266984,0.0136175224,3,1
PI-NSGA-II,Airy,1,0.2196624834,0.0428822104,2,1
PI-NSGA-II,Airy,1,0.1118410559,0.0086265806,3,1
PI-NSGA-II,Airy,1,0.2161373307,0.0443509262,2,1
PI-NSGA-II,Airy,1,0.1124623612,0.0080657490,3,1
PI-NSGA-II,Airy,1,0.2286066277,0.0403962092,2,1
PI-NSGA-II,Airy,1,0.1113926202,0.0090614554,3,1
PI-NSGA-II,Airy,1,0.0523488894,0.0007863038,4,1
PI-NSGA-II,Airy,1,0.1290876883,0.0011260819,3,1
PI-NSGA-II,Airy,1,0.2129448241,0.0460170027,2,1
PI-NSGA-II,Airy,1,0.2281784650,0.0404831478,1,1
PI-NSGA-II,Airy,1,0.1163081757,0.0053746706,3,1
PI-NSGA-II,Airy,1,0.2199104832,0.0427912029,2,1
PI-NSGA-II,Airy,1,0.2120754592,0.0465384236,2,1
PI-NSGA-II,Airy,1,0.1205880127,0.0033846692,3,1
PI-NSGA-II,Airy,1,0.2187631952,0.0432249927,1,1
PI-NSGA-II,Airy,1,0.0516372119,0.0009111064,4,1
PI-NSGA-II,Airy,1,0.1128371792,0.0077483598,3,1
PI-NSGA-II,Airy,1,0.1145253214,0.0064817203,3,1
PI-NSGA-II,Airy,1,0.1347047121,0.0003884710,3,1
PI-NSGA-II,Airy,1,0.1084539092,0.0128497659,3,1
PI-NSGA-II,Airy,1,0.2324450561,0.0397329780,1,1
PI-NSGA-II,Airy,1,0.2114014508,0.0469656516,1,1
PI-NSGA-II,Airy,1,0.2133875811,0.0457634994,1,1
PI-NSGA-II,Airy,1,0.1139503611,0.0068859600,3,1
PI-NSGA-II,Airy,1,0.1159428540,0.0055852889,3,1
PI-NSGA-II,Airy,1,0.2420745817,0.0388317382,2,1
PI-NSGA-II,Airy,1,0.2252796889,0.0411482420,1,1
PI-NSGA-II,Airy,1,0.2392845190,0.0389953915,1,1
PI-NSGA-II,Airy,1,0.2115691533,0.0468573909,2,1
PI-NSGA-II,Airy,1,0.1077723809,0.0141190640,3,1
PI-NSGA-II,Airy,1,0.1135753227,0.0071640632,3,1
PI-NSGA-II,Airy,1,0.1200272617,0.0036029475,3,1
PI-NSGA-II,Airy,1,0.2128052040,0.0460985916,2,1
PI-NSGA-II,Airy,1,0.1184417885,0.0042836792,3,1
PI-NSGA-II,Airy,1,0.2148599832,0.0449742925,2,1
PI-NSGA-II,Airy,1,0.0490612959,0.0016970983,4,1
PI-NSGA-II,Airy,1,0.1091592436,0.0117414592,3,1
PI-NSGA-II,Airy,1,0.2189781274,0.0431412080,1,1
PI-NSGA-II,Airy,1,0.2258358467,0.0410098222,2,1
PI-NSGA-II,Airy,1,0.1104889380,0.0100285323,3,1
PI-NSGA-II,Airy,1,0.1232359448,0.0024892136,3,1
