method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,19.4095112149,0.7225184576,1,1
PI-NSGA-II,Bratu,2,13.8592462497,0.5912462315,2,1
PI-NSGA-II,Bratu,2,13.2123167528,0.5907878044,6,1
PI-NSGA-II,Bratu,2,13.2145374632,0.5900462388,6,1
