method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PI-NSGA-II,Duffing,2,0.3601534401,0.0012604439,6,1
PI-NSGA-II,Duffing,2,0.1469411724,0.0041784952,4,1
PI-NSGA-II,Duffing,2,2.2198957518,0.0820323696,1,1
PI-NSGA-II,Duffing,2,0.4818844131,0.0000000000,4,1
PI-NSGA-II,Duffing,2,2.4883850298,0.1213240816,2,1
PI-NSGA-II,Duffing,2,2.8137873467,0.0500383183,3,1
PI-NSGA-II,Duffing,2,0.4818844131,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.1469411724,0.0041784952,4,1
PI-NSGA-II,Duffing,2,2.4883850298,0.1213240816,2,1
PI-NSGA-II,Duffing,2,2.7944531934,0.0497705385,3,1
PI-NSGA-II,Duffing,2,2.8137873467,0.0500383183,3,1
PI-NSGA-II,Duffing,2,2.2208980025,0.0822439527,2,1
PI-NSGA-II,Duffing,2,0.2220410765,0.0027546094,5,1
PI-NSGA-II,Duffing,2,2.2201222204,0.0820811186,1,1
PI-NSGA-II,Duffing,2,2.2222020710,0.0825049701,2,1
PI-NSGA-II,Duffing,2,2.4883850298,0.1213240816,2,1
PI-NSGA-II,Duffing,2,0.2220410765,0.0027546094,5,1
PI-NSGA-II,Duffing,2,0.3601534401,0.0012604439,6,1
PI-NSGA-II,Duffing,2,2.4883850298,0.1213240816,2,1
PI-NSGA-II,Duffing,2,2.2196846280,0.0765673676,3,1
PI-NSGA-II,Duffing,2,0.4818844131,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.3601534401,0.0012604439,6,1
PI-NSGA-II,Duffing,2,0.2220410765,0.0027546094,5,1
PI-NSGA-II,Duffing,2,2.4883850298,0.1213240816,2,1
PI-NSGA-II,Duffing,2,0.1469411724,0.0041784952,4,1
PI-NSGA-II,Duffing,2,0.4818844131,0.0000000000,4,1
PI-NSGA-II,Duffing,2,2.2208486909,0.0822337831,3,1
PI-NSGA-II,Duffing,2,0.1469411724,0.0041784952,4,1
PI-NSGA-II,Duffing,2,0.2220410765,0.0027546094,5,1
PI-NSGA-II,Duffing,2,0.2220410765,0.0027546094,5,1
PI-NSGA-II,Duffing,2,2.2208164737,0.0822271262,2,1
PI-NSGA-II,Duffing,2,0.3601534401,0.0012604439,6,1
PI-NSGA-II,Duffing,2,2.2203910262,0.0821382468,3,1
PI-NSGA-II,Duffing,2,2.8137873467,0.0500383183,3,1
PI-NSGA-II,Duffing,2,2.2211970256,0.0823051268,2,1
PI-NSGA-II,Duffing,2,2.2176868391,0.0815209101,3,1
PI-NSGA-II,Duffing,2,2.2244516494,0.0829252249,3,1
PI-NSGA-II,Duffing,2,2.2765897795,0.0734644766,1,1
PI-NSGA-II,Duffing,2,2.2321612565,0.0753239777,3,1
PI-NSGA-II,Duffing,2,2.2151591476,0.0774002521,2,1
PI-NSGA-II,Duffing,2,2.2175342601,0.0769075576,2,1
PI-NSGA-II,Duffing,2,2.2332572833,0.0752454198,1,1
PI-NSGA-II,Duffing,2,2.2819521235,0.0733396801,3,1
PI-NSGA-II,Duffing,2,2.2306559251,0.0754373387,2,1
PI-NSGA-II,Duffing,2,2.2147297300,0.0806647582,1,1
PI-NSGA-II,Duffing,2,2.2181698806,0.0767993578,3,1
PI-NSGA-II,Duffing,2,2.2153316202,0.0808647188,2,1
PI-NSGA-II,Duffing,2,2.2290776360,0.0755637806,3,1
PI-NSGA-II,Duffing,2,2.2192285626,0.0766338663,3,1
PI-NSGA-II,Duffing,2,2.2123453294,0.0793851854,2,1
PI-NSGA-II,Duffing,2,2.2550273739,0.0741257655,3,1
PI-NSGA-II,Duffing,2,2.2360756706,0.0750569363,1,1
PI-NSGA-II,Duffing,2,2.2245749918,0.0759783617,3,1
PI-NSGA-II,Duffing,2,2.2591561399,0.0739749016,3,1
PI-NSGA-II,Duffing,2,2.2277503140,0.0756769296,2,1
PI-NSGA-II,Duffing,2,2.2184920940,0.0817158631,3,1
PI-NSGA-II,Duffing,2,2.2124175769,0.0794704182,1,1
PI-NSGA-II,Duffing,2,2.2227732579,0.0826149520,3,1
PI-NSGA-II,Duffing,2,2.2510813408,0.0742838818,3,1
PI-NSGA-II,Duffing,2,2.2535397430,0.0741836677,3,1
PI-NSGA-II,Duffing,2,2.2739543074,0.0735306835,3,1
PI-NSGA-II,Duffing,2,2.2702490829,0.0736297237,3,1
PI-NSGA-II,Duffing,2,2.2141479927,0.0776824794,3,1
PI-NSGA-II,Duffing,2,2.2173882787,0.0814455990,1,1
PI-NSGA-II,Duffing,2,2.2427586043,0.0746725536,1,1
PI-NSGA-II,Duffing,2,2.2181423762,0.0816325658,2,1
PI-NSGA-II,Duffing,2,2.2190194348,0.0818379003,1,1
PI-NSGA-II,Duffing,2,2.2167816667,0.0812866667,2,1
PI-NSGA-II,Duffing,2,2.2158173655,0.0810140183,2,1
PI-NSGA-II,Duffing,2,2.2521469976,0.0742397239,1,1
PI-NSGA-II,Duffing,2,2.2294214755,0.0755355214,3,1
PI-NSGA-II,Duffing,2,2.2148089889,0.0774907084,2,1
PI-NSGA-II,Duffing,2,2.2143715110,0.0805356137,1,1
PI-NSGA-II,Duffing,2,2.2143728678,0.0776136242,1,1
PI-NSGA-II,Duffing,2,2.2238717629,0.0760521785,3,1
PI-NSGA-II,Duffing,2,2.2374369431,0.0749721002,3,1
PI-NSGA-II,Duffing,2,2.2477169307,0.0744310665,3,1
PI-NSGA-II,Duffing,2,2.2599348556,0.0739479559,3,1
PI-NSGA-II,Duffing,2,2.2485128407,0.0743951286,1,1
PI-NSGA-II,Duffing,2,2.2175782486,0.0814937239,2,1
PI-NSGA-II,Duffing,2,2.2139838819,0.0777355779,2,1
PI-NSGA-II,Duffing,2,2.2471965085,0.0744549607,2,1
PI-NSGA-II,Duffing,2,2.2459106248,0.0745153913,1,1
PI-NSGA-II,Duffing,2,2.2494524787,0.0743536131,1,1
PI-NSGA-II,Duffing,2,2.2137660066,0.0802931428,1,1
PI-NSGA-II,Duffing,2,2.2714131501,0.0735978253,3,1
PI-NSGA-II,Duffing,2,2.2145979581,0.0775486031,1,1
PI-NSGA-II,Duffing,2,2.2691901599,0.0736593898,2,1
PI-NSGA-II,Duffing,2,2.2728212818,0.0735602068,3,1
PI-NSGA-II,Duffing,2,2.2414353543,0.0747427168,2,1
PI-NSGA-II,Duffing,2,2.2648407815,0.0737881175,1,1
PI-NSGA-II,Duffing,2,2.2161899495,0.0811226945,1,1
PI-NSGA-II,Duffing,2,2.2223788144,0.0825392639,2,1
PI-NSGA-II,Duffing,2,2.2140114403,0.0803957762,1,1
PI-NSGA-II,Duffing,2,2.2223042792,0.0762281721,3,1
PI-NSGA-II,Duffing,2,2.2620295140,0.0738776770,2,1
PI-NSGA-II,Duffing,2,2.2165378159,0.0812202652,3,1
PI-NSGA-II,Duffing,2,2.2159910407,0.0810652513,3,1
PI-NSGA-II,Duffing,2,2.2440950343,0.0746042759,2,1
PI-NSGA-II,Duffing,2,2.2378659446,0.0749461233,3,1
PI-NSGA-II,Duffing,2,2.2135197619,0.0801825303,1,1
PI-NSGA-II,Duffing,2,2.2411483154,0.0747582895,1,1
PI-NSGA-II,Duffing,2,2.2448672606,0.0745659430,2,1
PI-NSGA-II,Duffing,2,2.2205539953,0.0821725095,1,1
PI-NSGA-II,Duffing,2,2.2142609893,0.0804938797,2,1
PI-NSGA-II,Duffing,2,2.2389364806,0.0748827991,1,1
PI-NSGA-II,Duffing,2,2.2186080715,0.0767288193,2,1
PI-NSGA-II,Duffing,2,2.2218515160,0.0824362248,3,1
PI-NSGA-II,Duffing,2,2.2258858008,0.0758480751,3,1
PI-NSGA-II,Duffing,2,2.2433584234,0.0746415979,2,1
