gen,best_mse_domain,best_mse_boundary,best_total_mse
0,0,0,0.0024017
1,0,0,0.0024017
2,0,0,0.0024017
3,0,0,0.0024017
4,0,0,0.0024017
5,0,0,0.0024017
6,0,0,0.0024017
7,0,0,0.0024017
8,0,0,0.0024017
9,0,0,0.0024017
10,0,0,0.0024017
11,0,0,0.0024017
12,0,0,0.0024017
13,0,0,0.0024017
14,0,0,0.0024017
15,0,0,0.0024017
16,0,0,0.0024017
17,0,0,0.0024017
18,0,0,0.0024017
19,0,0,0.0024017
20,0,0,0.0024017
21,0,0,0.0024017
22,0,0,0.0024017
23,0,0,0.0024017
24,0,0,0.0024017
25,0,0,0.0024017
26,0,0,0.0024017
27,0,0,0.0024017
28,0,0,0.0024017
29,0,0,0.0024017
30,0,0,0.0024017
31,0,0,0.0024017
32,0,0,0.0024017
33,0,0,0.0024017
34,0,0,0.0024017
35,0,0,0.0024017
36,0,0,0.0024017
37,0,0,0.0024017
38,0,0,0.0024017
39,0,0,0.0024017
40,0,0,0.0024017
41,0,0,0.0024017
42,0,0,0.0024017
43,0,0,0.0024017
44,0,0,0.0024017
45,0,0,0.0024017
46,0,0,0.0024017
47,0,0,0.0024017
48,0,0,0.0024017
49,0,0,0.0024017
50,0,0,0.0024017
51,0,0,0.0024017
52,0,0,0.0024017
53,0,0,0.0024017
54,0,0,0.0024017
55,0,0,0.0024017
56,0,0,0.00226884
57,0,0,0.00106486
58,0,0,0.00106486
59,0,0,0.00106486
60,0,0,0.00106477
61,0,0,0.00103942
62,0,0,0.00103942
63,0,0,0.00103942
64,0,0,0.00103161
65,0,0,0.00102332
66,0,0,0.00102332
67,0,0,0.00102325
68,0,0,0.00102325
69,0,0,0.00102325
70,0,0,0.00102325
71,0,0,0.00102325
72,0,0,0.00102325
73,0,0,0.00102325
74,0,0,0.00102325
75,0,0,0.00102325
76,0,0,0.00102325
77,0,0,0.00102325
78,0,0,0.00102325
79,0,0,0.00102325
80,0,0,0.00102325
81,0,0,0.00102325
82,0,0,0.00102325
83,0,0,0.00102325
84,0,0,0.00102325
85,0,0,0.000980231
86,0,0,0.000980231
87,0,0,0.000980231
88,0,0,0.000980231
89,0,0,0.000980231
90,0,0,0.000980231
91,0,0,0.000980231
92,0,0,0.000980231
93,0,0,0.000980231
94,0,0,0.000980231
95,0,0,0.000980231
96,0,0,0.000980231
97,0,0,0.000980231
98,0,0,0.000980231
99,0,0,0.000980231
100,0,0,0.000980231
101,0,0,0.000980231
102,0,0,0.000980231
103,0,0,0.000980231
104,0,0,0.000980231
105,0,0,0.000717067
106,0,0,0.000717067
107,0,0,0.000717067
108,0,0,0.000716974
109,0,0,0.000716974
110,0,0,0.000716974
111,0,0,0.000716974
112,0,0,0.000716974
113,0,0,0.000716974
114,0,0,0.000716974
115,0,0,0.000716974
116,0,0,0.000716974
117,0,0,0.000716974
118,0,0,0.000716974
119,0,0,0.000716901
120,0,0,0.000716901
121,0,0,0.000716901
122,0,0,0.000716901
123,0,0,0.000716901
124,0,0,0.000716901
125,0,0,0.000716901
126,0,0,0.000716901
127,0,0,0.000716901
128,0,0,0.000716901
129,0,0,0.000716901
130,0,0,0.000716607
131,0,0,0.000716607
132,0,0,0.000716607
133,0,0,0.000716607
134,0,0,0.000716607
135,0,0,0.000716607
136,0,0,0.000716607
137,0,0,0.000716607
138,0,0,0.000716607
139,0,0,0.000716607
140,0,0,0.000716607
141,0,0,0.000716571
142,0,0,0.000716571
143,0,0,0.000716571
144,0,0,0.000716571
145,0,0,0.000716571
146,0,0,0.000716571
147,0,0,0.000716571
148,0,0,0.000716497
149,0,0,0.000716497
150,0,0,0.000716497
151,0,0,0.000716497
152,0,0,0.000716497
153,0,0,0.000716497
154,0,0,0.000716497
155,0,0,0.000716497
156,0,0,0.000716497
157,0,0,0.000716497
158,0,0,0.000716497
159,0,0,0.000716497
160,0,0,0.000716497
161,0,0,0.000716497
162,0,0,0.000716497
163,0,0,0.000716497
164,0,0,0.000528232
165,0,0,0.000524712
166,0,0,0.000524712
167,0,0,0.000524594
168,0,0,0.000524067
169,0,0,0.000524067
170,0,0,0.000524067
171,0,0,0.000524067
172,0,0,0.000522935
173,0,0,0.000522935
174,0,0,0.000522935
175,0,0,0.000522935
176,0,0,0.000371409
177,0,0,0.000371409
178,0,0,0.000351466
179,0,0,0.000351466
180,0,0,0.000351466
181,0,0,0.000351466
182,0,0,0.000351466
183,0,0,0.000351466
184,0,0,0.000351466
185,0,0,0.000351466
186,0,0,0.000351466
187,0,0,0.000351466
188,0,0,0.000351466
189,0,0,0.000351466
190,0,0,0.000351466
191,0,0,0.000351466
192,0,0,0.000351466
193,0,0,0.000351466
194,0,0,0.000351466
195,0,0,0.000351466
196,0,0,0.000351466
197,0,0,0.000351466
198,0,0,0.000351466
199,0,0,0.000351466
200,0,0,0.000351466
201,0,0,0.000351466
202,0,0,0.000351466
203,0,0,0.000351251
204,0,0,0.000351251
205,0,0,0.000351251
206,0,0,0.000351251
207,0,0,0.000351251
208,0,0,0.000351251
209,0,0,0.000351251
210,0,0,0.000351251
211,0,0,0.000351251
212,0,0,0.000351251
213,0,0,0.000351251
214,0,0,0.000351251
215,0,0,0.000351251
216,0,0,0.000351251
217,0,0,0.000351251
218,0,0,0.000351251
219,0,0,0.000351251
220,0,0,0.000351251
221,0,0,0.000351251
222,0,0,0.000351251
223,0,0,0.000351251
224,0,0,0.000351251
225,0,0,0.000351251
226,0,0,0.000351251
227,0,0,0.000351251
228,0,0,0.000351251
229,0,0,0.000351251
230,0,0,0.000351251
231,0,0,0.000351251
232,0,0,0.000351251
233,0,0,0.000351251
234,0,0,0.000351251
235,0,0,0.000351251
236,0,0,0.000351251
237,0,0,0.000351251
238,0,0,0.000351251
239,0,0,0.000351251
240,0,0,0.000351251
241,0,0,0.00035113
242,0,0,0.000351056
243,0,0,0.000351056
244,0,0,0.000351056
245,0,0,0.000351056
246,0,0,0.000351055
247,0,0,0.000351055
248,0,0,0.000351055
249,0,0,0.000351055
