method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PI-NSGA-II,Fisher,2,0.0189700809,0.0003854996,8,1
PI-NSGA-II,Fisher,2,0.0519975454,0.0000042570,7,1
PI-NSGA-II,Fisher,2,0.0519983915,0.0000037945,7,1
PI-NSGA-II,Fisher,2,0.0519977366,0.0000041487,7,1
PI-NSGA-II,Fisher,2,0.0277364750,0.0000512967,9,1
PI-NSGA-II,Fisher,2,0.0519981678,0.0000039024,7,1
PI-NSGA-II,Fisher,2,0.0519977608,0.0000040677,7,1
PI-NSGA-II,Fisher,2,0.0519974100,0.0000046900,7,1
PI-NSGA-II,Fisher,2,0.0189700809,0.0003854996,8,1
PI-NSGA-II,Fisher,2,0.0519998542,0.0000033760,7,1
PI-NSGA-II,Fisher,2,0.0519976368,0.0000041734,7,1
PI-NSGA-II,Fisher,2,0.0519975017,0.0000046810,7,1
PI-NSGA-II,Fisher,2,0.0184667929,0.0003826755,10,1
PI-NSGA-II,Fisher,2,0.9232704367,0.0431214520,1,1
PI-NSGA-II,Fisher,2,0.4873364593,0.0215807212,5,1
PI-NSGA-II,Fisher,2,0.0235228741,0.0002655664,10,1
PI-NSGA-II,Fisher,2,0.0519977366,0.0000041487,7,1
PI-NSGA-II,Fisher,2,0.0519977366,0.0000041487,7,1
PI-NSGA-II,Fisher,2,0.0519998542,0.0000033760,7,1
PI-NSGA-II,Fisher,2,0.0519977366,0.0000041487,7,1
PI-NSGA-II,Fisher,2,0.0519977366,0.0000041487,7,1
PI-NSGA-II,Fisher,2,0.0519977366,0.0000041487,7,1
PI-NSGA-II,Fisher,2,0.0519977366,0.0000041487,7,1
PI-NSGA-II,Fisher,2,0.0519977366,0.0000041487,7,1
PI-NSGA-II,Fisher,2,0.0519977366,0.0000041487,7,1
