method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PI-NSGA-II,Lane-Emden,1,0.0205997418,0.0001560598,6,1
PI-NSGA-II,Lane-Emden,1,0.0172305450,0.0000839224,6,1
PI-NSGA-II,Lane-Emden,1,0.0408497264,0.0000000000,6,1
PI-NSGA-II,Lane-Emden,1,0.0000000000,0.8472222222,1,1
PI-NSGA-II,Lane-Emden,1,0.1377164218,0.2329120294,1,1
PI-NSGA-II,Lane-Emden,1,0.0408497264,0.0000000000,6,1
PI-NSGA-II,Lane-Emden,1,0.1377164218,0.2329120294,1,1
PI-NSGA-II,Lane-Emden,1,0.0000000002,0.8022650320,2,1
PI-NSGA-II,Lane-Emden,1,0.1761118610,0.2132787611,5,1
PI-NSGA-II,Lane-Emden,1,0.0295392091,0.0001068788,6,1
