method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000342571,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000010068,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000897431,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000031654,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0004189046,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000860771,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0002947787,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000003087,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000132540,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000020846,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000550445,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0002780680,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000058120,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000147293,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000465077,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0006295217,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000172795,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000054509,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000493670,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000667402,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000019381,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000931209,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0004249889,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000089827,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000564509,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000138094,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000009652,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000008427,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0001603591,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000111480,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000000643,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000572299,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000021489,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000383190,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000752841,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000018475,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0001810518,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000401621,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0008446165,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000163712,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.8011435839,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.8011435839,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.8011435839,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.8011435839,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.8011435839,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.8011435839,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.8011435839,0.0000000000,14,1
