method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PI-NSGA-II,Navier-Stokes,2,0.0000000061,0.0000000000,13,1
PI-NSGA-II,Navier-Stokes,2,0.0000000061,0.0000000000,13,1
PI-NSGA-II,Navier-Stokes,2,0.0000000061,0.0000000000,13,1
PI-NSGA-II,Navier-Stokes,2,0.0000000000,7.2417112281,1,1
PI-NSGA-II,Navier-Stokes,2,0.0000000061,0.0000000000,13,1
PI-NSGA-II,Navier-Stokes,2,0.0000000000,0.0000310388,5,1
PI-NSGA-II,Navier-Stokes,2,0.0000000000,7.2417112281,1,1
PI-NSGA-II,Navier-Stokes,2,0.0000000000,7.2417112281,1,1
PI-NSGA-II,Navier-Stokes,2,0.0000006214,0.0000000008,13,2
PI-NSGA-II,Navier-Stokes,2,0.0000000000,0.1799541440,12,2
