method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PI-NSGA-II,NonlinearPoisson,2,7.3336379385,0.3187993346,1,1
PI-NSGA-II,NonlinearPoisson,2,7.3336379385,0.3187993346,1,1
PI-NSGA-II,NonlinearPoisson,2,1.5681170142,0.0040671449,9,1
PI-NSGA-II,NonlinearPoisson,2,1.7777588890,0.0255329073,7,1
PI-NSGA-II,NonlinearPoisson,2,1.5592963130,0.0055776306,9,1
PI-NSGA-II,NonlinearPoisson,2,1.5585967712,0.0064739172,9,1
PI-NSGA-II,NonlinearPoisson,2,1.5613306314,0.0055743672,9,1
PI-NSGA-II,NonlinearPoisson,2,7.3336379385,0.3187993346,1,1
PI-NSGA-II,NonlinearPoisson,2,7.3336379385,0.3187993346,1,1
PI-NSGA-II,NonlinearPoisson,2,7.3336379385,0.3187993346,1,1
