method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PI-NSGA-II,Painleve-I,1,1.0698404804,0.1250000000,1,1
PI-NSGA-II,Painleve-I,1,0.3435685599,0.1250000000,3,1
PI-NSGA-II,Painleve-I,1,0.4459691546,0.0372551291,33,1
PI-NSGA-II,Painleve-I,1,0.7260925687,0.1465286761,2,1
PI-NSGA-II,Painleve-I,1,454047.3328767978,0.0000164910,8,1
PI-NSGA-II,Painleve-I,1,0.3994189385,0.0629775542,4,1
PI-NSGA-II,Painleve-I,1,190225.6431647952,0.0018109370,8,1
PI-NSGA-II,Painleve-I,1,31603.7767449108,0.0027396465,8,1
PI-NSGA-II,Painleve-I,1,2.2298355941,0.0342157512,2,1
PI-NSGA-II,Painleve-I,1,1.0698404804,0.1250000000,1,1
