method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PI-NSGA-II,ThomasFermi,1,0.0090869020,0.0000755286,5,1
PI-NSGA-II,ThomasFermi,1,2.0074913387,0.0856298036,1,1
PI-NSGA-II,ThomasFermi,1,0.0095116446,0.0000507262,5,1
PI-NSGA-II,ThomasFermi,1,2.0074913387,0.0856298036,1,1
PI-NSGA-II,ThomasFermi,1,2.9468694999,0.0056743907,2,1
PI-NSGA-II,ThomasFermi,1,2.0074913387,0.0856298036,1,1
PI-NSGA-II,ThomasFermi,1,2.7743372595,0.0203715503,3,1
PI-NSGA-II,ThomasFermi,1,0.2711508540,0.0080076781,4,1
PI-NSGA-II,ThomasFermi,1,2.7743372595,0.0203715503,3,1
PI-NSGA-II,ThomasFermi,1,0.2712449995,0.0080340318,4,1
PI-NSGA-II,ThomasFermi,1,2.0074913387,0.0856298036,1,1
PI-NSGA-II,ThomasFermi,1,0.0092038770,0.0000646846,5,1
PI-NSGA-II,ThomasFermi,1,0.2713100710,0.0080497887,4,1
PI-NSGA-II,ThomasFermi,1,0.2712567139,0.0080369845,4,1
PI-NSGA-II,ThomasFermi,1,2.0074913387,0.0856298036,1,1
PI-NSGA-II,ThomasFermi,1,2.9468694999,0.0056743907,2,1
PI-NSGA-II,ThomasFermi,1,2.9468694999,0.0056743907,2,1
PI-NSGA-II,ThomasFermi,1,2.7743372595,0.0203715503,3,1
PI-NSGA-II,ThomasFermi,1,1.6518533147,0.0608144724,3,1
PI-NSGA-II,ThomasFermi,1,1.6460794335,0.0603561409,3,1
PI-NSGA-II,ThomasFermi,1,2.9468694999,0.0056743907,2,1
PI-NSGA-II,ThomasFermi,1,1.6471407630,0.0604406167,3,1
PI-NSGA-II,ThomasFermi,1,1.6498379615,0.0606548356,3,1
PI-NSGA-II,ThomasFermi,1,2.7743372595,0.0203715503,3,1
PI-NSGA-II,ThomasFermi,1,2.9468694999,0.0056743907,2,1
PI-NSGA-II,ThomasFermi,1,2.9468694999,0.0056743907,2,1
PI-NSGA-II,ThomasFermi,1,0.2711406213,0.0080044330,4,1
PI-NSGA-II,ThomasFermi,1,2.0074913387,0.0856298036,1,1
PI-NSGA-II,ThomasFermi,1,1.6517971951,0.0608100321,3,1
PI-NSGA-II,ThomasFermi,1,1.6525448653,0.0608691670,3,1
PI-NSGA-II,ThomasFermi,1,1.6503038746,0.0606917731,3,1
PI-NSGA-II,ThomasFermi,1,1.6501300852,0.0606779974,3,1
PI-NSGA-II,ThomasFermi,1,1.6537168136,0.0609617596,3,1
PI-NSGA-II,ThomasFermi,1,1.6564389180,0.0611763623,3,1
PI-NSGA-II,ThomasFermi,1,1.6498541214,0.0606561171,3,1
PI-NSGA-II,ThomasFermi,1,1.6512279065,0.0607649725,3,1
PI-NSGA-II,ThomasFermi,1,1.6524198370,0.0608592816,3,1
PI-NSGA-II,ThomasFermi,1,1.6077713277,0.0572310270,3,1
PI-NSGA-II,ThomasFermi,1,1.6388034833,0.0597741784,3,1
PI-NSGA-II,ThomasFermi,1,1.5572952256,0.0528259644,3,1
PI-NSGA-II,ThomasFermi,1,1.4846236799,0.0454698049,3,1
PI-NSGA-II,ThomasFermi,1,1.6447501589,0.0602501915,3,1
PI-NSGA-II,ThomasFermi,1,1.5076556773,0.0479940108,3,1
PI-NSGA-II,ThomasFermi,1,1.5096679502,0.0482039091,3,1
PI-NSGA-II,ThomasFermi,1,1.5030747789,0.0475104896,3,1
PI-NSGA-II,ThomasFermi,1,1.6581072492,0.0613075720,3,1
PI-NSGA-II,ThomasFermi,1,0.2711412203,0.0080046258,4,1
PI-NSGA-II,ThomasFermi,1,1.5658717480,0.0536032473,3,1
PI-NSGA-II,ThomasFermi,1,1.5632591682,0.0533679055,3,1
PI-NSGA-II,ThomasFermi,1,1.5125565551,0.0485026827,3,1
