gen,best_mse_domain,best_mse_boundary,best_total_mse
0,0,0,0.168293
1,0,0,0.000100801
2,0,0,0.000100801
3,0,0,0.000100801
4,0,0,0.000100801
5,0,0,0.000100801
6,0,0,0.000100801
7,0,0,0.000100801
8,0,0,0.000100801
9,0,0,0.000100801
10,0,0,0.000100801
11,0,0,0.000100801
12,0,0,0.000100801
13,0,0,0.000100801
14,0,0,0.000100801
15,0,0,0.000100801
16,0,0,0.000100801
17,0,0,0.000100801
18,0,0,0.000100801
19,0,0,0.000100801
20,0,0,0.000100801
21,0,0,0.000100801
22,0,0,0.000100801
23,0,0,0.000100801
24,0,0,0.000100801
25,0,0,0.000100801
26,0,0,0.000100801
27,0,0,0.000100801
28,0,0,0.000100801
29,0,0,0.000100801
30,0,0,0.000100801
31,0,0,0.000100801
32,0,0,0.000100801
33,0,0,0.000100801
34,0,0,0.000100801
35,0,0,0.000100801
36,0,0,0.000100801
37,0,0,0.000100801
38,0,0,0.000100801
39,0,0,0.000100801
40,0,0,0.000100801
41,0,0,0.000100801
42,0,0,0.000100801
43,0,0,0.000100801
44,0,0,0.000100801
45,0,0,0.000100801
46,0,0,0.000100801
47,0,0,0.000100801
48,0,0,0.000100801
49,0,0,0.000100801
50,0,0,0.000100801
51,0,0,0.000100801
52,0,0,0.000100801
53,0,0,0.000100801
54,0,0,0.000100801
55,0,0,0.000100801
56,0,0,0.000100801
57,0,0,0.000100801
58,0,0,0.000100801
59,0,0,0.000100801
60,0,0,0.000100801
61,0,0,0.000100801
62,0,0,0.000100801
63,0,0,0.000100801
64,0,0,0.000100801
65,0,0,0.000100801
66,0,0,0.000100801
67,0,0,0.000100801
68,0,0,0.000100801
69,0,0,0.000100801
70,0,0,0.000100801
71,0,0,0.000100801
72,0,0,0.000100801
73,0,0,0.000100801
74,0,0,0.000100801
75,0,0,0.000100801
76,0,0,0.000100801
77,0,0,0.000100801
78,0,0,0.000100801
79,0,0,0.000100801
80,0,0,0.000100801
81,0,0,0.000100801
82,0,0,0.000100801
83,0,0,0.000100801
84,0,0,0.000100801
85,0,0,0.000100801
86,0,0,0.000100801
87,0,0,0.000100801
88,0,0,0.000100801
89,0,0,0.000100801
90,0,0,0.000100801
91,0,0,0.000100801
92,0,0,0.000100801
93,0,0,0.000100801
94,0,0,0.000100801
95,0,0,0.000100801
96,0,0,0.000100801
97,0,0,0.000100801
98,0,0,0.000100801
99,0,0,0.000100801
100,0,0,0.000100801
101,0,0,0.000100801
102,0,0,0.000100801
103,0,0,0.000100801
104,0,0,0.000100801
105,0,0,0.000100801
106,0,0,0.000100801
107,0,0,0.000100801
108,0,0,0.000100801
109,0,0,0.000100801
110,0,0,0.000100801
111,0,0,0.000100801
112,0,0,0.000100801
113,0,0,0.000100801
114,0,0,0.000100801
115,0,0,0.000100801
116,0,0,0.000100801
117,0,0,0.000100801
118,0,0,0.000100801
119,0,0,0.000100801
120,0,0,0.000100801
121,0,0,0.000100801
122,0,0,0.000100801
123,0,0,0.000100801
124,0,0,0.000100801
125,0,0,0.000100801
126,0,0,0.000100801
127,0,0,0.000100801
128,0,0,0.000100801
129,0,0,0.000100801
130,0,0,0.000100801
131,0,0,0.000100801
132,0,0,0.000100801
133,0,0,0.000100801
134,0,0,0.000100801
135,0,0,0.000100801
136,0,0,0.000100801
137,0,0,0.000100801
138,0,0,0.000100801
139,0,0,0.000100801
140,0,0,0.000100801
141,0,0,0.000100801
142,0,0,0.000100801
143,0,0,0.000100801
144,0,0,0.000100801
145,0,0,0.000100801
146,0,0,0.000100801
147,0,0,0.000100801
148,0,0,0.000100801
149,0,0,0.000100801
