gen,best_mse_domain,best_mse_boundary,best_total_mse
0,0,0,0.0283634
1,0,0,0.0283634
2,0,0,0.0109266
3,0,0,0.00920977
4,0,0,0.00920977
5,0,0,0.00920977
6,0,0,0.00920977
7,0,0,0.00920977
8,0,0,0.00920977
9,0,0,0.00130797
10,0,0,0.00130797
11,0,0,0.00130797
12,0,0,0.00130797
13,0,0,0.00130797
14,0,0,0.00130797
15,0,0,0.000864942
16,0,0,0.000864942
17,0,0,0.000864942
18,0,0,0.000864942
19,0,0,0.000864942
20,0,0,0.000864942
21,0,0,0.000864942
22,0,0,0.000864942
23,0,0,0.000864942
24,0,0,0.000864942
25,0,0,0.000864942
26,0,0,0.000864942
27,0,0,0.000864942
28,0,0,0.000864942
29,0,0,0.000864942
30,0,0,0.000864942
31,0,0,0.000864942
32,0,0,0.000864942
33,0,0,0.000864942
34,0,0,0.000864942
35,0,0,0.000864942
36,0,0,0.000864942
37,0,0,0.000864942
38,0,0,0.000864942
39,0,0,0.000864942
40,0,0,0.000864942
41,0,0,0.000864942
42,0,0,0.000864942
43,0,0,0.000864942
44,0,0,0.000864942
45,0,0,0.000864942
46,0,0,0.000864942
47,0,0,0.000864942
48,0,0,0.000864942
49,0,0,0.000864942
50,0,0,0.000864942
51,0,0,0.000864942
52,0,0,0.000864942
53,0,0,0.000864942
54,0,0,0.000864942
55,0,0,0.000864942
56,0,0,0.000864942
57,0,0,0.000864942
58,0,0,0.000864942
59,0,0,0.000864942
60,0,0,0.000864942
61,0,0,0.000864942
62,0,0,0.000864942
63,0,0,0.000864942
64,0,0,0.000864942
65,0,0,0.00078975
66,0,0,0.00078975
67,0,0,0.00078975
68,0,0,0.00078975
69,0,0,0.00078975
70,0,0,0.00078975
71,0,0,0.00078975
72,0,0,0.00078975
73,0,0,0.00078975
74,0,0,0.00078975
75,0,0,0.00078975
76,0,0,0.00078975
77,0,0,0.00078975
78,0,0,0.00078975
79,0,0,0.00078975
80,0,0,0.00078975
81,0,0,0.00078975
82,0,0,0.00078975
83,0,0,0.00078975
84,0,0,0.00078975
85,0,0,0.00078975
86,0,0,0.00078975
87,0,0,0.00078975
88,0,0,0.000706185
89,0,0,0.000704884
90,0,0,0.000704884
91,0,0,0.000704884
92,0,0,0.000704884
93,0,0,0.000704884
94,0,0,0.000704884
95,0,0,0.000704884
96,0,0,0.000704884
97,0,0,0.000704884
98,0,0,0.000704884
99,0,0,0.000704884
100,0,0,0.000704884
101,0,0,0.000704884
102,0,0,0.000704884
103,0,0,0.000704884
104,0,0,0.000704884
105,0,0,0.000704884
106,0,0,0.000704884
107,0,0,0.000704884
108,0,0,0.000704884
109,0,0,0.000704884
110,0,0,0.000704884
111,0,0,0.000704884
112,0,0,0.000704884
113,0,0,0.000704884
114,0,0,0.000704884
115,0,0,0.000704884
116,0,0,0.000704884
117,0,0,0.000704884
118,0,0,0.000704884
119,0,0,0.000704884
120,0,0,0.000704884
121,0,0,0.000704884
122,0,0,0.000704884
123,0,0,0.000704884
124,0,0,0.000704884
125,0,0,0.000704884
126,0,0,0.000704884
127,0,0,0.000704884
128,0,0,0.000704884
129,0,0,0.000704884
130,0,0,0.000704884
131,0,0,0.000704884
132,0,0,0.000704884
133,0,0,0.000704884
134,0,0,0.000704884
135,0,0,0.000704884
136,0,0,0.000704884
137,0,0,0.000704884
138,0,0,0.000704884
139,0,0,0.000704884
140,0,0,0.000704884
141,0,0,0.000704884
