method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PI-NSGA-II,Troesch,1,69.6796501059,0.0000000000,3,1
PI-NSGA-II,Troesch,1,0.4999005089,0.4880566320,1,1
PI-NSGA-II,Troesch,1,0.3416697239,0.0042227150,11,1
PI-NSGA-II,Troesch,1,0.3416069055,0.0043179597,10,1
PI-NSGA-II,Troesch,1,0.4999359295,0.4880216262,1,1
PI-NSGA-II,Troesch,1,154.1236459292,0.0000000000,1,1
PI-NSGA-II,Troesch,1,133.6488362513,0.1140474031,1,1
PI-NSGA-II,Troesch,1,91.8410523129,0.0125657243,2,1
PI-NSGA-II,Troesch,1,154.1236459292,0.0000000000,1,1
PI-NSGA-II,Troesch,1,133.6488362513,0.1140474031,1,1
PI-NSGA-II,Troesch,1,91.8410523129,0.0125657243,2,1
PI-NSGA-II,Troesch,1,0.5029866136,0.4855464309,1,1
PI-NSGA-II,Troesch,1,0.4340630657,0.2598181243,5,1
PI-NSGA-II,Troesch,1,69.6796501059,0.0000000000,3,1
PI-NSGA-II,Troesch,1,0.4331279763,0.2607544911,5,1
PI-NSGA-II,Troesch,1,0.5016473461,0.4865281266,2,1
PI-NSGA-II,Troesch,1,0.4996911307,0.4882680562,2,1
PI-NSGA-II,Troesch,1,3.5250010928,0.0449539416,7,1
PI-NSGA-II,Troesch,1,3.5250010928,0.0449539416,7,1
PI-NSGA-II,Troesch,1,0.5029895759,0.4855443901,1,1
PI-NSGA-II,Troesch,1,6.4222407552,0.1735893438,4,1
PI-NSGA-II,Troesch,1,13.3368880964,0.0087646545,6,1
PI-NSGA-II,Troesch,1,53.8502071356,0.1362073403,2,1
PI-NSGA-II,Troesch,1,67.3208469256,0.0284186732,2,1
PI-NSGA-II,Troesch,1,0.5033438109,0.4616312866,3,1
PI-NSGA-II,Troesch,1,1.3179894675,0.0288692464,9,1
PI-NSGA-II,Troesch,1,0.4992132607,0.4653538547,4,1
PI-NSGA-II,Troesch,1,0.5021930404,0.4861128528,1,1
PI-NSGA-II,Troesch,1,0.4348283236,0.2590649254,8,1
PI-NSGA-II,Troesch,1,0.4340277978,0.2598531167,8,1
PI-NSGA-II,Troesch,1,3.7118828838,0.0284186732,6,1
PI-NSGA-II,Troesch,1,1.3177002516,0.0292040935,9,1
PI-NSGA-II,Troesch,1,4.2696712167,0.2138094099,3,1
PI-NSGA-II,Troesch,1,0.3417937524,0.0040925769,10,1
PI-NSGA-II,Troesch,1,0.3416848639,0.0042039430,11,1
PI-NSGA-II,Troesch,1,0.3417374703,0.0041459447,10,1
PI-NSGA-II,Troesch,1,0.5008689124,0.4871655909,1,1
PI-NSGA-II,Troesch,1,53.8502071356,0.1362073403,2,1
PI-NSGA-II,Troesch,1,0.5004829857,0.4875055724,1,1
PI-NSGA-II,Troesch,1,0.4985533016,0.4895969387,2,1
PI-NSGA-II,Troesch,1,67.3208469256,0.0284186732,2,1
PI-NSGA-II,Troesch,1,0.4975040846,0.4913846428,2,1
PI-NSGA-II,Troesch,1,0.5489607185,0.4697490080,2,1
PI-NSGA-II,Troesch,1,0.9056768396,0.4297844535,2,1
PI-NSGA-II,Troesch,1,0.8270293255,0.4357538983,2,1
PI-NSGA-II,Troesch,1,1.3965843615,0.0131416410,9,1
PI-NSGA-II,Troesch,1,26.5349850400,0.0566307307,3,1
PI-NSGA-II,Troesch,1,1.9861041838,0.3818749806,2,1
PI-NSGA-II,Troesch,1,0.5071803256,0.4830429956,2,1
PI-NSGA-II,Troesch,1,4.2992693216,0.3355322176,2,1
PI-NSGA-II,Troesch,1,1.2363751429,0.4104025980,2,1
PI-NSGA-II,Troesch,1,2.1017379108,0.3784757456,2,1
PI-NSGA-II,Troesch,1,10.2736734422,0.1298292430,3,1
PI-NSGA-II,Troesch,1,6.6541773991,0.3103081659,1,1
PI-NSGA-II,Troesch,1,10.6904299602,0.2856490607,2,1
PI-NSGA-II,Troesch,1,67.3208469256,0.0284186732,2,1
PI-NSGA-II,Troesch,1,0.9652438581,0.4257118046,2,1
PI-NSGA-II,Troesch,1,3.8164427226,0.3426227438,2,1
PI-NSGA-II,Troesch,1,2.3868029745,0.3708282992,2,1
PI-NSGA-II,Troesch,1,24.5192952733,0.2558267793,2,1
PI-NSGA-II,Troesch,1,1.7445144394,0.3896603887,2,1
PI-NSGA-II,Troesch,1,11.0776200949,0.1231799502,3,1
PI-NSGA-II,Troesch,1,4.0202917791,0.3395188218,1,1
PI-NSGA-II,Troesch,1,5.3055851328,0.3231929184,2,1
PI-NSGA-II,Troesch,1,1.1823458402,0.4131247597,2,1
PI-NSGA-II,Troesch,1,0.7145856478,0.4459806088,2,1
PI-NSGA-II,Troesch,1,2.5134105257,0.3677180381,2,1
PI-NSGA-II,Troesch,1,15.5767517724,0.2695088028,2,1
PI-NSGA-II,Troesch,1,0.6916495387,0.4484221282,2,1
PI-NSGA-II,Troesch,1,0.6209296438,0.1780946160,5,1
PI-NSGA-II,Troesch,1,5.7040276669,0.3190187071,2,1
PI-NSGA-II,Troesch,1,4.4259130150,0.3338134253,2,1
PI-NSGA-II,Troesch,1,0.4544222188,0.2428060211,5,1
PI-NSGA-II,Troesch,1,14.5336251992,0.1002784855,3,1
PI-NSGA-II,Troesch,1,8.1628085566,0.2992152773,2,1
PI-NSGA-II,Troesch,1,1.5408209676,0.3971151738,2,1
PI-NSGA-II,Troesch,1,0.4485208628,0.2471954799,6,1
PI-NSGA-II,Troesch,1,1.6864209648,0.3916930588,2,1
PI-NSGA-II,Troesch,1,4.6734295430,0.3306036116,2,1
PI-NSGA-II,Troesch,1,15.8351120805,0.0934252013,3,1
PI-NSGA-II,Troesch,1,15.1272699590,0.0970553397,3,1
PI-NSGA-II,Troesch,1,3.0192421451,0.3566808198,2,1
PI-NSGA-II,Troesch,1,1.3256846932,0.4061751064,1,1
PI-NSGA-II,Troesch,1,14.2884489034,0.2728726849,1,1
PI-NSGA-II,Troesch,1,6.9727718883,0.1656868658,3,1
PI-NSGA-II,Troesch,1,2.9333785000,0.3584169059,2,1
PI-NSGA-II,Troesch,1,12.6486274510,0.1117765316,3,1
PI-NSGA-II,Troesch,1,1.4855067604,0.3993130823,2,1
PI-NSGA-II,Troesch,1,0.5199573741,0.2086530242,5,1
PI-NSGA-II,Troesch,1,23.3938880508,0.0648608796,3,1
PI-NSGA-II,Troesch,1,19.7299418322,0.0767774133,3,1
PI-NSGA-II,Troesch,1,18.8843567369,0.2628358862,2,1
PI-NSGA-II,Troesch,1,1.6121528597,0.3943968131,2,1
PI-NSGA-II,Troesch,1,69.6796501059,0.0000000000,3,1
PI-NSGA-II,Troesch,1,2.5963834336,0.3657630615,2,1
PI-NSGA-II,Troesch,1,0.5869592017,0.1867414744,5,1
PI-NSGA-II,Troesch,1,1.0514185986,0.4203491395,1,1
PI-NSGA-II,Troesch,1,0.4672496742,0.2343281805,6,1
PI-NSGA-II,Troesch,1,6.2206021674,0.3140859276,2,1
PI-NSGA-II,Troesch,1,1.8832905993,0.3850663108,2,1
PI-NSGA-II,Troesch,1,8.7327959792,0.2956927008,1,1
PI-NSGA-II,Troesch,1,17.8687624671,0.0841083989,3,1
PI-NSGA-II,Troesch,1,0.8020165877,0.4378275547,2,1
PI-NSGA-II,Troesch,1,22.8993364070,0.2574188035,2,1
PI-NSGA-II,Troesch,1,8.4216354883,0.1479047805,3,1
PI-NSGA-II,Troesch,1,0.4999482364,0.2171303765,5,1
PI-NSGA-II,Troesch,1,24.0358518657,0.0630497153,3,1
PI-NSGA-II,Troesch,1,0.4569470594,0.2410313922,5,1
PI-NSGA-II,Troesch,1,0.5237359985,0.2071793140,6,1
PI-NSGA-II,Troesch,1,0.4105578235,0.2930200267,5,1
PI-NSGA-II,Troesch,1,3.5210186503,0.3474446346,2,1
PI-NSGA-II,Troesch,1,9.1467793725,0.1403055867,3,1
PI-NSGA-II,Troesch,1,13.5905651075,0.1057718464,3,1
PI-NSGA-II,Troesch,1,3.6683777984,0.2290356308,3,1
PI-NSGA-II,Troesch,1,10.1260889646,0.2882605337,1,1
PI-NSGA-II,Troesch,1,0.6662789585,0.4513207389,1,1
PI-NSGA-II,Troesch,1,4.9515758252,0.3272127841,2,1
PI-NSGA-II,Troesch,1,2.6927520034,0.3635691349,2,1
PI-NSGA-II,Troesch,1,3.1586474029,0.3539659635,2,1
PI-NSGA-II,Troesch,1,2.1902514187,0.3759965596,2,1
PI-NSGA-II,Troesch,1,2.8127422620,0.3609446252,3,1
PI-NSGA-II,Troesch,1,3.6839805337,0.3447347706,2,1
PI-NSGA-II,Troesch,1,7.1990549230,0.3059659253,1,1
PI-NSGA-II,Troesch,1,13.5270004383,0.2751172306,2,1
PI-NSGA-II,Troesch,1,7.9750785671,0.3004471529,2,1
PI-NSGA-II,Troesch,1,14.0845718940,0.1028341778,3,1
PI-NSGA-II,Troesch,1,2.2992154225,0.3730772585,2,1
PI-NSGA-II,Troesch,1,0.7637782311,0.4412001605,2,1
PI-NSGA-II,Troesch,1,3.8143089717,0.2251141431,3,1
PI-NSGA-II,Troesch,1,5.9553015290,0.3165563738,1,1
PI-NSGA-II,Troesch,1,11.5396147977,0.1196245903,3,1
PI-NSGA-II,Troesch,1,7.4279534581,0.3042622008,2,1
PI-NSGA-II,Troesch,1,4.8722575406,0.2006584850,3,1
PI-NSGA-II,Troesch,1,0.5071479290,0.2139388212,5,1
PI-NSGA-II,Troesch,1,11.8871809558,0.2807314137,2,1
PI-NSGA-II,Troesch,1,3.3678146019,0.2376436970,3,1
PI-NSGA-II,Troesch,1,4.7323311703,0.2035518366,3,1
PI-NSGA-II,Troesch,1,8.9397521449,0.2944889560,2,1
PI-NSGA-II,Troesch,1,0.4032017894,0.3204293669,5,1
PI-NSGA-II,Troesch,1,0.5622888506,0.4669204882,2,1
PI-NSGA-II,Troesch,1,0.6428438768,0.4542234913,1,1
PI-NSGA-II,Troesch,1,133.6488362513,0.1140474031,1,1
PI-NSGA-II,Troesch,1,0.5755372361,0.1899548203,5,1
PI-NSGA-II,Troesch,1,17.6085353242,0.2651213722,2,1
PI-NSGA-II,Troesch,1,12.7321362353,0.2776943001,1,1
PI-NSGA-II,Troesch,1,5.1961442645,0.1942898700,3,1
PI-NSGA-II,Troesch,1,1.3849830428,0.4035328193,2,1
PI-NSGA-II,Troesch,1,7.7337353290,0.3020872840,1,1
PI-NSGA-II,Troesch,1,5.0568796624,0.1969743196,3,1
PI-NSGA-II,Troesch,1,20.1866001572,0.0751254266,3,1
PI-NSGA-II,Troesch,1,12.0704857905,0.1157537524,3,1
PI-NSGA-II,Troesch,1,25.6217648661,0.0588673757,3,1
PI-NSGA-II,Troesch,1,18.7525186987,0.0805010270,3,1
PI-NSGA-II,Troesch,1,9.9143965283,0.1330112498,3,1
PI-NSGA-II,Troesch,1,3.9372315253,0.2219294660,3,1
PI-NSGA-II,Troesch,1,12.9670237338,0.2769061327,2,1
PI-NSGA-II,Troesch,1,4.5996816737,0.3315401402,2,1
PI-NSGA-II,Troesch,1,18.5216434003,0.0814203440,3,1
PI-NSGA-II,Troesch,1,0.5528677290,0.4688834602,2,1
PI-NSGA-II,Troesch,1,11.3030854139,0.2830336753,2,1
PI-NSGA-II,Troesch,1,18.1659991691,0.2640828707,2,1
PI-NSGA-II,Troesch,1,16.1041758025,0.2682706976,1,1
PI-NSGA-II,Troesch,1,13.1855130237,0.1082860679,3,1
PI-NSGA-II,Troesch,1,0.9479029632,0.4268630988,1,1
PI-NSGA-II,Troesch,1,1.1300813450,0.4158932219,1,1
PI-NSGA-II,Troesch,1,1.3969206581,0.4030153035,1,1
PI-NSGA-II,Troesch,1,16.8209760363,0.2667033198,2,1
PI-NSGA-II,Troesch,1,7.8692332805,0.1542324926,3,1
PI-NSGA-II,Troesch,1,0.4987977955,0.4892787861,2,1
PI-NSGA-II,Troesch,1,2.7644630163,0.3619868836,2,1
PI-NSGA-II,Troesch,1,0.5067270463,0.4590403607,3,1
PI-NSGA-II,Troesch,1,4.3106622562,0.2128542877,3,1
PI-NSGA-II,Troesch,1,0.5043007879,0.4846863351,2,1
PI-NSGA-II,Troesch,1,5.3855180933,0.1907619533,3,1
PI-NSGA-II,Troesch,1,21.2064447013,0.0716204990,3,1
PI-NSGA-II,Troesch,1,0.4463802919,0.2488810559,5,1
PI-NSGA-II,Troesch,1,11.8925584414,0.1170267510,3,1
PI-NSGA-II,Troesch,1,11.6792266967,0.2815309210,2,1
PI-NSGA-II,Troesch,1,16.4450106726,0.0904676641,3,1
PI-NSGA-II,Troesch,1,11.1807338014,0.2835388796,2,1
PI-NSGA-II,Troesch,1,25.3187708596,0.0596361355,3,1
PI-NSGA-II,Troesch,1,3.3666048350,0.3501350589,1,1
PI-NSGA-II,Troesch,1,133.6488362513,0.1140474031,1,1
PI-NSGA-II,Troesch,1,0.5016067719,0.4865599609,2,1
PI-NSGA-II,Troesch,1,6.1925701715,0.3143409938,2,1
PI-NSGA-II,Troesch,1,6.3712115165,0.1743602704,3,1
PI-NSGA-II,Troesch,1,5.1258639958,0.3251945766,2,1
PI-NSGA-II,Troesch,1,0.5886289450,0.4621275530,1,1
PI-NSGA-II,Troesch,1,1.8526002255,0.3860525396,4,1
PI-NSGA-II,Troesch,1,9.4862828232,0.1369915111,3,1
PI-NSGA-II,Troesch,1,0.4954285988,0.2192257801,5,1
PI-NSGA-II,Troesch,1,0.7794837250,0.4397828852,1,1
PI-NSGA-II,Troesch,1,17.2134029284,0.0869462918,3,1
PI-NSGA-II,Troesch,1,22.0972523882,0.2583192834,1,1
PI-NSGA-II,Troesch,1,9.7978115874,0.1340741817,3,1
PI-NSGA-II,Troesch,1,3.1865441548,0.3534373339,2,1
PI-NSGA-II,Troesch,1,7.1189311884,0.1637074794,3,1
PI-NSGA-II,Troesch,1,0.7245597313,0.1575834833,8,1
PI-NSGA-II,Troesch,1,17.1062859558,0.0874242230,3,1
PI-NSGA-II,Troesch,1,20.7169108516,0.0732722082,3,1
