run,method,pde,pareto_size,best_mse_domain,best_mse_boundary,mean_mse_domain,mean_mse_boundary,hypervolume,runtime_s
0,PI-NSGA-II,Airy_1D,10,0.0472948,0,0.154669,0.0361733,0.749982,0.0211603
0,RK4/FDM,Airy_1D,1,0,0,0,0,0,6.359e-06
0,PI-NSGA-II,Fisher_1D,7,0.000664176,0,0.0378936,0.00401185,0.874993,0.0676583
0,RK4/FDM,Fisher_1D,1,0,0,0,0,0,1.6087e-05
0,PI-NSGA-II,Duffing_1D,10,0.255949,0,0.709369,0.207961,0.749966,0.0411771
0,RK4/FDM,Duffing_1D,1,0,0,0,0,0,2.8284e-05
0,PI-NSGA-II,ThomasFermi_1D,10,0.038444,0,2.71503,0.451052,0.799863,0.0411836
0,RK4/FDM,ThomasFermi_1D,1,0,0,0,0,0,2.8023e-05
0,PI-NSGA-II,Airy_2D,10,0.058889,0.000207238,0.14452,0.0242679,0.833306,0.0246675
0,RK4/FDM,Airy_2D,1,0,0,0,0,0,0.117641
0,PI-NSGA-II,Fisher_2D,10,0.00147478,0,0.0455448,0.0320086,0.899991,0.064981
0,RK4/FDM,Fisher_2D,1,0,0,0,0,0,0.122734
0,PI-NSGA-II,Duffing_2D,10,0.236853,0,0.970741,0.156684,0.888838,0.0607124
0,RK4/FDM,Duffing_2D,1,0,0,0,0,0,0.132934
0,PI-NSGA-II,ThomasFermi_2D,10,0.0509524,0,10.5239,0.844263,0.856505,0.0521145
0,RK4/FDM,ThomasFermi_2D,1,0,0,0,0,0,0.140222
0,PI-NSGA-II,Navier-Stokes_2D,10,6.15261e-09,0,1.83446,1.81604,0.922805,0.084309
0,PI-NSGA-II,Navier-Stokes-Unsteady_2D,6,1.07246e-05,3.53715e-35,2.25951,0.329081,0.928508,0.388338
0,PI-NSGA-II,Lane-Emden_1D,9,0.0140197,0,0.114632,0.00387231,0.833312,0.0476697
0,RK4/FDM,Lane-Emden_1D,1,0,0,0,0,0,8.5322e-05
0,PI-NSGA-II,Troesch_1D,10,0.5,0,65.7874,0.18366,0.499975,0.005027
0,RK4/FDM,Troesch_1D,1,0,0,0,0,0,8.9757e-05
0,PI-NSGA-II,Ginzburg-Landau_1D,10,0.0711427,0,0.109104,0.0151431,0.49998,0.0060529
0,RK4/FDM,Ginzburg-Landau_1D,1,0,0,0,0,0,1.9131e-05
0,PI-NSGA-II,Painleve-I_1D,10,0.425788,5.38509e-05,1.4544,0.0419836,0.857099,0.0303373
0,RK4/FDM,Painleve-I_1D,1,0,0,0,0,0,1.7649e-05
