method,pde,pareto_size,best_mse_domain,best_mse_boundary,mean_mse_domain,mean_mse_boundary,hypervolume,runtime_s
PI-NSGA-II,Laplace_1D,113,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0227941560
RK4/FDM,Laplace_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000381080
PI-NSGA-II,Poisson_1D,121,0.0000000000,0.0000000000,1.2335369662,0.0000000000,0.7462685507,0.0355704020
RK4/FDM,Poisson_1D,1,1.9599999655,0.0000000000,1.9599999655,0.0000000000,0.0000000000,0.0000197530
PI-NSGA-II,Helmholtz_1D,116,0.0000000000,0.0000000000,1.3855662488,0.0000000000,0.7469863934,0.0368678210
RK4/FDM,Helmholtz_1D,1,1.9599999382,0.0000000000,1.9599999382,0.0000000000,0.0000000000,0.0000327660
PI-NSGA-II,Schrodinger_1D,114,0.0000000000,0.0000000000,1.1341424888,0.0499227012,0.8315886318,0.0304906070
RK4/FDM,Schrodinger_1D,1,0.4914014268,0.0000000000,0.4914014268,0.0000000000,0.0000000000,0.0000101320
PI-NSGA-II,HarmonicOscillator_1D,122,0.0000000000,0.0000000000,0.0080286729,0.0001213183,0.4999875713,0.0240456370
RK4/FDM,HarmonicOscillator_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000160010
PI-NSGA-II,Airy_1D,150,0.0331681833,0.0000000000,0.5116771197,0.0173151851,0.7999443632,3.9990482710
RK4/FDM,Airy_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000079670
PI-NSGA-II,Fisher_1D,13,0.0000000000,0.0000000000,0.5553820763,0.0262326214,0.4999684960,0.8326650450
RK4/FDM,Fisher_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000283150
PI-NSGA-II,Duffing_1D,15,0.0000000000,0.0000000000,1.3499746669,0.0265240950,0.4999262592,0.5962776900
RK4/FDM,Duffing_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000235130
PI-NSGA-II,ThomasFermi_1D,150,0.0090869020,0.0000507262,1.4953478123,0.0457252644,0.7998825321,7.2651338330
RK4/FDM,ThomasFermi_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000239200
PI-NSGA-II,Laplace_2D,49,0.0000000000,0.0000000000,0.2659736284,0.0035813498,0.9089327939,0.2064346300
RK4/FDM,Laplace_2D,1,0.0000062306,0.0000000000,0.0000062306,0.0000000000,0.0000000000,0.0380187900
PI-NSGA-II,Poisson_2D,119,0.0000000000,0.0000000000,13.1900688347,0.0288773015,0.8820004162,0.0504046220
RK4/FDM,Poisson_2D,1,0.9450813646,0.0000000000,0.9450813646,0.0000000000,0.0000000000,0.1513734360
PI-NSGA-II,Helmholtz_2D,132,0.0000000000,0.0000000000,11.0074931240,0.0140259697,0.8825984582,0.0587803130
RK4/FDM,Helmholtz_2D,1,0.9414860071,0.0000000000,0.9414860071,0.0000000000,0.0000000000,0.2577260480
PI-NSGA-II,Schrodinger_2D,130,0.0000000000,0.0000000000,11.1690639052,0.0960770189,0.8714208970,0.0378485220
RK4/FDM,Schrodinger_2D,1,0.2401012177,0.0000000000,0.2401012177,0.0000000000,0.0000000000,0.0481918080
PI-NSGA-II,HarmonicOscillator_2D,117,0.0000000000,0.0000000000,0.0444829195,0.0012457161,0.7998929954,0.0404864320
RK4/FDM,HarmonicOscillator_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0446138020
PI-NSGA-II,Airy_2D,150,0.0434416985,0.0000301189,0.7191501568,0.0187899035,0.8749427209,10.7895570200
RK4/FDM,Airy_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0440232320
PI-NSGA-II,Fisher_2D,150,0.4350149860,0.0000000000,0.7458412457,0.0024080116,0.9599301482,16.8232515600
RK4/FDM,Fisher_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0434773930
PI-NSGA-II,Duffing_2D,150,0.1465103887,0.0000000000,1.3582754647,0.0374907230,0.9599607430,15.3544085110
RK4/FDM,Duffing_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0527777680
PI-NSGA-II,ThomasFermi_2D,150,0.1070765745,0.0020879331,1.2410728906,0.0140299649,0.8999534864,15.9360148360
RK4/FDM,ThomasFermi_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0550973560
PI-NSGA-II,NonlinearPoisson_2D,62,0.0000000000,0.0000000000,0.8197763845,0.0244566775,0.8886740388,0.1313112060
RK4/FDM,NonlinearPoisson_2D,1,0.0001150038,0.0000000000,0.0001150038,0.0000000000,0.0000000000,0.1200922440
PI-NSGA-II,Liouville_2D,59,0.0000000000,0.0000000000,0.5880479131,0.0161753270,0.8886479554,0.1378602900
RK4/FDM,Liouville_2D,1,0.0001504742,0.0000000000,0.0001504742,0.0000000000,0.0000000000,0.1874209830
PI-NSGA-II,ThomasFermi_2D,150,0.0985963777,0.0026543383,0.9429679503,0.0207211368,0.8999577834,19.0711960020
RK4/FDM,ThomasFermi_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0538336560
PI-NSGA-II,Navier-Stokes_2D,57,0.0000000014,0.0000000000,0.0000333979,0.0000016697,0.9230769063,0.8076466610
PI-NSGA-II,Navier-Stokes-Unsteady_2D,107,0.0000000895,0.0000000000,1.1734441105,0.0235386588,0.9332125417,1.0058063360
PI-NSGA-II,Bratu_2D,50,0.0000000000,0.0000000000,1.1939122336,0.0498919746,0.8736808439,0.1994714510
RK4/FDM,Bratu_2D,1,0.0000152097,0.0000000000,0.0000152097,0.0000000000,0.0000000000,0.1026937430
PI-NSGA-II,Allen-Cahn_2D,147,1.6773772851,0.0420761952,10.1301391221,0.4710395515,0.8991783127,9.0198717670
RK4/FDM,Allen-Cahn_2D,1,0.1375674152,0.0000000000,0.1375674152,0.0000000000,0.0000000000,0.0633186200
PI-NSGA-II,Lane-Emden_1D,51,0.0000000032,0.0000000000,0.1744925738,0.0018618835,0.8332301734,0.1254965590
RK4/FDM,Lane-Emden_1D,1,0.0036296290,0.0000000000,0.0036296290,0.0000000000,0.0000000000,0.0000077690
