x,u_exact,u_approx
0,1,1
0.01,0.995012,0.994215
0.02,0.99005,0.988464
0.03,0.985112,0.982747
0.04,0.980199,0.977065
0.05,0.97531,0.971418
0.06,0.970446,0.965807
0.07,0.965605,0.960231
0.08,0.960789,0.954691
0.09,0.955997,0.949188
0.1,0.951229,0.943721
0.11,0.946485,0.938292
0.12,0.941765,0.932899
0.13,0.937067,0.927544
0.14,0.932394,0.922227
0.15,0.927743,0.916947
0.16,0.923116,0.911706
0.17,0.918512,0.906503
0.18,0.913931,0.901338
0.19,0.909373,0.896212
0.2,0.904837,0.891126
0.21,0.900325,0.886078
0.22,0.895834,0.881069
0.23,0.891366,0.8761
0.24,0.88692,0.871171
0.25,0.882497,0.866281
0.26,0.878095,0.861431
0.27,0.873716,0.856621
0.28,0.869358,0.85185
0.29,0.865022,0.84712
0.3,0.860708,0.842431
0.31,0.856415,0.837781
0.32,0.852144,0.833172
0.33,0.847894,0.828604
0.34,0.843665,0.824076
0.35,0.839457,0.819589
0.36,0.83527,0.815142
0.37,0.831104,0.810736
0.38,0.826959,0.806371
0.39,0.822835,0.802046
0.4,0.818731,0.797762
0.41,0.814647,0.79352
0.42,0.810584,0.789317
0.43,0.806541,0.785156
0.44,0.802519,0.781036
0.45,0.798516,0.776956
0.46,0.794534,0.772917
0.47,0.790571,0.768919
0.48,0.786628,0.764962
0.49,0.782705,0.761046
0.5,0.778801,0.75717
0.51,0.774916,0.753335
0.52,0.771052,0.749541
0.53,0.767206,0.745787
0.54,0.763379,0.742074
0.55,0.759572,0.738401
0.56,0.755784,0.734769
0.57,0.752014,0.731177
0.58,0.748264,0.727625
0.59,0.744532,0.724114
0.6,0.740818,0.720643
0.61,0.737123,0.717212
0.62,0.733447,0.713821
0.63,0.729789,0.710471
0.64,0.726149,0.70716
0.65,0.722527,0.703889
0.66,0.718924,0.700657
0.67,0.715338,0.697465
0.68,0.71177,0.694313
0.69,0.70822,0.691201
0.7,0.704688,0.688127
0.71,0.701173,0.685093
0.72,0.697676,0.682098
0.73,0.694197,0.679142
0.74,0.690734,0.676226
0.75,0.687289,0.673348
0.76,0.683861,0.670508
0.77,0.680451,0.667708
0.78,0.677057,0.664946
0.79,0.67368,0.662222
0.8,0.67032,0.659537
0.81,0.666977,0.65689
0.82,0.66365,0.654281
0.83,0.66034,0.65171
0.84,0.657047,0.649177
0.85,0.65377,0.646682
0.86,0.650509,0.644225
0.87,0.647265,0.641805
0.88,0.644036,0.639422
0.89,0.640824,0.637077
0.9,0.637628,0.634769
0.91,0.634448,0.632498
0.92,0.631284,0.630264
0.93,0.628135,0.628067
0.94,0.625002,0.625907
0.95,0.621885,0.623784
0.96,0.618783,0.621697
0.97,0.615697,0.619646
0.98,0.612626,0.617632
0.99,0.609571,0.615654
1,0.606531,0.613712
