x,y,u_exact,u_approx
0,0,1,1
0,0.0333333,0.983471,0.98088
0,0.0666667,0.967216,0.962147
0,0.1,0.951229,0.943811
0,0.133333,0.935507,0.925885
0,0.166667,0.920044,0.908377
0,0.2,0.904837,0.891295
0,0.233333,0.889882,0.874646
0,0.266667,0.875173,0.858436
0,0.3,0.860708,0.842669
0,0.333333,0.846482,0.827349
0,0.366667,0.832491,0.812478
0,0.4,0.818731,0.798059
0,0.433333,0.805198,0.784093
0,0.466667,0.79189,0.770579
0,0.5,0.778801,0.757517
0,0.533333,0.765928,0.744906
0,0.566667,0.753269,0.732745
0,0.6,0.740818,0.721032
0,0.633333,0.728574,0.709764
0,0.666667,0.716531,0.698938
0,0.7,0.704688,0.688551
0,0.733333,0.693041,0.6786
0,0.766667,0.681586,0.66908
0,0.8,0.67032,0.659989
0,0.833333,0.659241,0.651322
0,0.866667,0.648344,0.643075
0,0.9,0.637628,0.635244
0,0.933333,0.627089,0.627825
0,0.966667,0.616724,0.620814
0,1,0.606531,0.614205
0.0333333,0,0.983471,0.980877
0.0333333,0.0333333,0.967216,0.962123
0.0333333,0.0666667,0.951229,0.943747
0.0333333,0.1,0.935507,0.925763
0.0333333,0.133333,0.920044,0.908179
0.0333333,0.166667,0.904837,0.891006
0.0333333,0.2,0.889882,0.87425
0.0333333,0.233333,0.875173,0.85792
0.0333333,0.266667,0.860708,0.84202
0.0333333,0.3,0.846482,0.826554
0.0333333,0.333333,0.832491,0.811527
0.0333333,0.366667,0.818731,0.796941
0.0333333,0.4,0.805198,0.782798
0.0333333,0.433333,0.79189,0.769098
0.0333333,0.466667,0.778801,0.755843
0.0333333,0.5,0.765928,0.743031
0.0333333,0.533333,0.753269,0.730661
0.0333333,0.566667,0.740818,0.718733
0.0333333,0.6,0.728574,0.707244
0.0333333,0.633333,0.716531,0.696191
0.0333333,0.666667,0.704688,0.685572
0.0333333,0.7,0.693041,0.675384
0.0333333,0.733333,0.681586,0.665623
0.0333333,0.766667,0.67032,0.656285
0.0333333,0.8,0.659241,0.647368
0.0333333,0.833333,0.648344,0.638867
0.0333333,0.866667,0.637628,0.630778
0.0333333,0.9,0.627089,0.623096
0.0333333,0.933333,0.616724,0.615819
0.0333333,0.966667,0.606531,0.608942
0.0333333,1,0.596506,0.60246
0.0666667,0,0.967216,0.962119
0.0666667,0.0333333,0.951229,0.943724
0.0666667,0.0666667,0.935507,0.9257
0.0666667,0.1,0.920044,0.908059
0.0666667,0.133333,0.904837,0.890812
0.0666667,0.166667,0.889882,0.873967
0.0666667,0.2,0.875173,0.857532
0.0666667,0.233333,0.860708,0.841513
0.0666667,0.266667,0.846482,0.825917
0.0666667,0.3,0.832491,0.810748
0.0666667,0.333333,0.818731,0.796008
0.0666667,0.366667,0.805198,0.781701
0.0666667,0.4,0.79189,0.767828
0.0666667,0.433333,0.778801,0.754391
0.0666667,0.466667,0.765928,0.741389
0.0666667,0.5,0.753269,0.728822
0.0666667,0.533333,0.740818,0.716689
0.0666667,0.566667,0.728574,0.704988
0.0666667,0.6,0.716531,0.693719
0.0666667,0.633333,0.704688,0.682877
0.0666667,0.666667,0.693041,0.672461
0.0666667,0.7,0.681586,0.662468
0.0666667,0.733333,0.67032,0.652894
0.0666667,0.766667,0.659241,0.643735
0.0666667,0.8,0.648344,0.634988
0.0666667,0.833333,0.637628,0.62665
0.0666667,0.866667,0.627089,0.618715
0.0666667,0.9,0.616724,0.611181
0.0666667,0.933333,0.606531,0.604043
0.0666667,0.966667,0.596506,0.597297
0.0666667,1,0.586646,0.590939
0.1,0,0.951229,0.94372
0.1,0.0333333,0.935507,0.925677
0.1,0.0666667,0.920044,0.907997
0.1,0.1,0.904837,0.890694
0.1,0.133333,0.889882,0.873776
0.1,0.166667,0.875173,0.857254
0.1,0.2,0.860708,0.841133
0.1,0.233333,0.846482,0.825421
0.1,0.266667,0.832491,0.810123
0.1,0.3,0.818731,0.795244
0.1,0.333333,0.805198,0.780786
0.1,0.366667,0.79189,0.766752
0.1,0.4,0.778801,0.753145
0.1,0.433333,0.765928,0.739964
0.1,0.466667,0.753269,0.727211
0.1,0.5,0.740818,0.714884
0.1,0.533333,0.728574,0.702983
0.1,0.566667,0.716531,0.691507
0.1,0.6,0.704688,0.680453
0.1,0.633333,0.693041,0.669819
0.1,0.666667,0.681586,0.659602
0.1,0.7,0.67032,0.6498
0.1,0.733333,0.659241,0.640408
0.1,0.766667,0.648344,0.631425
0.1,0.8,0.637628,0.622845
0.1,0.833333,0.627089,0.614666
0.1,0.866667,0.616724,0.606883
0.1,0.9,0.606531,0.599493
0.1,0.933333,0.596506,0.592491
