x,y,u_exact,u_approx
0.000000,0.000000,0.355000,0.332927
0.000000,0.020000,0.355000,0.363827
0.000000,0.040000,0.355000,0.361268
0.000000,0.060000,0.355000,0.354895
0.000000,0.080000,0.355000,0.351582
0.000000,0.100000,0.355000,0.351228
0.000000,0.120000,0.355000,0.352324
0.000000,0.140000,0.355000,0.353673
0.000000,0.160000,0.355000,0.354673
0.000000,0.180000,0.355000,0.355155
0.000000,0.200000,0.355000,0.355188
0.000000,0.220000,0.355000,0.354938
0.000000,0.240000,0.355000,0.354586
0.000000,0.260000,0.355000,0.354291
0.000000,0.280000,0.355000,0.354156
0.000000,0.300000,0.355000,0.354225
0.000000,0.320000,0.355000,0.354488
0.000000,0.340000,0.355000,0.354893
0.000000,0.360000,0.355000,0.355370
0.000000,0.380000,0.355000,0.355843
0.000000,0.400000,0.355000,0.356246
0.000000,0.420000,0.355000,0.356524
0.000000,0.440000,0.355000,0.356642
0.000000,0.460000,0.355000,0.356584
0.000000,0.480000,0.355000,0.356353
0.000000,0.500000,0.355000,0.355971
0.000000,0.520000,0.355000,0.355476
0.000000,0.540000,0.355000,0.354918
0.000000,0.560000,0.355000,0.354357
0.000000,0.580000,0.355000,0.353855
0.000000,0.600000,0.355000,0.353470
0.000000,0.620000,0.355000,0.353250
0.000000,0.640000,0.355000,0.353230
0.000000,0.660000,0.355000,0.353424
0.000000,0.680000,0.355000,0.353823
0.000000,0.700000,0.355000,0.354393
0.000000,0.720000,0.355000,0.355070
0.000000,0.740000,0.355000,0.355761
0.000000,0.760000,0.355000,0.356341
0.000000,0.780000,0.355000,0.356657
0.000000,0.800000,0.355000,0.356541
0.000000,0.820000,0.355000,0.355849
0.000000,0.840000,0.355000,0.354552
0.000000,0.860000,0.355000,0.352878
0.000000,0.880000,0.355000,0.351504
0.000000,0.900000,0.355000,0.351657
0.000000,0.920000,0.355000,0.354789
0.000000,0.940000,0.355000,0.361063
0.000000,0.960000,0.355000,0.365468
0.000000,0.980000,0.355000,0.350430
0.000000,1.000000,0.355000,0.275039
0.020000,0.000000,0.139694,0.184275
0.020000,0.020000,0.245019,0.263179
0.020000,0.040000,0.287851,0.296460
0.020000,0.060000,0.308193,0.311194
0.020000,0.080000,0.319302,0.319205
0.020000,0.100000,0.326085,0.324840
0.020000,0.120000,0.330585,0.329352
0.020000,0.140000,0.333756,0.332991
0.020000,0.160000,0.336093,0.335811
0.020000,0.180000,0.337871,0.337894
0.020000,0.200000,0.339259,0.339369
0.020000,0.220000,0.340361,0.340396
0.020000,0.240000,0.341249,0.341137
0.020000,0.260000,0.341973,0.341731
0.020000,0.280000,0.342566,0.342280
0.020000,0.300000,0.343054,0.342840
0.020000,0.320000,0.343456,0.343428
0.020000,0.340000,0.343786,0.344032
0.020000,0.360000,0.344055,0.344621
0.020000,0.380000,0.344272,0.345158
0.020000,0.400000,0.344443,0.345605
0.020000,0.420000,0.344573,0.345928
0.020000,0.440000,0.344665,0.346106
0.020000,0.460000,0.344723,0.346125
0.020000,0.480000,0.344749,0.345988
0.020000,0.500000,0.344743,0.345710
0.020000,0.520000,0.344706,0.345317
0.020000,0.540000,0.344639,0.344845
0.020000,0.560000,0.344539,0.344337
0.020000,0.580000,0.344405,0.343837
0.020000,0.600000,0.344236,0.343385
0.020000,0.620000,0.344026,0.343014
0.020000,0.640000,0.343773,0.342744
0.020000,0.660000,0.343468,0.342575
0.020000,0.680000,0.343105,0.342491
0.020000,0.700000,0.342673,0.342450
0.020000,0.720000,0.342158,0.342387
0.020000,0.740000,0.341541,0.342212
0.020000,0.760000,0.340798,0.341812
0.020000,0.780000,0.339895,0.341057
0.020000,0.800000,0.338782,0.339810
0.020000,0.820000,0.337390,0.337958
0.020000,0.840000,0.335614,0.335452
0.020000,0.860000,0.333287,0.332357
0.020000,0.880000,0.330133,0.328839
0.020000,0.900000,0.325662,0.324993
0.020000,0.920000,0.318920,0.320279
0.020000,0.940000,0.307868,0.312219
0.020000,0.960000,0.287603,0.294076
0.020000,0.980000,0.244875,0.251758
0.020000,1.000000,0.139694,0.162128
0.040000,0.000000,0.135300,0.127888
0.040000,0.020000,0.201752,0.203850
0.040000,0.040000,0.244457,0.247707
0.040000,0.060000,0.271060,0.273117
0.040000,0.080000,0.288115,0.288811
0.040000,0.100000,0.299547,0.299439
0.040000,0.120000,0.307558,0.307211
0.040000,0.140000,0.313395,0.313143
0.040000,0.160000,0.317784,0.317735
0.040000,0.180000,0.321172,0.321292
0.040000,0.200000,0.323840,0.324042
0.040000,0.220000,0.325975,0.326177
0.040000,0.240000,0.327705,0.327865
0.040000,0.260000,0.329118,0.329244
0.040000,0.280000,0.330281,0.330418
0.040000,0.300000,0.331241,0.331453
0.040000,0.320000,0.332034,0.332387
0.040000,0.340000,0.332686,0.333233
0.040000,0.360000,0.333219,0.333987
0.040000,0.380000,0.333649,0.334639
0.040000,0.400000,0.333988,0.335170
0.040000,0.420000,0.334246,0.335565
0.040000,0.440000,0.334431,0.335811
0.040000,0.460000,0.334548,0.335900
0.040000,0.480000,0.334601,0.335836
0.040000,0.500000,0.334592,0.335628
0.040000,0.520000,0.334521,0.335296
0.040000,0.540000,0.334389,0.334867
0.040000,0.560000,0.334194,0.334371
0.040000,0.580000,0.333933,0.333839
0.040000,0.600000,0.333600,0.333298
0.040000,0.620000,0.333188,0.332767
0.040000,0.640000,0.332690,0.332253
0.040000,0.660000,0.332092,0.331747
0.040000,0.680000,0.331379,0.331224
0.040000,0.700000,0.330532,0.330637
0.040000,0.720000,0.329523,0.329921
0.040000,0.740000,0.328318,0.328991
0.040000,0.760000,0.326869,0.327741
0.040000,0.780000,0.325113,0.326050
0.040000,0.800000,0.322962,0.323791
0.040000,0.820000,0.320289,0.320836
0.040000,0.840000,0.316909,0.317072
0.040000,0.860000,0.312542,0.312376
0.040000,0.880000,0.306745,0.306537
0.040000,0.900000,0.298792,0.299030
0.040000,0.920000,0.287443,0.288570
0.040000,0.940000,0.270498,0.272375
0.040000,0.960000,0.244038,0.245276
0.040000,0.980000,0.201518,0.199356
0.040000,1.000000,0.135300,0.125864
0.060000,0.000000,0.135300,0.119928
0.060000,0.020000,0.181068,0.176215
0.060000,0.040000,0.217174,0.216472
0.060000,0.060000,0.243610,0.244060
0.060000,0.080000,0.262658,0.263112
0.060000,0.100000,0.276506,0.276735
0.060000,0.120000,0.286764,0.286871
0.060000,0.140000,0.294526,0.294648
0.060000,0.160000,0.300520,0.300730
0.060000,0.180000,0.305233,0.305537
0.060000,0.200000,0.308995,0.309363
0.060000,0.220000,0.312036,0.312434
0.060000,0.240000,0.314519,0.314929
0.060000,0.260000,0.316561,0.316987
0.060000,0.280000,0.318248,0.318715
0.060000,0.300000,0.319646,0.320189
0.060000,0.320000,0.320804,0.321461
0.060000,0.340000,0.321760,0.322560
0.060000,0.360000,0.322543,0.323504
0.060000,0.380000,0.323176,0.324296
0.060000,0.400000,0.323677,0.324937
0.060000,0.420000,0.324060,0.325420
0.060000,0.440000,0.324335,0.325742
0.060000,0.460000,0.324509,0.325899
