x,y,u_exact,u_approx
0,0,-0.999999,-0.999946
0,0.02,-0.999998,-0.999933
0,0.04,-0.999997,-0.999917
0,0.06,-0.999997,-0.999898
0,0.08,-0.999996,-0.999874
0,0.1,-0.999994,-0.999844
0,0.12,-0.999992,-0.999807
0,0.14,-0.99999,-0.999762
0,0.16,-0.999986,-0.999706
0,0.18,-0.999982,-0.999637
0,0.2,-0.999976,-0.999552
0,0.22,-0.999968,-0.999446
0,0.24,-0.999957,-0.999316
0,0.26,-0.999943,-0.999154
0,0.28,-0.999924,-0.998956
0,0.3,-0.9999,-0.99871
0,0.32,-0.999867,-0.998406
0,0.34,-0.999823,-0.998031
0,0.36,-0.999765,-0.997568
0,0.38,-0.999689,-0.996997
0,0.4,-0.999587,-0.996291
0,0.42,-0.999452,-0.99542
0,0.44,-0.999273,-0.994344
0,0.46,-0.999036,-0.993017
0,0.48,-0.998721,-0.99138
0,0.5,-0.998303,-0.989362
0,0.52,-0.997749,-0.986874
0,0.54,-0.997014,-0.983808
0,0.56,-0.996039,-0.980034
0,0.58,-0.994748,-0.975391
0,0.6,-0.993037,-0.969685
0,0.62,-0.990772,-0.96268
0,0.64,-0.987774,-0.954095
0,0.66,-0.983809,-0.943592
0,0.68,-0.978573,-0.930771
0,0.7,-0.971668,-0.915163
0,0.72,-0.96258,-0.896225
0,0.74,-0.950649,-0.873339
0,0.76,-0.93504,-0.845817
0,0.78,-0.91471,-0.812911
0,0.8,-0.888386,-0.773843
0,0.82,-0.854553,-0.727842
0,0.84,-0.811488,-0.674202
0,0.86,-0.757341,-0.612363
0,0.88,-0.6903,-0.541997
0,0.9,-0.608859,-0.46311
0,0.92,-0.512184,-0.376134
0,0.94,-0.400517,-0.281982
0,0.96,-0.275534,-0.182067
0,0.98,-0.140486,-0.0782443
0,1,0,0.0273034
0.02,0,-0.999998,-0.999933
0.02,0.02,-0.999997,-0.999917
0.02,0.04,-0.999997,-0.999898
0.02,0.06,-0.999996,-0.999874
0.02,0.08,-0.999994,-0.999844
0.02,0.1,-0.999992,-0.999807
0.02,0.12,-0.99999,-0.999762
0.02,0.14,-0.999986,-0.999706
0.02,0.16,-0.999982,-0.999637
0.02,0.18,-0.999976,-0.999552
0.02,0.2,-0.999968,-0.999446
0.02,0.22,-0.999957,-0.999316
0.02,0.24,-0.999943,-0.999154
0.02,0.26,-0.999924,-0.998956
0.02,0.28,-0.9999,-0.99871
0.02,0.3,-0.999867,-0.998406
0.02,0.32,-0.999823,-0.998031
0.02,0.34,-0.999765,-0.997568
0.02,0.36,-0.999689,-0.996997
0.02,0.38,-0.999587,-0.996291
0.02,0.4,-0.999452,-0.99542
0.02,0.42,-0.999273,-0.994344
0.02,0.44,-0.999036,-0.993017
0.02,0.46,-0.998721,-0.99138
0.02,0.48,-0.998303,-0.989362
0.02,0.5,-0.997749,-0.986874
0.02,0.52,-0.997014,-0.983808
0.02,0.54,-0.996039,-0.980034
0.02,0.56,-0.994748,-0.975391
0.02,0.58,-0.993037,-0.969685
0.02,0.6,-0.990772,-0.96268
0.02,0.62,-0.987774,-0.954095
0.02,0.64,-0.983809,-0.943592
0.02,0.66,-0.978573,-0.930771
0.02,0.68,-0.971668,-0.915163
0.02,0.7,-0.96258,-0.896225
0.02,0.72,-0.950649,-0.873339
0.02,0.74,-0.93504,-0.845817
0.02,0.76,-0.91471,-0.812911
0.02,0.78,-0.888386,-0.773843
0.02,0.8,-0.854553,-0.727842
0.02,0.82,-0.811488,-0.674202
0.02,0.84,-0.757341,-0.612363
0.02,0.86,-0.6903,-0.541997
0.02,0.88,-0.608859,-0.46311
0.02,0.9,-0.512184,-0.376134
0.02,0.92,-0.400517,-0.281982
0.02,0.94,-0.275534,-0.182067
0.02,0.96,-0.140486,-0.0782443
0.02,0.98,0,0.0273034
0.02,1,0.140486,0.132246
0.04,0,-0.999997,-0.999917
0.04,0.02,-0.999997,-0.999898
0.04,0.04,-0.999996,-0.999874
0.04,0.06,-0.999994,-0.999844
0.04,0.08,-0.999992,-0.999807
0.04,0.1,-0.99999,-0.999762
0.04,0.12,-0.999986,-0.999706
0.04,0.14,-0.999982,-0.999637
0.04,0.16,-0.999976,-0.999552
0.04,0.18,-0.999968,-0.999446
0.04,0.2,-0.999957,-0.999316
0.04,0.22,-0.999943,-0.999154
0.04,0.24,-0.999924,-0.998956
