x,u_exact,u_approx
0,1,0.88269
0.01,0.99995,0.882646
0.02,0.9998,0.882514
0.03,0.99955,0.882293
0.04,0.999201,0.881985
0.05,0.998751,0.881588
0.06,0.998203,0.881104
0.07,0.997555,0.880532
0.08,0.996809,0.879873
0.09,0.995964,0.879128
0.1,0.995021,0.878295
0.11,0.99398,0.877377
0.12,0.992843,0.876373
0.13,0.991609,0.875284
0.14,0.990279,0.87411
0.15,0.988855,0.872852
0.16,0.987335,0.871511
0.17,0.985722,0.870087
0.18,0.984016,0.868581
0.19,0.982218,0.866994
0.2,0.980328,0.865326
0.21,0.978348,0.863578
0.22,0.976279,0.861752
0.23,0.974121,0.859847
0.24,0.971875,0.857865
0.25,0.969544,0.855807
0.26,0.967127,0.853673
0.27,0.964625,0.851466
0.28,0.962041,0.849184
0.29,0.959375,0.846831
0.3,0.956628,0.844406
0.31,0.953802,0.841912
0.32,0.950897,0.839348
0.33,0.947916,0.836716
0.34,0.944859,0.834018
0.35,0.941728,0.831254
0.36,0.938524,0.828426
0.37,0.935249,0.825535
0.38,0.931903,0.822582
0.39,0.928489,0.819568
0.4,0.925007,0.816495
0.41,0.92146,0.813364
0.42,0.917849,0.810176
0.43,0.914174,0.806933
0.44,0.910439,0.803635
0.45,0.906643,0.800285
0.46,0.902789,0.796883
0.47,0.898878,0.793431
0.48,0.894912,0.78993
0.49,0.890891,0.786381
0.5,0.886819,0.782787
0.51,0.882696,0.779147
0.52,0.878523,0.775464
0.53,0.874303,0.771739
0.54,0.870036,0.767973
0.55,0.865725,0.764167
0.56,0.86137,0.760323
0.57,0.856974,0.756443
0.58,0.852538,0.752527
0.59,0.848063,0.748577
0.6,0.843551,0.744594
0.61,0.839003,0.74058
0.62,0.834421,0.736535
0.63,0.829806,0.732462
0.64,0.82516,0.728361
0.65,0.820484,0.724233
0.66,0.815779,0.720081
0.67,0.811048,0.715904
0.68,0.806291,0.711705
0.69,0.80151,0.707485
0.7,0.796705,0.703244
0.71,0.79188,0.698985
0.72,0.787034,0.694708
0.73,0.78217,0.690414
0.74,0.777288,0.686105
0.75,0.77239,0.681781
0.76,0.767477,0.677444
0.77,0.76255,0.673095
0.78,0.757611,0.668736
0.79,0.75266,0.664366
0.8,0.7477,0.659988
0.81,0.742731,0.655601
0.82,0.737754,0.651208
0.83,0.73277,0.646809
0.84,0.727782,0.642406
0.85,0.722788,0.637998
0.86,0.717792,0.633588
0.87,0.712793,0.629176
0.88,0.707794,0.624763
0.89,0.702794,0.620349
0.9,0.697795,0.615937
0.91,0.692797,0.611526
0.92,0.687803,0.607117
0.93,0.682812,0.602712
0.94,0.677826,0.598311
0.95,0.672845,0.593914
0.96,0.667871,0.589524
0.97,0.662904,0.585139
0.98,0.657945,0.580762
0.99,0.652995,0.576392
1,0.648054,0.572031
