x,y,u_exact,u_approx
0,0,1,0.977426
0,0.0333333,0.999445,0.970055
0,0.0666667,0.997782,0.961732
0,0.1,0.995021,0.952502
0,0.133333,0.991176,0.94241
0,0.166667,0.98627,0.931506
0,0.2,0.980328,0.91984
0,0.233333,0.973382,0.907468
0,0.266667,0.965468,0.894443
0,0.3,0.956628,0.880821
0,0.333333,0.946905,0.86666
0,0.366667,0.936348,0.852015
0,0.4,0.925007,0.836942
0,0.433333,0.912936,0.821496
0,0.466667,0.900188,0.805731
0,0.5,0.886819,0.789698
0,0.533333,0.872886,0.773449
0,0.566667,0.858444,0.75703
0,0.6,0.843551,0.740489
0,0.633333,0.828261,0.723867
0,0.666667,0.812628,0.707207
0,0.7,0.796705,0.690546
0,0.733333,0.780544,0.673921
0,0.766667,0.764194,0.657364
0,0.8,0.7477,0.640906
0,0.833333,0.731108,0.624574
0,0.866667,0.71446,0.608396
0,0.9,0.697795,0.592392
0,0.933333,0.68115,0.576585
0,0.966667,0.664559,0.560992
0,1,0.648054,0.54563
0.0333333,0,0.999445,0.979787
0.0333333,0.0333333,0.997782,0.972845
0.0333333,0.0666667,0.995021,0.964936
0.0333333,0.1,0.991176,0.956101
0.0333333,0.133333,0.98627,0.946385
0.0333333,0.166667,0.980328,0.935834
0.0333333,0.2,0.973382,0.9245
0.0333333,0.233333,0.965468,0.912435
0.0333333,0.266667,0.956628,0.899695
0.0333333,0.3,0.946905,0.886333
0.0333333,0.333333,0.936348,0.872408
0.0333333,0.366667,0.925007,0.857975
0.0333333,0.4,0.912936,0.84309
0.0333333,0.433333,0.900188,0.827809
0.0333333,0.466667,0.886819,0.812185
0.0333333,0.5,0.872886,0.796271
0.0333333,0.533333,0.858444,0.780119
0.0333333,0.566667,0.843551,0.763778
0.0333333,0.6,0.828261,0.747293
0.0333333,0.633333,0.812628,0.730711
0.0333333,0.666667,0.796705,0.714072
0.0333333,0.7,0.780544,0.697416
0.0333333,0.733333,0.764194,0.68078
0.0333333,0.766667,0.7477,0.664199
0.0333333,0.8,0.731108,0.647703
0.0333333,0.833333,0.71446,0.631322
0.0333333,0.866667,0.697795,0.615083
0.0333333,0.9,0.68115,0.59901
0.0333333,0.933333,0.664559,0.583123
0.0333333,0.966667,0.648054,0.567443
0.0333333,1,0.631665,0.551987
0.0666667,0,0.997782,0.980857
0.0666667,0.0333333,0.995021,0.974358
0.0666667,0.0666667,0.991176,0.966878
0.0666667,0.1,0.98627,0.958454
0.0666667,0.133333,0.980328,0.94913
0.0666667,0.166667,0.973382,0.938953
0.0666667,0.2,0.965468,0.927971
0.0666667,0.233333,0.956628,0.916237
0.0666667,0.266667,0.946905,0.903804
0.0666667,0.3,0.936348,0.890728
0.0666667,0.333333,0.925007,0.877064
0.0666667,0.366667,0.912936,0.862868
0.0666667,0.4,0.900188,0.848197
0.0666667,0.433333,0.886819,0.833107
0.0666667,0.466667,0.872886,0.817651
0.0666667,0.5,0.858444,0.801883
0.0666667,0.533333,0.843551,0.785855
0.0666667,0.566667,0.828261,0.769617
0.0666667,0.6,0.812628,0.753217
0.0666667,0.633333,0.796705,0.736699
0.0666667,0.666667,0.780544,0.720107
