x,y,u_exact,u_approx
0.000000,0.000000,1.000000,0.998962
0.000000,0.020000,0.985000,0.984673
0.000000,0.040000,0.970000,0.970080
0.000000,0.060000,0.955000,0.955274
0.000000,0.080000,0.940000,0.940327
0.000000,0.100000,0.925000,0.925292
0.000000,0.120000,0.910000,0.910212
0.000000,0.140000,0.895000,0.895112
0.000000,0.160000,0.880000,0.880014
0.000000,0.180000,0.865000,0.864930
0.000000,0.200000,0.850000,0.849866
0.000000,0.220000,0.835000,0.834825
0.000000,0.240000,0.820000,0.819808
0.000000,0.260000,0.805000,0.804812
0.000000,0.280000,0.790000,0.789834
0.000000,0.300000,0.775000,0.774870
0.000000,0.320000,0.760000,0.759913
0.000000,0.340000,0.745000,0.744961
0.000000,0.360000,0.730000,0.730008
0.000000,0.380000,0.715000,0.715052
0.000000,0.400000,0.700000,0.700088
0.000000,0.420000,0.685000,0.685116
0.000000,0.440000,0.670000,0.670133
0.000000,0.460000,0.655000,0.655139
0.000000,0.480000,0.640000,0.640135
0.000000,0.500000,0.625000,0.625121
0.000000,0.520000,0.610000,0.610099
0.000000,0.540000,0.595000,0.595070
0.000000,0.560000,0.580000,0.580036
0.000000,0.580000,0.565000,0.565001
0.000000,0.600000,0.550000,0.549966
0.000000,0.620000,0.535000,0.534934
0.000000,0.640000,0.520000,0.519908
0.000000,0.660000,0.505000,0.504889
0.000000,0.680000,0.490000,0.489879
0.000000,0.700000,0.475000,0.474878
0.000000,0.720000,0.460000,0.459888
0.000000,0.740000,0.445000,0.444907
0.000000,0.760000,0.430000,0.429936
0.000000,0.780000,0.415000,0.414971
0.000000,0.800000,0.400000,0.400010
0.000000,0.820000,0.385000,0.385051
0.000000,0.840000,0.370000,0.370090
0.000000,0.860000,0.355000,0.355121
0.000000,0.880000,0.340000,0.340141
0.000000,0.900000,0.325000,0.325142
0.000000,0.920000,0.310000,0.310120
0.000000,0.940000,0.295000,0.295066
0.000000,0.960000,0.280000,0.279975
0.000000,0.980000,0.265000,0.264837
0.000000,1.000000,0.250000,0.249646
0.020000,0.000000,0.985000,0.984629
0.020000,0.020000,0.971176,0.971068
0.020000,0.040000,0.956984,0.957117
0.020000,0.060000,0.942573,0.942868
0.020000,0.080000,0.928017,0.928397
0.020000,0.100000,0.913355,0.913762
0.020000,0.120000,0.898613,0.899009
0.020000,0.140000,0.883808,0.884174
0.020000,0.160000,0.868951,0.869283
0.020000,0.180000,0.854051,0.854353
0.020000,0.200000,0.839116,0.839399
0.020000,0.220000,0.824151,0.824430
0.020000,0.240000,0.809160,0.809451
0.020000,0.260000,0.794147,0.794464
0.020000,0.280000,0.779116,0.779470
0.020000,0.300000,0.764070,0.764470
0.020000,0.320000,0.749009,0.749461
0.020000,0.340000,0.733938,0.734442
0.020000,0.360000,0.718856,0.719412
0.020000,0.380000,0.703767,0.704369
0.020000,0.400000,0.688671,0.689312
0.020000,0.420000,0.673569,0.674241
0.020000,0.440000,0.658463,0.659155
0.020000,0.460000,0.643353,0.644056
0.020000,0.480000,0.628240,0.628943
0.020000,0.500000,0.613126,0.613818
0.020000,0.520000,0.598009,0.598683
0.020000,0.540000,0.582892,0.583539
0.020000,0.560000,0.567775,0.568389
0.020000,0.580000,0.552657,0.553235
0.020000,0.600000,0.537540,0.538080
0.020000,0.620000,0.522423,0.522925
0.020000,0.640000,0.507306,0.507774
