x,u_exact,u_approx
0,0.1,0
0.01,0.107985,0.00878451
0.02,0.11597,0.0175683
0.03,0.123935,0.0263508
0.04,0.131899,0.0351313
0.05,0.139841,0.043909
0.06,0.147782,0.0526833
0.07,0.155699,0.0614536
0.08,0.163614,0.0702192
0.09,0.171505,0.0789793
0.1,0.179392,0.0877333
0.11,0.187254,0.0964805
0.12,0.195111,0.10522
0.13,0.202943,0.113952
0.14,0.210767,0.122675
0.15,0.218566,0.131388
0.16,0.226356,0.140092
0.17,0.234122,0.148784
0.18,0.241876,0.157465
0.19,0.249606,0.166134
0.2,0.257322,0.17479
0.21,0.265015,0.183433
0.22,0.272691,0.192061
0.23,0.280346,0.200674
0.24,0.287982,0.209273
0.25,0.295596,0.217854
0.26,0.30319,0.22642
0.27,0.310764,0.234967
0.28,0.318314,0.243497
0.29,0.325846,0.252007
0.3,0.333351,0.260499
0.31,0.34084,0.26897
0.32,0.3483,0.27742
0.33,0.355744,0.285849
0.34,0.363157,0.294256
0.35,0.370557,0.30264
0.36,0.377923,0.311001
0.37,0.385276,0.319338
0.38,0.392594,0.32765
0.39,0.399901,0.335937
0.4,0.40717,0.344198
0.41,0.41443,0.352433
0.42,0.421649,0.36064
0.43,0.428862,0.36882
0.44,0.436031,0.376971
0.45,0.443196,0.385092
0.46,0.450315,0.393185
0.47,0.457431,0.401247
0.48,0.4645,0.409277
0.49,0.471567,0.417277
0.5,0.478585,0.425244
0.51,0.485603,0.433178
0.52,0.49257,0.441079
0.53,0.499537,0.448946
0.54,0.506456,0.456778
0.55,0.513372,0.464575
0.56,0.520242,0.472336
0.57,0.527107,0.48006
0.58,0.533928,0.487748
0.59,0.540742,0.495398
0.6,0.547514,0.50301
0.61,0.554278,0.510582
0.62,0.561002,0.518116
0.63,0.567715,0.525609
0.64,0.574391,0.533062
0.65,0.581054,0.540474
0.66,0.587682,0.547844
0.67,0.594296,0.555172
0.68,0.600877,0.562457
0.69,0.607441,0.569699
0.7,0.613975,0.576896
0.71,0.620491,0.584049
0.72,0.626979,0.591157
0.73,0.633447,0.59822
0.74,0.63989,0.605236
0.75,0.64631,0.612205
0.76,0.652708,0.619128
0.77,0.659082,0.626002
0.78,0.665435,0.632828
0.79,0.671764,0.639606
0.8,0.678074,0.646334
0.81,0.684358,0.653012
0.82,0.690625,0.65964
0.83,0.696865,0.666216
0.84,0.703091,0.672742
0.85,0.709288,0.679215
0.86,0.715474,0.685636
0.87,0.721629,0.692005
0.88,0.727775,0.698319
0.89,0.73389,0.70458
0.9,0.739996,0.710787
0.91,0.746072,0.716938
0.92,0.752141,0.723035
0.93,0.758179,0.729075
0.94,0.764211,0.73506
0.95,0.770212,0.740987
0.96,0.77621,0.746858
0.97,0.782175,0.75267
0.98,0.788138,0.758425
0.99,0.794069,0.764121
1,0.8,0.769758
