x,u_exact,u_approx
0.000000,0.100000,0.100000
0.010000,0.107985,0.107990
0.020000,0.115970,0.115971
0.030000,0.123935,0.123941
0.040000,0.131899,0.131900
0.050000,0.139841,0.139848
0.060000,0.147782,0.147784
0.070000,0.155699,0.155707
0.080000,0.163614,0.163617
0.090000,0.171505,0.171513
0.100000,0.179392,0.179395
0.110000,0.187254,0.187262
0.120000,0.195111,0.195114
0.130000,0.202943,0.202950
0.140000,0.210767,0.210770
0.150000,0.218566,0.218574
0.160000,0.226356,0.226361
0.170000,0.234122,0.234130
0.180000,0.241876,0.241881
0.190000,0.249606,0.249614
0.200000,0.257322,0.257328
0.210000,0.265015,0.265024
0.220000,0.272691,0.272699
0.230000,0.280346,0.280355
0.240000,0.287982,0.287991
0.250000,0.295596,0.295606
0.260000,0.303190,0.303200
0.270000,0.310764,0.310773
0.280000,0.318314,0.318324
0.290000,0.325846,0.325854
0.300000,0.333351,0.333362
0.310000,0.340840,0.340848
0.320000,0.348300,0.348311
0.330000,0.355744,0.355751
0.340000,0.363157,0.363168
0.350000,0.370557,0.370563
0.360000,0.377923,0.377934
0.370000,0.385276,0.385281
0.380000,0.392594,0.392605
0.390000,0.399901,0.399905
0.400000,0.407170,0.407181
0.410000,0.414430,0.414433
0.420000,0.421649,0.421661
0.430000,0.428862,0.428864
0.440000,0.436031,0.436043
0.450000,0.443196,0.443198
0.460000,0.450315,0.450327
0.470000,0.457431,0.457432
0.480000,0.464500,0.464513
0.490000,0.471567,0.471568
0.500000,0.478585,0.478598
0.510000,0.485603,0.485604
0.520000,0.492570,0.492584
0.530000,0.499537,0.499540
0.540000,0.506456,0.506470
0.550000,0.513372,0.513376
0.560000,0.520242,0.520256
0.570000,0.527107,0.527111
0.580000,0.533928,0.533942
0.590000,0.540742,0.540748
0.600000,0.547514,0.547528
0.610000,0.554278,0.554284
0.620000,0.561002,0.561015
0.630000,0.567715,0.567722
0.640000,0.574391,0.574404
0.650000,0.581054,0.581061
0.660000,0.587682,0.587694
0.670000,0.594296,0.594303
0.680000,0.600877,0.600888
0.690000,0.607441,0.607449
0.700000,0.613975,0.613986
0.710000,0.620491,0.620499
0.720000,0.626979,0.626989
0.730000,0.633447,0.633455
0.740000,0.639890,0.639898
0.750000,0.646310,0.646318
0.760000,0.652708,0.652716
0.770000,0.659082,0.659090
0.780000,0.665435,0.665442
0.790000,0.671764,0.671772
0.800000,0.678074,0.678080
0.810000,0.684358,0.684367
0.820000,0.690625,0.690631
0.830000,0.696865,0.696874
0.840000,0.703091,0.703097
0.850000,0.709288,0.709298
0.860000,0.715474,0.715479
0.870000,0.721629,0.721639
0.880000,0.727775,0.727779
0.890000,0.733890,0.733899
0.900000,0.739996,0.740000
0.910000,0.746072,0.746082
0.920000,0.752141,0.752144
0.930000,0.758179,0.758188
0.940000,0.764211,0.764214
0.950000,0.770212,0.770221
0.960000,0.776210,0.776211
0.970000,0.782175,0.782184
0.980000,0.788138,0.788139
0.990000,0.794069,0.794078
1.000000,0.800000,0.800000
