x,y,u_exact,u_approx
0,0,0,0
0,0.02,0.0199973,0.0209675
0,0.04,0.0399787,0.0419165
0,0.06,0.0599281,0.0628287
0,0.08,0.0798298,0.0836859
0,0.1,0.099668,0.10447
0,0.12,0.119427,0.125163
0,0.14,0.139092,0.145748
0,0.16,0.158649,0.166208
0,0.18,0.178081,0.186525
0,0.2,0.197375,0.206684
0,0.22,0.216518,0.22667
0,0.24,0.235496,0.246466
0,0.26,0.254296,0.266058
0,0.28,0.272905,0.285433
0,0.3,0.291313,0.304578
0,0.32,0.309507,0.32348
0,0.34,0.327477,0.342127
0,0.36,0.345214,0.360508
0,0.38,0.362707,0.378613
0,0.4,0.379949,0.396434
0,0.42,0.39693,0.41396
0,0.44,0.413644,0.431185
0,0.46,0.430084,0.448101
0,0.48,0.446244,0.464703
0,0.5,0.462117,0.480984
0,0.52,0.4777,0.496939
0,0.54,0.492988,0.512566
0,0.56,0.507977,0.527861
0,0.58,0.522665,0.54282
0,0.6,0.53705,0.557443
0,0.62,0.551128,0.571728
0,0.64,0.5649,0.585675
0,0.66,0.578363,0.599283
0,0.68,0.591519,0.612553
0,0.7,0.604368,0.625487
0,0.72,0.616909,0.638086
0,0.74,0.629145,0.650353
0,0.76,0.641077,0.662289
0,0.78,0.652707,0.673898
0,0.8,0.664037,0.685184
0,0.82,0.67507,0.69615
0,0.84,0.685809,0.706801
0,0.86,0.696258,0.717141
0,0.88,0.706419,0.727174
0,0.9,0.716298,0.736906
0,0.92,0.725897,0.746341
0,0.94,0.735222,0.755486
0,0.96,0.744277,0.764346
0,0.98,0.753066,0.772926
0,1,0.761594,0.781233
0.02,0,0.0199973,0.0199973
0.02,0.02,0.0399787,0.0405483
0.02,0.04,0.0599281,0.0610651
0.02,0.06,0.0798298,0.0815304
0.02,0.08,0.099668,0.101927
0.02,0.1,0.119427,0.122239
0.02,0.12,0.139092,0.142448
0.02,0.14,0.158649,0.16254
0.02,0.16,0.178081,0.182497
0.02,0.18,0.197375,0.202305
0.02,0.2,0.216518,0.22195
0.02,0.22,0.235496,0.241415
0.02,0.24,0.254296,0.260689
0.02,0.26,0.272905,0.279756
0.02,0.28,0.291313,0.298606
0.02,0.3,0.309507,0.317225
0.02,0.32,0.327477,0.335603
0.02,0.34,0.345214,0.353729
0.02,0.36,0.362707,0.371593
0.02,0.38,0.379949,0.389187
0.02,0.4,0.39693,0.4065
0.02,0.42,0.413644,0.423527
0.02,0.44,0.430084,0.44026
0.02,0.46,0.446244,0.456692
0.02,0.48,0.462117,0.472818
0.02,0.5,0.4777,0.488634
0.02,0.52,0.492988,0.504135
0.02,0.54,0.507977,0.519318
0.02,0.56,0.522665,0.53418
0.02,0.58,0.53705,0.548719
0.02,0.6,0.551128,0.562934
0.02,0.62,0.5649,0.576823
0.02,0.64,0.578363,0.590386
0.02,0.66,0.591519,0.603624
0.02,0.68,0.604368,0.616537
0.02,0.7,0.616909,0.629127
0.02,0.72,0.629145,0.641395
0.02,0.74,0.641077,0.653344
0.02,0.76,0.652707,0.664976
0.02,0.78,0.664037,0.676294
0.02,0.8,0.67507,0.687302
0.02,0.82,0.685809,0.698002
0.02,0.84,0.696258,0.7084
0.02,0.86,0.706419,0.718499
0.02,0.88,0.716298,0.728304
0.02,0.9,0.725897,0.737819
0.02,0.92,0.735222,0.74705
0.02,0.94,0.744277,0.756002
0.02,0.96,0.753066,0.764679
0.02,0.98,0.761594,0.773088
0.02,1,0.769867,0.781234
0.04,0,0.0399787,0.0399787
0.04,0.02,0.0599281,0.0600984
0.04,0.04,0.0798298,0.0801695
0.04,0.06,0.099668,0.100176
0.04,0.08,0.119427,0.120101
0.04,0.1,0.139092,0.139931
0.04,0.12,0.158649,0.159648
0.04,0.14,0.178081,0.179239
0.04,0.16,0.197375,0.198689
0.04,0.18,0.216518,0.217984
0.04,0.2,0.235496,0.23711
0.04,0.22,0.254296,0.256054
0.04,0.24,0.272905,0.274803
0.04,0.26,0.291313,0.293345
0.04,0.28,0.309507,0.311669
0.04,0.3,0.327477,0.329765
0.04,0.32,0.345214,0.347621
0.04,0.34,0.362707,0.365229
0.04,0.36,0.379949,0.382579
0.04,0.38,0.39693,0.399663
