x,u_exact,u_approx
0,0,0.0489534
0.01,0.00999967,0.0565123
0.02,0.0199973,0.0640661
0.03,0.029991,0.071614
0.04,0.0399787,0.079155
0.05,0.0499584,0.0866883
0.06,0.0599281,0.0942129
0.07,0.0698859,0.101728
0.08,0.0798298,0.109233
0.09,0.0897578,0.116726
0.1,0.099668,0.124207
0.11,0.109558,0.131675
0.12,0.119427,0.13913
0.13,0.129273,0.146569
0.14,0.139092,0.153993
0.15,0.148885,0.161401
0.16,0.158649,0.168791
0.17,0.168381,0.176163
0.18,0.178081,0.183517
0.19,0.187746,0.19085
0.2,0.197375,0.198164
0.21,0.206966,0.205455
0.22,0.216518,0.212725
0.23,0.226028,0.219973
0.24,0.235496,0.227196
0.25,0.244919,0.234396
0.26,0.254296,0.24157
0.27,0.263625,0.248719
0.28,0.272905,0.255841
0.29,0.282135,0.262936
0.3,0.291313,0.270004
0.31,0.300437,0.277043
0.32,0.309507,0.284052
0.33,0.318521,0.291033
0.34,0.327477,0.297982
0.35,0.336376,0.304901
0.36,0.345214,0.311788
0.37,0.353992,0.318643
0.38,0.362707,0.325465
0.39,0.37136,0.332254
0.4,0.379949,0.339009
0.41,0.388473,0.345729
0.42,0.39693,0.352415
0.43,0.405321,0.359065
0.44,0.413644,0.365679
0.45,0.421899,0.372257
0.46,0.430084,0.378797
0.47,0.438199,0.385301
0.48,0.446244,0.391766
0.49,0.454216,0.398194
0.5,0.462117,0.404583
0.51,0.469945,0.410932
0.52,0.4777,0.417243
0.53,0.485381,0.423513
0.54,0.492988,0.429744
0.55,0.50052,0.435934
0.56,0.507977,0.442083
0.57,0.515359,0.448191
0.58,0.522665,0.454257
0.59,0.529896,0.460282
0.6,0.53705,0.466265
0.61,0.544127,0.472206
0.62,0.551128,0.478105
0.63,0.558052,0.48396
0.64,0.5649,0.489773
0.65,0.57167,0.495543
0.66,0.578363,0.501269
0.67,0.58498,0.506952
0.68,0.591519,0.512591
0.69,0.597982,0.518186
0.7,0.604368,0.523738
0.71,0.610677,0.529245
0.72,0.616909,0.534709
0.73,0.623065,0.540128
0.74,0.629145,0.545502
0.75,0.635149,0.550833
0.76,0.641077,0.556118
0.77,0.646929,0.561359
0.78,0.652707,0.566556
0.79,0.658409,0.571708
0.8,0.664037,0.576815
0.81,0.66959,0.581878
0.82,0.67507,0.586896
0.83,0.680476,0.591869
0.84,0.685809,0.596798
0.85,0.691069,0.601682
0.86,0.696258,0.606521
0.87,0.701374,0.611316
0.88,0.706419,0.616067
0.89,0.711394,0.620773
0.9,0.716298,0.625435
0.91,0.721132,0.630053
0.92,0.725897,0.634626
0.93,0.730594,0.639156
0.94,0.735222,0.643642
0.95,0.739783,0.648083
0.96,0.744277,0.652482
0.97,0.748704,0.656836
0.98,0.753066,0.661148
0.99,0.757362,0.665416
1,0.761594,0.669641
