x,u_exact,u_approx
0,1,1
0.01,0.999898,0.9999
0.02,0.999796,0.9996
0.03,0.999498,0.9991
0.04,0.999192,0.998401
0.05,0.998699,0.997503
0.06,0.99819,0.996406
0.07,0.997502,0.995112
0.08,0.99679,0.99362
0.09,0.995908,0.991933
0.1,0.994994,0.99005
0.11,0.99392,0.987973
0.12,0.992804,0.985703
0.13,0.991538,0.983242
0.14,0.990223,0.980591
0.15,0.988767,0.977751
0.16,0.987255,0.974725
0.17,0.98561,0.971514
0.18,0.983901,0.968119
0.19,0.98207,0.964544
0.2,0.980167,0.960789
0.21,0.978151,0.956858
0.22,0.976057,0.952753
0.23,0.973859,0.948475
0.24,0.971576,0.944027
0.25,0.969198,0.939413
0.26,0.966729,0.934634
0.27,0.964173,0.929694
0.28,0.961521,0.924595
0.29,0.958792,0.919339
0.3,0.955959,0.913931
0.31,0.953059,0.908373
0.32,0.95005,0.902668
0.33,0.946981,0.89682
0.34,0.9438,0.890831
0.35,0.940566,0.884706
0.36,0.937216,0.878447
0.37,0.933821,0.872057
0.38,0.930306,0.865541
0.39,0.926754,0.858902
0.4,0.923078,0.852144
0.41,0.919372,0.845269
0.42,0.915539,0.838283
0.43,0.911685,0.831187
0.44,0.9077,0.823987
0.45,0.9037,0.816686
0.46,0.899568,0.809288
0.47,0.895427,0.801797
0.48,0.891152,0.794216
0.49,0.886875,0.786549
0.5,0.882462,0.778801
0.51,0.87805,0.770974
0.52,0.873508,0.763074
0.53,0.868963,0.755104
0.54,0.864299,0.747067
0.55,0.859627,0.738968
0.56,0.854845,0.730811
0.57,0.850051,0.7226
0.58,0.845156,0.714337
0.59,0.840245,0.706028
0.6,0.835244,0.697676
0.61,0.830221,0.689285
0.62,0.825117,0.680859
0.63,0.819989,0.672401
0.64,0.814787,0.663916
0.65,0.809559,0.655406
0.66,0.804265,0.646876
0.67,0.798942,0.63833
0.68,0.793562,0.62977
0.69,0.78815,0.621201
0.7,0.782687,0.612626
0.71,0.777192,0.604049
0.72,0.771653,0.595473
0.73,0.766081,0.5869
0.74,0.760471,0.578336
0.75,0.754827,0.569783
0.76,0.74915,0.561244
0.77,0.74344,0.552722
0.78,0.737703,0.544221
0.79,0.731933,0.535743
0.8,0.726141,0.527292
0.81,0.720316,0.518871
0.82,0.714473,0.510482
0.83,0.7086,0.502128
0.84,0.702712,0.493812
0.85,0.696795,0.485537
0.86,0.690868,0.477305
0.87,0.684914,0.469118
0.88,0.678952,0.46098
0.89,0.672966,0.452893
0.9,0.666975,0.444858
0.91,0.660962,0.436879
0.92,0.654946,0.428956
0.93,0.648913,0.421094
0.94,0.642877,0.413292
0.95,0.636828,0.405555
0.96,0.630778,0.397882
0.97,0.624719,0.390276
0.98,0.61866,0.38274
0.99,0.612595,0.375274
1,0.606531,0.367879
