x,u_exact,u_approx
0,1,1
0.01,0.999983,0.999984
0.02,0.999933,0.999937
0.03,0.99985,0.999858
0.04,0.999733,0.999748
0.05,0.999583,0.999606
0.06,0.9994,0.999433
0.07,0.999183,0.999228
0.08,0.998933,0.998992
0.09,0.99865,0.998724
0.1,0.998333,0.998426
0.11,0.997983,0.998095
0.12,0.9976,0.997734
0.13,0.997183,0.997341
0.14,0.996733,0.996916
0.15,0.99625,0.996461
0.16,0.995733,0.995974
0.17,0.995183,0.995456
0.18,0.9946,0.994908
0.19,0.993983,0.994328
0.2,0.993333,0.993717
0.21,0.99265,0.993075
0.22,0.991933,0.992402
0.23,0.991183,0.991699
0.24,0.9904,0.990965
0.25,0.989583,0.9902
0.26,0.988733,0.989405
0.27,0.98785,0.988579
0.28,0.986933,0.987722
0.29,0.985983,0.986835
0.3,0.985,0.985918
0.31,0.983983,0.984971
0.32,0.982933,0.983994
0.33,0.98185,0.982987
0.34,0.980733,0.981949
0.35,0.979583,0.980882
0.36,0.9784,0.979786
0.37,0.977183,0.978659
0.38,0.975933,0.977503
0.39,0.97465,0.976318
0.4,0.973333,0.975103
0.41,0.971983,0.97386
0.42,0.9706,0.972587
0.43,0.969183,0.971285
0.44,0.967733,0.969954
0.45,0.96625,0.968595
0.46,0.964733,0.967207
0.47,0.963183,0.965791
0.48,0.9616,0.964346
0.49,0.959983,0.962873
0.5,0.958333,0.961372
0.51,0.95665,0.959844
0.52,0.954933,0.958287
0.53,0.953183,0.956703
0.54,0.9514,0.955091
0.55,0.949583,0.953452
0.56,0.947733,0.951786
0.57,0.94585,0.950093
0.58,0.943933,0.948373
0.59,0.941983,0.946626
0.6,0.94,0.944852
0.61,0.937983,0.943053
0.62,0.935933,0.941227
0.63,0.93385,0.939375
0.64,0.931733,0.937497
0.65,0.929583,0.935593
0.66,0.9274,0.933664
0.67,0.925183,0.931709
0.68,0.922933,0.929729
0.69,0.92065,0.927724
0.7,0.918333,0.925694
0.71,0.915983,0.92364
0.72,0.9136,0.921561
0.73,0.911183,0.919458
0.74,0.908733,0.917331
0.75,0.90625,0.915179
0.76,0.903733,0.913004
0.77,0.901183,0.910806
0.78,0.8986,0.908584
0.79,0.895983,0.906339
0.8,0.893333,0.904071
0.81,0.89065,0.901781
0.82,0.887933,0.899467
0.83,0.885183,0.897132
0.84,0.8824,0.894774
0.85,0.879583,0.892394
0.86,0.876733,0.889993
0.87,0.87385,0.88757
0.88,0.870933,0.885126
0.89,0.867983,0.882661
0.9,0.865,0.880175
0.91,0.861983,0.877668
0.92,0.858933,0.875141
0.93,0.85585,0.872593
0.94,0.852733,0.870026
0.95,0.849583,0.867439
0.96,0.8464,0.864832
0.97,0.843183,0.862206
0.98,0.839933,0.859561
0.99,0.83665,0.856897
1,0.833333,0.854214
