x,u_exact,u_approx
0.000000,0.000000,0.000000
0.010000,0.010000,0.010001
0.020000,0.020000,0.020001
0.030000,0.030000,0.030002
0.040000,0.040000,0.040003
0.050000,0.050000,0.050004
0.060000,0.060000,0.060005
0.070000,0.070000,0.070006
0.080000,0.080000,0.080007
0.090000,0.090000,0.090008
0.100000,0.100000,0.100008
0.110000,0.110000,0.110008
0.120000,0.120000,0.120009
0.130000,0.130000,0.130009
0.140000,0.140000,0.140009
0.150000,0.150000,0.150008
0.160000,0.160000,0.160008
0.170000,0.170000,0.170007
0.180000,0.180000,0.180007
0.190000,0.190000,0.190006
0.200000,0.200000,0.200005
0.210000,0.210000,0.210005
0.220000,0.220000,0.220004
0.230000,0.230000,0.230003
0.240000,0.240000,0.240002
0.250000,0.250000,0.250001
0.260000,0.260000,0.260000
0.270000,0.270000,0.269999
0.280000,0.280000,0.279998
0.290000,0.290000,0.289997
0.300000,0.300000,0.299997
0.310000,0.310000,0.309996
0.320000,0.320000,0.319995
0.330000,0.330000,0.329995
0.340000,0.340000,0.339995
0.350000,0.350000,0.349994
0.360000,0.360000,0.359994
0.370000,0.370000,0.369994
0.380000,0.380000,0.379994
0.390000,0.390000,0.389994
0.400000,0.400000,0.399994
0.410000,0.410000,0.409994
0.420000,0.420000,0.419994
0.430000,0.430000,0.429994
0.440000,0.440000,0.439995
0.450000,0.450000,0.449995
0.460000,0.460000,0.459996
0.470000,0.470000,0.469996
0.480000,0.480000,0.479997
0.490000,0.490000,0.489997
0.500000,0.500000,0.499998
0.510000,0.510000,0.509998
0.520000,0.520000,0.519999
0.530000,0.530000,0.530000
0.540000,0.540000,0.540000
0.550000,0.550000,0.550001
0.560000,0.560000,0.560001
0.570000,0.570000,0.570002
0.580000,0.580000,0.580002
0.590000,0.590000,0.590002
0.600000,0.600000,0.600003
0.610000,0.610000,0.610003
0.620000,0.620000,0.620003
0.630000,0.630000,0.630004
0.640000,0.640000,0.640004
0.650000,0.650000,0.650004
0.660000,0.660000,0.660004
0.670000,0.670000,0.670004
0.680000,0.680000,0.680004
0.690000,0.690000,0.690004
0.700000,0.700000,0.700003
0.710000,0.710000,0.710003
0.720000,0.720000,0.720003
0.730000,0.730000,0.730003
0.740000,0.740000,0.740002
0.750000,0.750000,0.750002
0.760000,0.760000,0.760002
0.770000,0.770000,0.770001
0.780000,0.780000,0.780001
0.790000,0.790000,0.790001
0.800000,0.800000,0.800000
0.810000,0.810000,0.810000
0.820000,0.820000,0.820000
0.830000,0.830000,0.829999
0.840000,0.840000,0.839999
0.850000,0.850000,0.849999
0.860000,0.860000,0.859998
0.870000,0.870000,0.869998
0.880000,0.880000,0.879998
0.890000,0.890000,0.889998
0.900000,0.900000,0.899998
0.910000,0.910000,0.909998
0.920000,0.920000,0.919998
0.930000,0.930000,0.929998
0.940000,0.940000,0.939999
0.950000,0.950000,0.949999
0.960000,0.960000,0.959999
0.970000,0.970000,0.969999
0.980000,0.980000,0.980000
0.990000,0.990000,0.990000
1.000000,1.000000,1.000000
