x,y,u_exact,u_approx
0,0,0,0
0,0.02,0,0
0,0.04,0,0
0,0.06,0,0
0,0.08,0,0
0,0.1,0,0
0,0.12,0,0
0,0.14,0,0
0,0.16,0,0
0,0.18,0,0
0,0.2,0,0
0,0.22,0,0
0,0.24,0,0
0,0.26,0,0
0,0.28,0,0
0,0.3,0,0
0,0.32,0,0
0,0.34,0,0
0,0.36,0,0
0,0.38,0,0
0,0.4,0,0
0,0.42,0,0
0,0.44,0,0
0,0.46,0,0
0,0.48,0,0
0,0.5,0,0
0,0.52,0,0
0,0.54,0,0
0,0.56,0,0
0,0.58,0,0
0,0.6,0,0
0,0.62,0,0
0,0.64,0,0
0,0.66,0,0
0,0.68,0,0
0,0.7,0,0
0,0.72,0,0
0,0.74,0,0
0,0.76,0,0
0,0.78,0,0
0,0.8,0,0
0,0.82,0,0
0,0.84,0,0
0,0.86,0,0
0,0.88,0,0
0,0.9,0,0
0,0.92,0,0
0,0.94,0,0
0,0.96,0,0
0,0.98,0,0
0,1,0,0
0.02,0,0,0
0.02,0.02,0.000341842,0
0.02,0.04,0.000685033,0
0.02,0.06,0.00103093,0
0.02,0.08,0.0013809,0
0.02,0.1,0.00173632,0
0.02,0.12,0.0020986,0
0.02,0.14,0.00246917,0
0.02,0.16,0.00284948,0
0.02,0.18,0.00324105,0
0.02,0.2,0.00364542,0
0.02,0.22,0.00406419,0
0.02,0.24,0.00449901,0
0.02,0.26,0.00495159,0
0.02,0.28,0.00542373,0
0.02,0.3,0.00591728,0
0.02,0.32,0.00643421,0
0.02,0.34,0.00697654,0
0.02,0.36,0.00754643,0
0.02,0.38,0.00814612,0
0.02,0.4,0.00877797,0
0.02,0.42,0.0094445,0
0.02,0.44,0.0101483,0
0.02,0.46,0.0108922,0
0.02,0.48,0.0116791,0
0.02,0.5,0.0125122,0
0.02,0.52,0.0133946,0
0.02,0.54,0.01433,0
0.02,0.56,0.0153219,0
0.02,0.58,0.0163743,0
0.02,0.6,0.0174915,0
0.02,0.62,0.0186776,0
0.02,0.64,0.0199376,0
0.02,0.66,0.0212763,0
0.02,0.68,0.022699,0
0.02,0.7,0.0242113,0
0.02,0.72,0.0258193,0
0.02,0.74,0.0275292,0
0.02,0.76,0.0293478,0
0.02,0.78,0.0312824,0
0.02,0.8,0.0333405,0
0.02,0.82,0.0355302,0
0.02,0.84,0.0378603,0
