x,y,u_exact,u_approx
0.000000,0.000000,0.000000,-0.000009
0.000000,0.020000,0.000000,0.000106
0.000000,0.040000,0.000000,0.000190
0.000000,0.060000,0.000000,0.000247
0.000000,0.080000,0.000000,0.000279
0.000000,0.100000,0.000000,0.000292
0.000000,0.120000,0.000000,0.000287
0.000000,0.140000,0.000000,0.000267
0.000000,0.160000,0.000000,0.000237
0.000000,0.180000,0.000000,0.000198
0.000000,0.200000,0.000000,0.000153
0.000000,0.220000,0.000000,0.000104
0.000000,0.240000,0.000000,0.000055
0.000000,0.260000,0.000000,0.000005
0.000000,0.280000,0.000000,-0.000042
0.000000,0.300000,0.000000,-0.000085
0.000000,0.320000,0.000000,-0.000123
0.000000,0.340000,0.000000,-0.000155
0.000000,0.360000,0.000000,-0.000180
0.000000,0.380000,0.000000,-0.000198
0.000000,0.400000,0.000000,-0.000207
0.000000,0.420000,0.000000,-0.000209
0.000000,0.440000,0.000000,-0.000203
0.000000,0.460000,0.000000,-0.000189
0.000000,0.480000,0.000000,-0.000168
0.000000,0.500000,0.000000,-0.000142
0.000000,0.520000,0.000000,-0.000110
0.000000,0.540000,0.000000,-0.000074
0.000000,0.560000,0.000000,-0.000036
0.000000,0.580000,0.000000,0.000004
0.000000,0.600000,0.000000,0.000043
0.000000,0.620000,0.000000,0.000080
0.000000,0.640000,0.000000,0.000114
0.000000,0.660000,0.000000,0.000142
0.000000,0.680000,0.000000,0.000164
0.000000,0.700000,0.000000,0.000178
0.000000,0.720000,0.000000,0.000183
0.000000,0.740000,0.000000,0.000179
0.000000,0.760000,0.000000,0.000164
0.000000,0.780000,0.000000,0.000139
0.000000,0.800000,0.000000,0.000105
0.000000,0.820000,0.000000,0.000062
0.000000,0.840000,0.000000,0.000012
0.000000,0.860000,0.000000,-0.000041
0.000000,0.880000,0.000000,-0.000095
0.000000,0.900000,0.000000,-0.000144
0.000000,0.920000,0.000000,-0.000183
0.000000,0.940000,0.000000,-0.000205
0.000000,0.960000,0.000000,-0.000201
0.000000,0.980000,0.000000,-0.000162
0.000000,1.000000,0.000000,-0.000076
0.020000,0.000000,0.000000,-0.000113
0.020000,0.020000,0.000342,0.000342
0.020000,0.040000,0.000685,0.000770
0.020000,0.060000,0.001031,0.001177
0.020000,0.080000,0.001381,0.001566
0.020000,0.100000,0.001736,0.001941
0.020000,0.120000,0.002099,0.002308
0.020000,0.140000,0.002469,0.002670
0.020000,0.160000,0.002849,0.003031
0.020000,0.180000,0.003241,0.003395
0.020000,0.200000,0.003645,0.003766
0.020000,0.220000,0.004064,0.004147
0.020000,0.240000,0.004499,0.004543
0.020000,0.260000,0.004952,0.004956
0.020000,0.280000,0.005424,0.005391
0.020000,0.300000,0.005917,0.005849
0.020000,0.320000,0.006434,0.006335
0.020000,0.340000,0.006977,0.006851
0.020000,0.360000,0.007546,0.007401
0.020000,0.380000,0.008146,0.007986
0.020000,0.400000,0.008778,0.008610
0.020000,0.420000,0.009444,0.009275
0.020000,0.440000,0.010148,0.009983
0.020000,0.460000,0.010892,0.010738
0.020000,0.480000,0.011679,0.011542
0.020000,0.500000,0.012512,0.012397
0.020000,0.520000,0.013395,0.013305
0.020000,0.540000,0.014330,0.014269
0.020000,0.560000,0.015322,0.015292
0.020000,0.580000,0.016374,0.016376
0.020000,0.600000,0.017492,0.017525
0.020000,0.620000,0.018678,0.018740
0.020000,0.640000,0.019938,0.020027
0.020000,0.660000,0.021276,0.021388
0.020000,0.680000,0.022699,0.022828
0.020000,0.700000,0.024211,0.024351
0.020000,0.720000,0.025819,0.025962
0.020000,0.740000,0.027529,0.027668
0.020000,0.760000,0.029348,0.029475
0.020000,0.780000,0.031282,0.031389
0.020000,0.800000,0.033341,0.033421
0.020000,0.820000,0.035530,0.035578
0.020000,0.840000,0.037860,0.037872
0.020000,0.860000,0.040340,0.040314
0.020000,0.880000,0.042979,0.042917
0.020000,0.900000,0.045787,0.045696
0.020000,0.920000,0.048777,0.048666
0.020000,0.940000,0.051959,0.051846
0.020000,0.960000,0.055346,0.055254
0.020000,0.980000,0.058952,0.058914
0.020000,1.000000,0.062790,0.062848
0.040000,0.000000,0.000000,-0.000188
0.040000,0.020000,0.000682,0.000603
0.040000,0.040000,0.001367,0.001372
0.040000,0.060000,0.002058,0.002124
0.040000,0.080000,0.002756,0.002866
0.040000,0.100000,0.003466,0.003601
0.040000,0.120000,0.004189,0.004335
0.040000,0.140000,0.004929,0.005074
0.040000,0.160000,0.005688,0.005823
0.040000,0.180000,0.006469,0.006586
0.040000,0.200000,0.007276,0.007369
0.040000,0.220000,0.008112,0.008177
0.040000,0.240000,0.008980,0.009015
0.040000,0.260000,0.009884,0.009888
0.040000,0.280000,0.010826,0.010800
0.040000,0.300000,0.011811,0.011757
0.040000,0.320000,0.012843,0.012764
0.040000,0.340000,0.013926,0.013825
0.040000,0.360000,0.015063,0.014946
0.040000,0.380000,0.016260,0.016131
0.040000,0.400000,0.017521,0.017385
0.040000,0.420000,0.018852,0.018714
0.040000,0.440000,0.020257,0.020123
0.040000,0.460000,0.021741,0.021616
0.040000,0.480000,0.023312,0.023200
0.040000,0.500000,0.024975,0.024881
0.040000,0.520000,0.026736,0.026663
0.040000,0.540000,0.028603,0.028553
0.040000,0.560000,0.030583,0.030558
0.040000,0.580000,0.032684,0.032684
0.040000,0.600000,0.034914,0.034939
0.040000,0.620000,0.037282,0.037330
0.040000,0.640000,0.039796,0.039866
0.040000,0.660000,0.042469,0.042555
0.040000,0.680000,0.045308,0.045408
0.040000,0.700000,0.048327,0.048435
0.040000,0.720000,0.051537,0.051647
0.040000,0.740000,0.054950,0.055057
0.040000,0.760000,0.058580,0.058678
0.040000,0.780000,0.062441,0.062524
0.040000,0.800000,0.066549,0.066612
0.040000,0.820000,0.070920,0.070960
0.040000,0.840000,0.075571,0.075585
0.040000,0.860000,0.080520,0.080509
0.040000,0.880000,0.085788,0.085754
0.040000,0.900000,0.091394,0.091344
0.040000,0.920000,0.097361,0.097305
0.040000,0.940000,0.103713,0.103667
0.040000,0.960000,0.110474,0.110459
0.040000,0.980000,0.117671,0.117716
0.040000,1.000000,0.125333,0.125472
0.060000,0.000000,0.000000,-0.000237
0.060000,0.020000,0.001020,0.000885
0.060000,0.040000,0.002044,0.001990
0.060000,0.060000,0.003077,0.003083
0.060000,0.080000,0.004121,0.004172
0.060000,0.100000,0.005182,0.005261
0.060000,0.120000,0.006263,0.006358
0.060000,0.140000,0.007369,0.007469
0.060000,0.160000,0.008504,0.008600
0.060000,0.180000,0.009672,0.009758
0.060000,0.200000,0.010879,0.010948
0.060000,0.220000,0.012129,0.012178
0.060000,0.240000,0.013426,0.013453
0.060000,0.260000,0.014777,0.014779
0.060000,0.280000,0.016186,0.016165
0.060000,0.300000,0.017659,0.017616
0.060000,0.320000,0.019201,0.019138
0.060000,0.340000,0.020820,0.020739
0.060000,0.360000,0.022520,0.022426
0.060000,0.380000,0.024310,0.024206
0.060000,0.400000,0.026196,0.026086
0.060000,0.420000,0.028185,0.028074
0.060000,0.440000,0.030285,0.030177
0.060000,0.460000,0.032505,0.032404
0.060000,0.480000,0.034853,0.034763
0.060000,0.500000,0.037339,0.037262
0.060000,0.520000,0.039973,0.039912
0.060000,0.540000,0.042764,0.042722
0.060000,0.560000,0.045724,0.045702
0.060000,0.580000,0.048865,0.048863
0.060000,0.600000,0.052199,0.052216
0.060000,0.620000,0.055738,0.055774
0.060000,0.640000,0.059498,0.059551
0.060000,0.660000,0.063493,0.063559
0.060000,0.680000,0.067739,0.067815
0.060000,0.700000,0.072252,0.072335
0.060000,0.720000,0.077051,0.077135
0.060000,0.740000,0.082154,0.082236
0.060000,0.760000,0.087581,0.087656
0.060000,0.780000,0.093354,0.093418
0.060000,0.800000,0.099496,0.099546
0.060000,0.820000,0.106030,0.106064
0.060000,0.840000,0.112984,0.113000
0.060000,0.860000,0.120383,0.120384
0.060000,0.880000,0.128258,0.128246
0.060000,0.900000,0.136640,0.136621
0.060000,0.920000,0.145561,0.145545
0.060000,0.940000,0.155057,0.155057
0.060000,0.960000,0.165165,0.165200
0.060000,0.980000,0.175926,0.176018
0.060000,1.000000,0.187381,0.187559
0.080000,0.000000,0.000000,-0.000264
0.080000,0.020000,0.001354,0.001184
0.080000,0.040000,0.002713,0.002618
0.080000,0.060000,0.004083,0.004047
0.080000,0.080000,0.005469,0.005477
0.080000,0.100000,0.006877,0.006915
0.080000,0.120000,0.008312,0.008368
0.080000,0.140000,0.009779,0.009845
0.080000,0.160000,0.011286,0.011353
0.080000,0.180000,0.012837,0.012898
0.080000,0.200000,0.014438,0.014489
0.080000,0.220000,0.016097,0.016133
0.080000,0.240000,0.017819,0.017838
0.080000,0.260000,0.019611,0.019613
0.080000,0.280000,0.021481,0.021465
0.080000,0.300000,0.023436,0.023402
0.080000,0.320000,0.025483,0.025433
0.080000,0.340000,0.027631,0.027568
0.080000,0.360000,0.029889,0.029814
0.080000,0.380000,0.032264,0.032181
0.080000,0.400000,0.034766,0.034679
0.080000,0.420000,0.037406,0.037317
0.080000,0.440000,0.040194,0.040107
0.080000,0.460000,0.043140,0.043058
0.080000,0.480000,0.046257,0.046183
0.080000,0.500000,0.049556,0.049493
0.080000,0.520000,0.053051,0.053001
0.080000,0.540000,0.056756,0.056720
0.080000,0.560000,0.060684,0.060665
0.080000,0.580000,0.064853,0.064849
0.080000,0.600000,0.069277,0.069289
0.080000,0.620000,0.073975,0.074001
0.080000,0.640000,0.078965,0.079005
0.080000,0.660000,0.084267,0.084317
0.080000,0.680000,0.089902,0.089960
0.080000,0.700000,0.095892,0.095955
0.080000,0.720000,0.102261,0.102325
0.080000,0.740000,0.109033,0.109096
0.080000,0.760000,0.116236,0.116294
