x,y,u_exact,u_approx
0.000000,0.000000,1.000000,1.002051
0.000000,0.020000,0.999600,1.000041
0.000000,0.040000,0.998403,0.998069
0.000000,0.060000,0.996413,0.995821
0.000000,0.080000,0.993641,0.993082
0.000000,0.100000,0.990099,0.989715
0.000000,0.120000,0.985804,0.985639
0.000000,0.140000,0.980777,0.980816
0.000000,0.160000,0.975039,0.975240
0.000000,0.180000,0.968617,0.968924
0.000000,0.200000,0.961538,0.961895
0.000000,0.220000,0.953834,0.954192
0.000000,0.240000,0.945537,0.945855
0.000000,0.260000,0.936680,0.936931
0.000000,0.280000,0.927300,0.927466
0.000000,0.300000,0.917431,0.917506
0.000000,0.320000,0.907112,0.907097
0.000000,0.340000,0.896379,0.896283
0.000000,0.360000,0.885269,0.885106
0.000000,0.380000,0.873820,0.873607
0.000000,0.400000,0.862069,0.861822
0.000000,0.420000,0.850051,0.849789
0.000000,0.440000,0.837802,0.837541
0.000000,0.460000,0.825355,0.825112
0.000000,0.480000,0.812744,0.812532
0.000000,0.500000,0.800000,0.799830
0.000000,0.520000,0.787154,0.787034
0.000000,0.540000,0.774234,0.774170
0.000000,0.560000,0.761267,0.761263
0.000000,0.580000,0.748279,0.748336
0.000000,0.600000,0.735294,0.735410
0.000000,0.620000,0.722335,0.722504
0.000000,0.640000,0.709421,0.709636
0.000000,0.660000,0.696573,0.696823
0.000000,0.680000,0.683807,0.684079
0.000000,0.700000,0.671141,0.671416
0.000000,0.720000,0.658588,0.658848
0.000000,0.740000,0.646162,0.646385
0.000000,0.760000,0.633874,0.634040
0.000000,0.780000,0.621736,0.621823
0.000000,0.800000,0.609756,0.609746
0.000000,0.820000,0.597943,0.597824
0.000000,0.840000,0.586304,0.586072
0.000000,0.860000,0.574845,0.574507
0.000000,0.880000,0.563571,0.563152
0.000000,0.900000,0.552486,0.552031
0.000000,0.920000,0.541594,0.541176
0.000000,0.940000,0.530898,0.530623
0.000000,0.960000,0.520400,0.520417
0.000000,0.980000,0.510100,0.510610
0.000000,1.000000,0.500000,0.501263
0.020000,0.000000,0.999600,0.999999
0.020000,0.020000,0.999201,0.994301
0.020000,0.040000,0.998004,0.989127
0.020000,0.060000,0.996016,0.984128
0.020000,0.080000,0.993246,0.979051
0.020000,0.100000,0.989707,0.973715
0.020000,0.120000,0.985416,0.968001
0.020000,0.140000,0.980392,0.961829
0.020000,0.160000,0.974659,0.955157
0.020000,0.180000,0.968242,0.947964
0.020000,0.200000,0.961169,0.940251
0.020000,0.220000,0.953471,0.932027
0.020000,0.240000,0.945180,0.923314
0.020000,0.260000,0.936330,0.914138
0.020000,0.280000,0.926956,0.904529
0.020000,0.300000,0.917095,0.894520
0.020000,0.320000,0.906783,0.884143
0.020000,0.340000,0.896057,0.873434
0.020000,0.360000,0.884956,0.862424
0.020000,0.380000,0.873515,0.851147
0.020000,0.400000,0.861772,0.839633
0.020000,0.420000,0.849762,0.827915
0.020000,0.440000,0.837521,0.816021
0.020000,0.460000,0.825083,0.803979
0.020000,0.480000,0.812480,0.791817
0.020000,0.500000,0.799744,0.779560
0.020000,0.520000,0.786906,0.767235
0.020000,0.540000,0.773994,0.754864
0.020000,0.560000,0.761035,0.742470
0.020000,0.580000,0.748055,0.730076
0.020000,0.600000,0.735078,0.717700
0.020000,0.620000,0.722126,0.705362
0.020000,0.640000,0.709220,0.693080
0.020000,0.660000,0.696379,0.680870
0.020000,0.680000,0.683620,0.668746
0.020000,0.700000,0.670961,0.656724
0.020000,0.720000,0.658415,0.644818
0.020000,0.740000,0.645995,0.633041
0.020000,0.760000,0.633714,0.621406
0.020000,0.780000,0.621581,0.609929
0.020000,0.800000,0.609607,0.598625
0.020000,0.820000,0.597800,0.587510
0.020000,0.840000,0.586166,0.576604
0.020000,0.860000,0.574713,0.565929
0.020000,0.880000,0.563444,0.555510
0.020000,0.900000,0.552364,0.545376
0.020000,0.920000,0.541477,0.535563
0.020000,0.940000,0.530786,0.526110
0.020000,0.960000,0.520291,0.517067
0.020000,0.980000,0.509996,0.508488
0.020000,1.000000,0.499900,0.500438
0.040000,0.000000,0.998403,0.998076
0.040000,0.020000,0.998004,0.989140
0.040000,0.040000,0.996810,0.981099
0.040000,0.060000,0.994827,0.973594
0.040000,0.080000,0.992063,0.966350
0.040000,0.100000,0.988533,0.959161
0.040000,0.120000,0.984252,0.951878
0.040000,0.140000,0.979240,0.944394
0.040000,0.160000,0.973520,0.936637
