x,y,u_exact,u_approx
0.000000,0.000000,0.000000,-0.013888
0.000000,0.020000,0.000000,-0.013947
0.000000,0.040000,0.000000,-0.014007
0.000000,0.060000,0.000000,-0.014067
0.000000,0.080000,0.000000,-0.014127
0.000000,0.100000,0.000000,-0.014187
0.000000,0.120000,0.000000,-0.014247
0.000000,0.140000,0.000000,-0.014308
0.000000,0.160000,0.000000,-0.014370
0.000000,0.180000,0.000000,-0.014431
0.000000,0.200000,0.000000,-0.014494
0.000000,0.220000,0.000000,-0.014557
0.000000,0.240000,0.000000,-0.014620
0.000000,0.260000,0.000000,-0.014685
0.000000,0.280000,0.000000,-0.014750
0.000000,0.300000,0.000000,-0.014816
0.000000,0.320000,0.000000,-0.014883
0.000000,0.340000,0.000000,-0.014951
0.000000,0.360000,0.000000,-0.015021
0.000000,0.380000,0.000000,-0.015091
0.000000,0.400000,0.000000,-0.015163
0.000000,0.420000,0.000000,-0.015236
0.000000,0.440000,0.000000,-0.015310
0.000000,0.460000,0.000000,-0.015386
0.000000,0.480000,0.000000,-0.015463
0.000000,0.500000,0.000000,-0.015542
0.000000,0.520000,0.000000,-0.015623
0.000000,0.540000,0.000000,-0.015705
0.000000,0.560000,0.000000,-0.015789
0.000000,0.580000,0.000000,-0.015875
0.000000,0.600000,0.000000,-0.015963
0.000000,0.620000,0.000000,-0.016053
0.000000,0.640000,0.000000,-0.016145
0.000000,0.660000,0.000000,-0.016240
0.000000,0.680000,0.000000,-0.016336
0.000000,0.700000,0.000000,-0.016435
0.000000,0.720000,0.000000,-0.016536
0.000000,0.740000,0.000000,-0.016639
0.000000,0.760000,0.000000,-0.016745
0.000000,0.780000,0.000000,-0.016854
0.000000,0.800000,0.000000,-0.016965
0.000000,0.820000,0.000000,-0.017079
0.000000,0.840000,0.000000,-0.017195
0.000000,0.860000,0.000000,-0.017315
0.000000,0.880000,0.000000,-0.017437
0.000000,0.900000,0.000000,-0.017562
0.000000,0.920000,0.000000,-0.017691
0.000000,0.940000,0.000000,-0.017822
0.000000,0.960000,0.000000,-0.017957
0.000000,0.980000,0.000000,-0.018095
0.000000,1.000000,0.000000,-0.018236
0.020000,0.000000,0.000000,-0.013916
0.020000,0.020000,0.003943,-0.013976
0.020000,0.040000,0.007870,-0.014036
0.020000,0.060000,0.011766,-0.014096
0.020000,0.080000,0.015615,-0.014156
0.020000,0.100000,0.019403,-0.014217
0.020000,0.120000,0.023115,-0.014278
0.020000,0.140000,0.026735,-0.014339
0.020000,0.160000,0.030250,-0.014401
0.020000,0.180000,0.033645,-0.014463
0.020000,0.200000,0.036907,-0.014526
0.020000,0.220000,0.040024,-0.014589
0.020000,0.240000,0.042983,-0.014653
0.020000,0.260000,0.045772,-0.014718
0.020000,0.280000,0.048381,-0.014783
0.020000,0.300000,0.050799,-0.014850
0.020000,0.320000,0.053016,-0.014918
0.020000,0.340000,0.055024,-0.014986
0.020000,0.360000,0.056815,-0.015056
0.020000,0.380000,0.058381,-0.015127
0.020000,0.400000,0.059717,-0.015199
0.020000,0.420000,0.060818,-0.015272
0.020000,0.440000,0.061678,-0.015347
0.020000,0.460000,0.062295,-0.015423
0.020000,0.480000,0.062667,-0.015501
0.020000,0.500000,0.062790,-0.015581
0.020000,0.520000,0.062667,-0.015662
0.020000,0.540000,0.062295,-0.015744
0.020000,0.560000,0.061678,-0.015829
0.020000,0.580000,0.060818,-0.015915
0.020000,0.600000,0.059717,-0.016004
0.020000,0.620000,0.058381,-0.016094
0.020000,0.640000,0.056815,-0.016187
0.020000,0.660000,0.055024,-0.016281
0.020000,0.680000,0.053016,-0.016378
0.020000,0.700000,0.050799,-0.016477
0.020000,0.720000,0.048381,-0.016579
0.020000,0.740000,0.045772,-0.016683
0.020000,0.760000,0.042983,-0.016789
0.020000,0.780000,0.040024,-0.016898
0.020000,0.800000,0.036907,-0.017010
0.020000,0.820000,0.033645,-0.017124
0.020000,0.840000,0.030250,-0.017241
0.020000,0.860000,0.026735,-0.017361
0.020000,0.880000,0.023115,-0.017484
0.020000,0.900000,0.019403,-0.017610
0.020000,0.920000,0.015615,-0.017739
0.020000,0.940000,0.011766,-0.017871
0.020000,0.960000,0.007870,-0.018006
0.020000,0.980000,0.003943,-0.018145
0.020000,1.000000,0.000000,-0.018287
0.040000,0.000000,0.000000,-0.013943
0.040000,0.020000,0.007870,-0.014004
0.040000,0.040000,0.015708,-0.014064
0.040000,0.060000,0.023485,-0.014125
0.040000,0.080000,0.031169,-0.014185
0.040000,0.100000,0.038730,-0.014246
0.040000,0.120000,0.046138,-0.014308
0.040000,0.140000,0.053364,-0.014369
0.040000,0.160000,0.060380,-0.014431
0.040000,0.180000,0.067157,-0.014494
0.040000,0.200000,0.073669,-0.014557
0.040000,0.220000,0.079890,-0.014621
0.040000,0.240000,0.085796,-0.014685
0.040000,0.260000,0.091364,-0.014750
0.040000,0.280000,0.096571,-0.014817
0.040000,0.300000,0.101397,-0.014884
0.040000,0.320000,0.105822,-0.014952
0.040000,0.340000,0.109830,-0.015021
0.040000,0.360000,0.113405,-0.015091
0.040000,0.380000,0.116532,-0.015162
0.040000,0.400000,0.119199,-0.015234
0.040000,0.420000,0.121396,-0.015308
0.040000,0.440000,0.123113,-0.015384
0.040000,0.460000,0.124345,-0.015460
0.040000,0.480000,0.125086,-0.015539
0.040000,0.500000,0.125333,-0.015618
0.040000,0.520000,0.125086,-0.015700
0.040000,0.540000,0.124345,-0.015783
0.040000,0.560000,0.123113,-0.015868
0.040000,0.580000,0.121396,-0.015955
0.040000,0.600000,0.119199,-0.016044
0.040000,0.620000,0.116532,-0.016135
0.040000,0.640000,0.113405,-0.016228
0.040000,0.660000,0.109830,-0.016323
0.040000,0.680000,0.105822,-0.016420
0.040000,0.700000,0.101397,-0.016520
0.040000,0.720000,0.096571,-0.016622
0.040000,0.740000,0.091364,-0.016726
0.040000,0.760000,0.085796,-0.016833
0.040000,0.780000,0.079890,-0.016943
0.040000,0.800000,0.073669,-0.017055
0.040000,0.820000,0.067157,-0.017170
0.040000,0.840000,0.060380,-0.017288
0.040000,0.860000,0.053364,-0.017408
0.040000,0.880000,0.046138,-0.017531
0.040000,0.900000,0.038730,-0.017658
0.040000,0.920000,0.031169,-0.017787
0.040000,0.940000,0.023485,-0.017920
0.040000,0.960000,0.015708,-0.018056
0.040000,0.980000,0.007870,-0.018195
0.040000,1.000000,0.000000,-0.018337
0.060000,0.000000,0.000000,-0.013970
0.060000,0.020000,0.011766,-0.014031
0.060000,0.040000,0.023485,-0.014092
0.060000,0.060000,0.035112,-0.014153
0.060000,0.080000,0.046600,-0.014214
0.060000,0.100000,0.057904,-0.014275
0.060000,0.120000,0.068980,-0.014337
0.060000,0.140000,0.079783,-0.014399
0.060000,0.160000,0.090272,-0.014461
0.060000,0.180000,0.100404,-0.014524
0.060000,0.200000,0.110140,-0.014588
0.060000,0.220000,0.119441,-0.014652
0.060000,0.240000,0.128271,-0.014717
0.060000,0.260000,0.136595,-0.014783
0.060000,0.280000,0.144380,-0.014849
0.060000,0.300000,0.151595,-0.014917
0.060000,0.320000,0.158211,-0.014985
0.060000,0.340000,0.164203,-0.015054
0.060000,0.360000,0.169548,-0.015125
0.060000,0.380000,0.174223,-0.015197
0.060000,0.400000,0.178210,-0.015270
0.060000,0.420000,0.181494,-0.015344
0.060000,0.440000,0.184062,-0.015420
0.060000,0.460000,0.185904,-0.015497
0.060000,0.480000,0.187012,-0.015576
0.060000,0.500000,0.187381,-0.015656
0.060000,0.520000,0.187012,-0.015738
0.060000,0.540000,0.185904,-0.015822
0.060000,0.560000,0.184062,-0.015907
0.060000,0.580000,0.181494,-0.015995
0.060000,0.600000,0.178210,-0.016084
0.060000,0.620000,0.174223,-0.016175
0.060000,0.640000,0.169548,-0.016269
0.060000,0.660000,0.164203,-0.016364
0.060000,0.680000,0.158211,-0.016462
0.060000,0.700000,0.151595,-0.016562
0.060000,0.720000,0.144380,-0.016665
0.060000,0.740000,0.136595,-0.016770
0.060000,0.760000,0.128271,-0.016877
0.060000,0.780000,0.119441,-0.016987
0.060000,0.800000,0.110140,-0.017100
0.060000,0.820000,0.100404,-0.017215
0.060000,0.840000,0.090272,-0.017334
0.060000,0.860000,0.079783,-0.017455
0.060000,0.880000,0.068980,-0.017579
0.060000,0.900000,0.057904,-0.017706
0.060000,0.920000,0.046600,-0.017836
0.060000,0.940000,0.035112,-0.017969
0.060000,0.960000,0.023485,-0.018105
0.060000,0.980000,0.011766,-0.018245
0.060000,1.000000,0.000000,-0.018388
0.080000,0.000000,0.000000,-0.013996
0.080000,0.020000,0.015615,-0.014057
0.080000,0.040000,0.031169,-0.014118
0.080000,0.060000,0.046600,-0.014180
0.080000,0.080000,0.061847,-0.014241
0.080000,0.100000,0.076849,-0.014303
0.080000,0.120000,0.091549,-0.014365
0.080000,0.140000,0.105887,-0.014428
0.080000,0.160000,0.119807,-0.014491
0.080000,0.180000,0.133255,-0.014554
0.080000,0.200000,0.146176,-0.014618
0.080000,0.220000,0.158521,-0.014683
0.080000,0.240000,0.170240,-0.014748
0.080000,0.260000,0.181287,-0.014814
0.080000,0.280000,0.191619,-0.014881
0.080000,0.300000,0.201194,-0.014949
0.080000,0.320000,0.209976,-0.015018
0.080000,0.340000,0.217929,-0.015088
0.080000,0.360000,0.225021,-0.015159
0.080000,0.380000,0.231226,-0.015231
0.080000,0.400000,0.236518,-0.015305
0.080000,0.420000,0.240877,-0.015379
0.080000,0.440000,0.244285,-0.015456
0.080000,0.460000,0.246729,-0.015533
0.080000,0.480000,0.248199,-0.015612
0.080000,0.500000,0.248690,-0.015693
0.080000,0.520000,0.248199,-0.015776
0.080000,0.540000,0.246729,-0.015860
0.080000,0.560000,0.244285,-0.015946
0.080000,0.580000,0.240877,-0.016034
0.080000,0.600000,0.236518,-0.016124
0.080000,0.620000,0.231226,-0.016216
0.080000,0.640000,0.225021,-0.016310
0.080000,0.660000,0.217929,-0.016406
0.080000,0.680000,0.209976,-0.016504
0.080000,0.700000,0.201194,-0.016605
0.080000,0.720000,0.191619,-0.016708
0.080000,0.740000,0.181287,-0.016813
0.080000,0.760000,0.170240,-0.016921
0.080000,0.780000,0.158521,-0.017032
0.080000,0.800000,0.146176,-0.017145
0.080000,0.820000,0.133255,-0.017261
0.080000,0.840000,0.119807,-0.017380
0.080000,0.860000,0.105887,-0.017501
0.080000,0.880000,0.091549,-0.017626
0.080000,0.900000,0.076849,-0.017754
0.080000,0.920000,0.061847,-0.017884
0.080000,0.940000,0.046600,-0.018018
0.080000,0.960000,0.031169,-0.018155
0.080000,0.980000,0.015615,-0.018295
0.080000,1.000000,0.000000,-0.018439
0.100000,0.000000,0.000000,-0.014021
0.100000,0.020000,0.019403,-0.014083
0.100000,0.040000,0.038730,-0.014144
0.100000,0.060000,0.057904,-0.014206
0.100000,0.080000,0.076849,-0.014268
0.100000,0.100000,0.095492,-0.014331
0.100000,0.120000,0.113757,-0.014393
0.100000,0.140000,0.131573,-0.014456
0.100000,0.160000,0.148870,-0.014520
0.100000,0.180000,0.165580,-0.014583
0.100000,0.200000,0.181636,-0.014648
0.100000,0.220000,0.196975,-0.014713
