x,y,u_exact,u_approx
0,0,0,0
0,0.02,0.0190026,0.02
0,0.04,0.038021,0.04
0,0.06,0.0570706,0.06
0,0.08,0.0761663,0.08
0,0.1,0.0953226,0.1
0,0.12,0.114553,0.12
0,0.14,0.133868,0.14
0,0.16,0.153281,0.16
0,0.18,0.1728,0.18
0,0.2,0.192432,0.2
0,0.22,0.212183,0.22
0,0.24,0.232058,0.24
0,0.26,0.252058,0.26
0,0.28,0.272183,0.28
0,0.3,0.292432,0.3
0,0.32,0.3128,0.32
0,0.34,0.333281,0.34
0,0.36,0.353868,0.36
0,0.38,0.374553,0.38
0,0.4,0.395323,0.4
0,0.42,0.416166,0.42
0,0.44,0.437071,0.44
0,0.46,0.458021,0.46
0,0.48,0.479003,0.48
0,0.5,0.5,0.5
0,0.52,0.520997,0.52
0,0.54,0.541979,0.54
0,0.56,0.562929,0.56
0,0.58,0.583834,0.58
0,0.6,0.604677,0.6
0,0.62,0.625447,0.62
0,0.64,0.646132,0.64
0,0.66,0.666719,0.66
0,0.68,0.6872,0.68
0,0.7,0.707568,0.7
0,0.72,0.727817,0.72
0,0.74,0.747942,0.74
0,0.76,0.767942,0.76
0,0.78,0.787817,0.78
0,0.8,0.807568,0.8
0,0.82,0.8272,0.82
0,0.84,0.846719,0.84
0,0.86,0.866132,0.86
0,0.88,0.885447,0.88
0,0.9,0.904677,0.9
0,0.92,0.923834,0.92
0,0.94,0.942929,0.94
0,0.96,0.961979,0.96
0,0.98,0.980997,0.98
0,1,1,1
0.02,0,0,0
0.02,0.02,0.0190381,0.02
0.02,0.04,0.0380914,0.04
0.02,0.06,0.0571747,0.06
0.02,0.08,0.0763026,0.08
0.02,0.1,0.0954889,0.1
0.02,0.12,0.114746,0.12
0.02,0.14,0.134086,0.14
0.02,0.16,0.15352,0.16
0.02,0.18,0.173056,0.18
0.02,0.2,0.192701,0.2
0.02,0.22,0.212461,0.22
0.02,0.24,0.23234,0.24
0.02,0.26,0.25234,0.26
0.02,0.28,0.272461,0.28
0.02,0.3,0.292701,0.3
0.02,0.32,0.313056,0.32
0.02,0.34,0.33352,0.34
0.02,0.36,0.354086,0.36
0.02,0.38,0.374746,0.38
0.02,0.4,0.395489,0.4
0.02,0.42,0.416303,0.42
0.02,0.44,0.437175,0.44
0.02,0.46,0.458091,0.46
0.02,0.48,0.479038,0.48
0.02,0.5,0.5,0.5
0.02,0.52,0.520962,0.52
0.02,0.54,0.541909,0.54
0.02,0.56,0.562825,0.56
0.02,0.58,0.583697,0.58
0.02,0.6,0.604511,0.6
0.02,0.62,0.625254,0.62
0.02,0.64,0.645914,0.64
0.02,0.66,0.66648,0.66
0.02,0.68,0.686944,0.68
0.02,0.7,0.707299,0.7
0.02,0.72,0.727539,0.72
0.02,0.74,0.74766,0.74
0.02,0.76,0.76766,0.76
0.02,0.78,0.787539,0.78
0.02,0.8,0.807299,0.8
0.02,0.82,0.826944,0.82
0.02,0.84,0.84648,0.84
0.02,0.86,0.865914,0.86
0.02,0.88,0.885254,0.88
0.02,0.9,0.904511,0.9
0.02,0.92,0.923697,0.92
0.02,0.94,0.942825,0.94
0.02,0.96,0.961909,0.96
0.02,0.98,0.980962,0.98
0.02,1,1,1
0.04,0,0,0
0.04,0.02,0.0190723,0.02
0.04,0.04,0.0381592,0.04
0.04,0.06,0.0572752,0.06
0.04,0.08,0.0764341,0.08
0.04,0.1,0.0956492,0.1
0.04,0.12,0.114933,0.12
0.04,0.14,0.134297,0.14
0.04,0.16,0.15375,0.16
0.04,0.18,0.173303,0.18
0.04,0.2,0.19296,0.2
0.04,0.22,0.212729,0.22
0.04,0.24,0.232613,0.24
0.04,0.26,0.252613,0.26
0.04,0.28,0.272729,0.28
0.04,0.3,0.29296,0.3
0.04,0.32,0.313303,0.32
0.04,0.34,0.33375,0.34
0.04,0.36,0.354297,0.36
0.04,0.38,0.374933,0.38
0.04,0.4,0.395649,0.4
0.04,0.42,0.416434,0.42
0.04,0.44,0.437275,0.44
0.04,0.46,0.458159,0.46
0.04,0.48,0.479072,0.48
0.04,0.5,0.5,0.5
0.04,0.52,0.520928,0.52
0.04,0.54,0.541841,0.54
0.04,0.56,0.562725,0.56
0.04,0.58,0.583566,0.58
0.04,0.6,0.604351,0.6
0.04,0.62,0.625067,0.62
0.04,0.64,0.645703,0.64
0.04,0.66,0.66625,0.66
0.04,0.68,0.686697,0.68
0.04,0.7,0.70704,0.7
0.04,0.72,0.727271,0.72
0.04,0.74,0.747387,0.74
