x,y,u_exact,u_approx
0,0,1,0.834467
0,0.02,0.9996,0.834236
0,0.04,0.998403,0.833546
0,0.06,0.996413,0.832398
0,0.08,0.993641,0.830796
0,0.1,0.990099,0.828745
0,0.12,0.985804,0.826252
0,0.14,0.980777,0.823325
0,0.16,0.975039,0.819974
0,0.18,0.968617,0.816208
0,0.2,0.961538,0.81204
0,0.22,0.953834,0.807483
0,0.24,0.945537,0.80255
0,0.26,0.93668,0.797256
0,0.28,0.9273,0.791616
0,0.3,0.917431,0.785647
0,0.32,0.907112,0.779365
0,0.34,0.896379,0.772787
0,0.36,0.885269,0.765931
0,0.38,0.87382,0.758814
0,0.4,0.862069,0.751454
0,0.42,0.850051,0.743869
0,0.44,0.837802,0.736077
0,0.46,0.825355,0.728095
0,0.48,0.812744,0.719941
0,0.5,0.8,0.711633
0,0.52,0.787154,0.703186
0,0.54,0.774234,0.694619
0,0.56,0.761267,0.685945
0,0.58,0.748279,0.677183
0,0.6,0.735294,0.668345
0,0.62,0.722335,0.659447
0,0.64,0.709421,0.650503
0,0.66,0.696573,0.641526
0,0.68,0.683807,0.632528
0,0.7,0.671141,0.623521
0,0.72,0.658588,0.614518
0,0.74,0.646162,0.605527
0,0.76,0.633874,0.596561
0,0.78,0.621736,0.587627
0,0.8,0.609756,0.578736
0,0.82,0.597943,0.569894
0,0.84,0.586304,0.56111
0,0.86,0.574845,0.552391
0,0.88,0.563571,0.543742
0,0.9,0.552486,0.535171
0,0.92,0.541594,0.526682
0,0.94,0.530898,0.51828
0,0.96,0.5204,0.50997
0,0.98,0.5101,0.501756
0,1,0.5,0.49364
0.02,0,0.9996,0.834236
0.02,0.02,0.999201,0.834006
0.02,0.04,0.998004,0.833316
0.02,0.06,0.996016,0.832169
0.02,0.08,0.993246,0.830567
0.02,0.1,0.989707,0.828518
0.02,0.12,0.985416,0.826026
0.02,0.14,0.980392,0.823101
0.02,0.16,0.974659,0.819751
0.02,0.18,0.968242,0.815988
0.02,0.2,0.961169,0.811822
0.02,0.22,0.953471,0.807267
0.02,0.24,0.94518,0.802337
0.02,0.26,0.93633,0.797046
0.02,0.28,0.926956,0.791409
0.02,0.3,0.917095,0.785443
0.02,0.32,0.906783,0.779164
0.02,0.34,0.896057,0.77259
0.02,0.36,0.884956,0.765737
0.02,0.38,0.873515,0.758623
0.02,0.4,0.861772,0.751267
0.02,0.42,0.849762,0.743686
0.02,0.44,0.837521,0.735897
0.02,0.46,0.825083,0.72792
0.02,0.48,0.81248,0.71977
0.02,0.5,0.799744,0.711465
0.02,0.52,0.786906,0.703023
0.02,0.54,0.773994,0.694459
0.02,0.56,0.761035,0.68579
0.02,0.58,0.748055,0.677031
0.02,0.6,0.735078,0.668197
0.02,0.62,0.722126,0.659303
0.02,0.64,0.70922,0.650363
0.02,0.66,0.696379,0.641389
0.02,0.68,0.68362,0.632395
0.02,0.7,0.670961,0.623393
0.02,0.72,0.658415,0.614393
0.02,0.74,0.645995,0.605406
0.02,0.76,0.633714,0.596443
0.02,0.78,0.621581,0.587513
0.02,0.8,0.609607,0.578625
0.02,0.82,0.5978,0.569787
0.02,0.84,0.586166,0.561006
0.02,0.86,0.574713,0.55229
0.02,0.88,0.563444,0.543644
0.02,0.9,0.552364,0.535076
0.02,0.92,0.541477,0.52659
0.02,0.94,0.530786,0.518191
0.02,0.96,0.520291,0.509884
0.02,0.98,0.509996,0.501672
0.02,1,0.4999,0.493559
0.04,0,0.998403,0.833546
0.04,0.02,0.998004,0.833316
0.04,0.04,0.99681,0.832627
0.04,0.06,0.994827,0.831482
0.04,0.08,0.992063,0.829883
0.04,0.1,0.988533,0.827837
0.04,0.12,0.984252,0.825349
0.04,0.14,0.97924,0.822429
0.04,0.16,0.97352,0.819085
0.04,0.18,0.967118,0.815327
0.04,0.2,0.960061,0.811168
0.04,0.22,0.952381,0.806621
0.04,0.24,0.944109,0.801698
