x,u_exact,u_approx
0,0,0
0.01,5e-05,0.000970111
0.02,0.0002,0.00194203
0.03,0.00045,0.00291755
0.04,0.0008,0.00389848
0.05,0.00125,0.00488661
0.06,0.0018,0.00588374
0.07,0.00245,0.00689165
0.08,0.0032,0.00791214
0.09,0.00405,0.00894695
0.1,0.005,0.00999787
0.11,0.00605,0.0110666
0.12,0.0072,0.012155
0.13,0.00845,0.0132647
0.14,0.0098,0.0143975
0.15,0.01125,0.015555
0.16,0.0128,0.0167389
0.17,0.01445,0.017951
0.18,0.0162,0.0191928
0.19,0.01805,0.020466
0.2,0.02,0.0217722
0.21,0.02205,0.023113
0.22,0.0242,0.0244901
0.23,0.02645,0.0259048
0.24,0.0288,0.0273589
0.25,0.03125,0.0288537
0.26,0.0338,0.0303907
0.27,0.03645,0.0319715
0.28,0.0392,0.0335974
0.29,0.04205,0.0352698
0.3,0.045,0.0369901
0.31,0.04805,0.0387596
0.32,0.0512,0.0405797
0.33,0.05445,0.0424516
0.34,0.0578,0.0443766
0.35,0.06125,0.0463559
0.36,0.0648,0.0483906
0.37,0.06845,0.0504819
0.38,0.0722,0.0526309
0.39,0.07605,0.0548387
0.4,0.08,0.0571063
0.41,0.08405,0.0594347
0.42,0.0882,0.0618249
0.43,0.09245,0.0642778
0.44,0.0968,0.0667942
0.45,0.10125,0.069375
0.46,0.1058,0.072021
0.47,0.11045,0.074733
0.48,0.1152,0.0775116
0.49,0.12005,0.0803576
0.5,0.125,0.0832716
0.51,0.13005,0.086254
0.52,0.1352,0.0893056
0.53,0.14045,0.0924267
0.54,0.1458,0.0956178
0.55,0.15125,0.0988794
0.56,0.1568,0.102212
0.57,0.16245,0.105615
0.58,0.1682,0.10909
0.59,0.17405,0.112636
0.6,0.18,0.116254
0.61,0.18605,0.119944
0.62,0.1922,0.123705
0.63,0.19845,0.127539
0.64,0.2048,0.131444
0.65,0.21125,0.135422
0.66,0.2178,0.13947
0.67,0.22445,0.143591
0.68,0.2312,0.147782
0.69,0.23805,0.152044
0.7,0.245,0.156377
0.71,0.25205,0.160781
0.72,0.2592,0.165253
0.73,0.26645,0.169796
0.74,0.2738,0.174407
0.75,0.28125,0.179086
0.76,0.2888,0.183832
0.77,0.29645,0.188646
0.78,0.3042,0.193526
0.79,0.31205,0.198471
0.8,0.32,0.20348
0.81,0.32805,0.208553
0.82,0.3362,0.213689
0.83,0.34445,0.218886
0.84,0.3528,0.224144
0.85,0.36125,0.229462
0.86,0.3698,0.234839
0.87,0.37845,0.240272
0.88,0.3872,0.245762
0.89,0.39605,0.251307
0.9,0.405,0.256906
0.91,0.41405,0.262557
0.92,0.4232,0.268259
0.93,0.43245,0.274011
0.94,0.4418,0.279811
0.95,0.45125,0.285658
0.96,0.4608,0.29155
0.97,0.47045,0.297486
0.98,0.4802,0.303464
0.99,0.49005,0.309483
1,0.5,0.315541
