x,y,u_exact,u_approx
0.000000,0.000000,0.000000,-0.000039
0.000000,0.020000,0.000000,-0.000027
0.000000,0.040000,0.000000,-0.000015
0.000000,0.060000,0.000000,-0.000004
0.000000,0.080000,0.000000,0.000006
0.000000,0.100000,0.000000,0.000014
0.000000,0.120000,0.000000,0.000020
0.000000,0.140000,0.000000,0.000025
0.000000,0.160000,0.000000,0.000029
0.000000,0.180000,0.000000,0.000031
0.000000,0.200000,0.000000,0.000033
0.000000,0.220000,0.000000,0.000033
0.000000,0.240000,0.000000,0.000033
0.000000,0.260000,0.000000,0.000031
0.000000,0.280000,0.000000,0.000027
0.000000,0.300000,0.000000,0.000022
0.000000,0.320000,0.000000,0.000015
0.000000,0.340000,0.000000,0.000006
0.000000,0.360000,0.000000,-0.000003
0.000000,0.380000,0.000000,-0.000013
0.000000,0.400000,0.000000,-0.000023
0.000000,0.420000,0.000000,-0.000033
0.000000,0.440000,0.000000,-0.000042
0.000000,0.460000,0.000000,-0.000050
0.000000,0.480000,0.000000,-0.000055
0.000000,0.500000,0.000000,-0.000058
0.000000,0.520000,0.000000,-0.000059
0.000000,0.540000,0.000000,-0.000056
0.000000,0.560000,0.000000,-0.000050
0.000000,0.580000,0.000000,-0.000042
0.000000,0.600000,0.000000,-0.000031
0.000000,0.620000,0.000000,-0.000018
0.000000,0.640000,0.000000,-0.000003
0.000000,0.660000,0.000000,0.000013
0.000000,0.680000,0.000000,0.000029
0.000000,0.700000,0.000000,0.000044
0.000000,0.720000,0.000000,0.000057
0.000000,0.740000,0.000000,0.000068
0.000000,0.760000,0.000000,0.000075
0.000000,0.780000,0.000000,0.000077
0.000000,0.800000,0.000000,0.000074
0.000000,0.820000,0.000000,0.000066
0.000000,0.840000,0.000000,0.000052
0.000000,0.860000,0.000000,0.000032
0.000000,0.880000,0.000000,0.000008
0.000000,0.900000,0.000000,-0.000021
0.000000,0.920000,0.000000,-0.000051
0.000000,0.940000,0.000000,-0.000083
0.000000,0.960000,0.000000,-0.000111
0.000000,0.980000,0.000000,-0.000135
0.000000,1.000000,0.000000,-0.000149
0.020000,0.000000,0.000000,-0.000028
0.020000,0.020000,0.003943,0.003923
0.020000,0.040000,0.007870,0.007860
0.020000,0.060000,0.011766,0.011764
0.020000,0.080000,0.015615,0.015622
0.020000,0.100000,0.019403,0.019416
0.020000,0.120000,0.023115,0.023132
0.020000,0.140000,0.026735,0.026756
0.020000,0.160000,0.030250,0.030274
0.020000,0.180000,0.033645,0.033671
0.020000,0.200000,0.036907,0.036934
0.020000,0.220000,0.040024,0.040051
0.020000,0.240000,0.042983,0.043009
0.020000,0.260000,0.045772,0.045796
0.020000,0.280000,0.048381,0.048401
0.020000,0.300000,0.050799,0.050814
0.020000,0.320000,0.053016,0.053026
0.020000,0.340000,0.055024,0.055027
0.020000,0.360000,0.056815,0.056810
0.020000,0.380000,0.058381,0.058368
0.020000,0.400000,0.059717,0.059696
0.020000,0.420000,0.060818,0.060789
0.020000,0.440000,0.061678,0.061643
0.020000,0.460000,0.062295,0.062254
0.020000,0.480000,0.062667,0.062622
0.020000,0.500000,0.062790,0.062744
0.020000,0.520000,0.062667,0.062620
0.020000,0.540000,0.062295,0.062251
0.020000,0.560000,0.061678,0.061639
0.020000,0.580000,0.060818,0.060786
0.020000,0.600000,0.059717,0.059694
0.020000,0.620000,0.058381,0.058368
0.020000,0.640000,0.056815,0.056813
0.020000,0.660000,0.055024,0.055035
0.020000,0.680000,0.053016,0.053039
0.020000,0.700000,0.050799,0.050834
0.020000,0.720000,0.048381,0.048426
0.020000,0.740000,0.045772,0.045826
0.020000,0.760000,0.042983,0.043042
0.020000,0.780000,0.040024,0.040085
0.020000,0.800000,0.036907,0.036966
0.020000,0.820000,0.033645,0.033697
0.020000,0.840000,0.030250,0.030291
0.020000,0.860000,0.026735,0.026762
0.020000,0.880000,0.023115,0.023124
0.020000,0.900000,0.019403,0.019392
0.020000,0.920000,0.015615,0.015584
0.020000,0.940000,0.011766,0.011714
0.020000,0.960000,0.007870,0.007803
0.020000,0.980000,0.003943,0.003866
0.020000,1.000000,0.000000,-0.000076
0.040000,0.000000,0.000000,-0.000018
0.040000,0.020000,0.007870,0.007857
0.040000,0.040000,0.015708,0.015703
0.040000,0.060000,0.023485,0.023486
0.040000,0.080000,0.031169,0.031176
0.040000,0.100000,0.038730,0.038742
0.040000,0.120000,0.046138,0.046154
0.040000,0.140000,0.053364,0.053383
0.040000,0.160000,0.060380,0.060400
0.040000,0.180000,0.067157,0.067179
0.040000,0.200000,0.073669,0.073691
0.040000,0.220000,0.079890,0.079912
0.040000,0.240000,0.085796,0.085817
0.040000,0.260000,0.091364,0.091382
0.040000,0.280000,0.096571,0.096586
0.040000,0.300000,0.101397,0.101408
0.040000,0.320000,0.105822,0.105828
0.040000,0.340000,0.109830,0.109831
0.040000,0.360000,0.113405,0.113399
0.040000,0.380000,0.116532,0.116519
0.040000,0.400000,0.119199,0.119180
0.040000,0.420000,0.121396,0.121371
0.040000,0.440000,0.123113,0.123084
0.040000,0.460000,0.124345,0.124311
0.040000,0.480000,0.125086,0.125050
0.040000,0.500000,0.125333,0.125296
0.040000,0.520000,0.125086,0.125049
0.040000,0.540000,0.124345,0.124311
0.040000,0.560000,0.123113,0.123083
0.040000,0.580000,0.121396,0.121371
0.040000,0.600000,0.119199,0.119182
0.040000,0.620000,0.116532,0.116523
0.040000,0.640000,0.113405,0.113405
0.040000,0.660000,0.109830,0.109840
0.040000,0.680000,0.105822,0.105841
0.040000,0.700000,0.101397,0.101425
0.040000,0.720000,0.096571,0.096607
0.040000,0.740000,0.091364,0.091406
0.040000,0.760000,0.085796,0.085843
0.040000,0.780000,0.079890,0.079938
0.040000,0.800000,0.073669,0.073715
0.040000,0.820000,0.067157,0.067199
0.040000,0.840000,0.060380,0.060414
0.040000,0.860000,0.053364,0.053389
0.040000,0.880000,0.046138,0.046151
0.040000,0.900000,0.038730,0.038729
0.040000,0.920000,0.031169,0.031156
0.040000,0.940000,0.023485,0.023462
0.040000,0.960000,0.015708,0.015679
0.040000,0.980000,0.007870,0.007842
0.040000,1.000000,0.000000,-0.000016
0.060000,0.000000,0.000000,-0.000011
0.060000,0.020000,0.011766,0.011759
0.060000,0.040000,0.023485,0.023483
0.060000,0.060000,0.035112,0.035115
0.060000,0.080000,0.046600,0.046607
0.060000,0.100000,0.057904,0.057915
0.060000,0.120000,0.068980,0.068993
0.060000,0.140000,0.079783,0.079799
0.060000,0.160000,0.090272,0.090289
0.060000,0.180000,0.100404,0.100422
0.060000,0.200000,0.110140,0.110158
0.060000,0.220000,0.119441,0.119459
0.060000,0.240000,0.128271,0.128288
0.060000,0.260000,0.136595,0.136609
0.060000,0.280000,0.144380,0.144391
0.060000,0.300000,0.151595,0.151602
0.060000,0.320000,0.158211,0.158214
0.060000,0.340000,0.164203,0.164202
0.060000,0.360000,0.169548,0.169541
0.060000,0.380000,0.174223,0.174211
0.060000,0.400000,0.178210,0.178194
0.060000,0.420000,0.181494,0.181473
0.060000,0.440000,0.184062,0.184038
0.060000,0.460000,0.185904,0.185876
0.060000,0.480000,0.187012,0.186983
0.060000,0.500000,0.187381,0.187352
0.060000,0.520000,0.187012,0.186983
0.060000,0.540000,0.185904,0.185877
0.060000,0.560000,0.184062,0.184039
0.060000,0.580000,0.181494,0.181476
0.060000,0.600000,0.178210,0.178198
0.060000,0.620000,0.174223,0.174217
0.060000,0.640000,0.169548,0.169549
0.060000,0.660000,0.164203,0.164212
0.060000,0.680000,0.158211,0.158227
0.060000,0.700000,0.151595,0.151617
0.060000,0.720000,0.144380,0.144408
0.060000,0.740000,0.136595,0.136629
0.060000,0.760000,0.128271,0.128308
0.060000,0.780000,0.119441,0.119480
0.060000,0.800000,0.110140,0.110178
0.060000,0.820000,0.100404,0.100439
0.060000,0.840000,0.090272,0.090302
0.060000,0.860000,0.079783,0.079807
0.060000,0.880000,0.068980,0.068996
0.060000,0.900000,0.057904,0.057913
0.060000,0.920000,0.046600,0.046603
0.060000,0.940000,0.035112,0.035112
0.060000,0.960000,0.023485,0.023487
0.060000,0.980000,0.011766,0.011777
0.060000,1.000000,0.000000,0.000030
0.080000,0.000000,0.000000,-0.000007
0.080000,0.020000,0.015615,0.015611
0.080000,0.040000,0.031169,0.031169
0.080000,0.060000,0.046600,0.046603
0.080000,0.080000,0.061847,0.061853
0.080000,0.100000,0.076849,0.076859
0.080000,0.120000,0.091549,0.091561
0.080000,0.140000,0.105887,0.105901
