x,y,u_exact,u_approx
0.000000,0.000000,1.000000,0.999867
0.000000,0.020000,0.998027,0.997912
0.000000,0.040000,0.992115,0.992019
0.000000,0.060000,0.982287,0.982212
0.000000,0.080000,0.968583,0.968528
0.000000,0.100000,0.951057,0.951022
0.000000,0.120000,0.929776,0.929761
0.000000,0.140000,0.904827,0.904829
0.000000,0.160000,0.876307,0.876325
0.000000,0.180000,0.844328,0.844360
0.000000,0.200000,0.809017,0.809061
0.000000,0.220000,0.770513,0.770566
0.000000,0.240000,0.728969,0.729028
0.000000,0.260000,0.684547,0.684611
0.000000,0.280000,0.637424,0.637489
0.000000,0.300000,0.587785,0.587849
0.000000,0.320000,0.535827,0.535887
0.000000,0.340000,0.481754,0.481808
0.000000,0.360000,0.425779,0.425826
0.000000,0.380000,0.368125,0.368163
0.000000,0.400000,0.309017,0.309045
0.000000,0.420000,0.248690,0.248707
0.000000,0.440000,0.187381,0.187387
0.000000,0.460000,0.125333,0.125327
0.000000,0.480000,0.062790,0.062773
0.000000,0.500000,0.000000,-0.000027
0.000000,0.520000,-0.062790,-0.062827
0.000000,0.540000,-0.125333,-0.125378
0.000000,0.560000,-0.187381,-0.187432
0.000000,0.580000,-0.248690,-0.248745
0.000000,0.600000,-0.309017,-0.309074
0.000000,0.620000,-0.368125,-0.368182
0.000000,0.640000,-0.425779,-0.425835
0.000000,0.660000,-0.481754,-0.481806
0.000000,0.680000,-0.535827,-0.535874
0.000000,0.700000,-0.587785,-0.587826
0.000000,0.720000,-0.637424,-0.637457
0.000000,0.740000,-0.684547,-0.684571
0.000000,0.760000,-0.728969,-0.728983
0.000000,0.780000,-0.770513,-0.770518
0.000000,0.800000,-0.809017,-0.809012
0.000000,0.820000,-0.844328,-0.844314
0.000000,0.840000,-0.876307,-0.876284
0.000000,0.860000,-0.904827,-0.904797
0.000000,0.880000,-0.929776,-0.929741
0.000000,0.900000,-0.951057,-0.951016
0.000000,0.920000,-0.968583,-0.968540
0.000000,0.940000,-0.982287,-0.982245
0.000000,0.960000,-0.992115,-0.992076
0.000000,0.980000,-0.998027,-0.997997
0.000000,1.000000,-1.000000,-0.999986
0.020000,0.000000,0.998027,0.997924
0.020000,0.020000,0.992115,0.999908
0.020000,0.040000,0.982287,0.997948
0.020000,0.060000,0.968583,0.992049
0.020000,0.080000,0.951057,0.982236
0.020000,0.100000,0.929776,0.968546
0.020000,0.120000,0.904827,0.951033
0.020000,0.140000,0.876307,0.929765
0.020000,0.160000,0.844328,0.904828
0.020000,0.180000,0.809017,0.876318
0.020000,0.200000,0.770513,0.844347
0.020000,0.220000,0.728969,0.809043
0.020000,0.240000,0.684547,0.770544
0.020000,0.260000,0.637424,0.729002
0.020000,0.280000,0.587785,0.684580
0.020000,0.300000,0.535827,0.637455
0.020000,0.320000,0.481754,0.587813
0.020000,0.340000,0.425779,0.535849
0.020000,0.360000,0.368125,0.481769
0.020000,0.380000,0.309017,0.425786
0.020000,0.400000,0.248690,0.368122
0.020000,0.420000,0.187381,0.309004
0.020000,0.440000,0.125333,0.248667
0.020000,0.460000,0.062790,0.187348
0.020000,0.480000,0.000000,0.125290
0.020000,0.500000,-0.062790,0.062738
0.020000,0.520000,-0.125333,-0.000061
0.020000,0.540000,-0.187381,-0.062858
0.020000,0.560000,-0.248690,-0.125407
0.020000,0.580000,-0.309017,-0.187458
0.020000,0.600000,-0.368125,-0.248769
0.020000,0.620000,-0.425779,-0.309096
0.020000,0.640000,-0.481754,-0.368201
0.020000,0.660000,-0.535827,-0.425852
0.020000,0.680000,-0.587785,-0.481821
0.020000,0.700000,-0.637424,-0.535887
0.020000,0.720000,-0.684547,-0.587838
0.020000,0.740000,-0.728969,-0.637468
0.020000,0.760000,-0.770513,-0.684581
0.020000,0.780000,-0.809017,-0.728993
0.020000,0.800000,-0.844328,-0.770528
0.020000,0.820000,-0.876307,-0.809023
0.020000,0.840000,-0.904827,-0.844326
0.020000,0.860000,-0.929776,-0.876298
0.020000,0.880000,-0.951057,-0.904813
0.020000,0.900000,-0.968583,-0.929759
0.020000,0.920000,-0.982287,-0.951038
0.020000,0.940000,-0.992115,-0.968565
0.020000,0.960000,-0.998027,-0.982273
0.020000,0.980000,-1.000000,-0.992108
0.020000,1.000000,-0.998027,-0.998033
0.040000,0.000000,0.992115,0.992041
0.040000,0.020000,0.982287,0.997957
0.040000,0.040000,0.968583,0.999937
0.040000,0.060000,0.951057,0.997971
0.040000,0.080000,0.929776,0.992067
0.040000,0.100000,0.904827,0.982248
0.040000,0.120000,0.876307,0.968552
0.040000,0.140000,0.844328,0.951034
0.040000,0.160000,0.809017,0.929762
0.040000,0.180000,0.770513,0.904819
0.040000,0.200000,0.728969,0.876304
0.040000,0.220000,0.684547,0.844329
0.040000,0.240000,0.637424,0.809021
0.040000,0.260000,0.587785,0.770518
0.040000,0.280000,0.535827,0.728972
0.040000,0.300000,0.481754,0.684548
0.040000,0.320000,0.425779,0.637420
0.040000,0.340000,0.368125,0.587776
0.040000,0.360000,0.309017,0.535811
0.040000,0.380000,0.248690,0.481729
0.040000,0.400000,0.187381,0.425746
0.040000,0.420000,0.125333,0.368082
0.040000,0.440000,0.062790,0.308965
0.040000,0.460000,0.000000,0.248629
0.040000,0.480000,-0.062790,0.187311
0.040000,0.500000,-0.125333,0.125255
0.040000,0.520000,-0.187381,0.062704
0.040000,0.540000,-0.248690,-0.000092
0.040000,0.560000,-0.309017,-0.062887
0.040000,0.580000,-0.368125,-0.125433
0.040000,0.600000,-0.425779,-0.187483
0.040000,0.620000,-0.481754,-0.248791
0.040000,0.640000,-0.535827,-0.309115
0.040000,0.660000,-0.587785,-0.368219
0.040000,0.680000,-0.637424,-0.425868
0.040000,0.700000,-0.684547,-0.481835
0.040000,0.720000,-0.728969,-0.535900
0.040000,0.740000,-0.770513,-0.587850
0.040000,0.760000,-0.809017,-0.637479
0.040000,0.780000,-0.844328,-0.684592
0.040000,0.800000,-0.876307,-0.729004
0.040000,0.820000,-0.904827,-0.770540
0.040000,0.840000,-0.929776,-0.809035
0.040000,0.860000,-0.951057,-0.844339
0.040000,0.880000,-0.968583,-0.876313
0.040000,0.900000,-0.982287,-0.904830
0.040000,0.920000,-0.992115,-0.929777
0.040000,0.940000,-0.998027,-0.951058
0.040000,0.960000,-1.000000,-0.968588
0.040000,0.980000,-0.998027,-0.982299
0.040000,1.000000,-0.992115,-0.992137
0.060000,0.000000,0.982287,0.982240
0.060000,0.020000,0.968583,0.992066
0.060000,0.040000,0.951057,0.997978
0.060000,0.060000,0.929776,0.999953
0.060000,0.080000,0.904827,0.997982
0.060000,0.100000,0.876307,0.992074
0.060000,0.120000,0.844328,0.982250
0.060000,0.140000,0.809017,0.968550
0.060000,0.160000,0.770513,0.951027
0.060000,0.180000,0.728969,0.929750
0.060000,0.200000,0.684547,0.904803
0.060000,0.220000,0.637424,0.876284
0.060000,0.240000,0.587785,0.844306
0.060000,0.260000,0.535827,0.808994
0.060000,0.280000,0.481754,0.770488
0.060000,0.300000,0.425779,0.728940
0.060000,0.320000,0.368125,0.684513
0.060000,0.340000,0.309017,0.637384
0.060000,0.360000,0.248690,0.587739
0.060000,0.380000,0.187381,0.535772
0.060000,0.400000,0.125333,0.481691
0.060000,0.420000,0.062790,0.425708
0.060000,0.440000,0.000000,0.368044
0.060000,0.460000,-0.062790,0.308928
0.060000,0.480000,-0.125333,0.248593
0.060000,0.500000,-0.187381,0.187277
0.060000,0.520000,-0.248690,0.125222
0.060000,0.540000,-0.309017,0.062674
0.060000,0.560000,-0.368125,-0.000121
0.060000,0.580000,-0.425779,-0.062914
0.060000,0.600000,-0.481754,-0.125457
0.060000,0.620000,-0.535827,-0.187504
0.060000,0.640000,-0.587785,-0.248810
0.060000,0.660000,-0.637424,-0.309133
0.060000,0.680000,-0.684547,-0.368235
0.060000,0.700000,-0.728969,-0.425883
0.060000,0.720000,-0.770513,-0.481849
0.060000,0.740000,-0.809017,-0.535912
0.060000,0.760000,-0.844328,-0.587861
0.060000,0.780000,-0.876307,-0.637489
0.060000,0.800000,-0.904827,-0.684602
0.060000,0.820000,-0.929776,-0.729014
0.060000,0.840000,-0.951057,-0.770550
0.060000,0.860000,-0.968583,-0.809047
0.060000,0.880000,-0.982287,-0.844352
0.060000,0.900000,-0.992115,-0.876326
0.060000,0.920000,-0.998027,-0.904844
0.060000,0.940000,-1.000000,-0.929794
0.060000,0.960000,-0.998027,-0.951076
0.060000,0.980000,-0.992115,-0.968608
0.060000,1.000000,-0.982287,-0.982320
0.080000,0.000000,0.968583,0.968560
0.080000,0.020000,0.951057,0.982257
0.080000,0.040000,0.929776,0.992079
0.080000,0.060000,0.904827,0.997988
0.080000,0.080000,0.876307,0.999959
0.080000,0.100000,0.844328,0.997985
0.080000,0.120000,0.809017,0.992072
0.080000,0.140000,0.770513,0.982245
0.080000,0.160000,0.728969,0.968541
0.080000,0.180000,0.684547,0.951014
0.080000,0.200000,0.637424,0.929733
0.080000,0.220000,0.587785,0.904783
0.080000,0.240000,0.535827,0.876261
0.080000,0.260000,0.481754,0.844279
0.080000,0.280000,0.425779,0.808965
0.080000,0.300000,0.368125,0.770456
0.080000,0.320000,0.309017,0.728906
0.080000,0.340000,0.248690,0.684478
0.080000,0.360000,0.187381,0.637348
0.080000,0.380000,0.125333,0.587701
0.080000,0.400000,0.062790,0.535735
0.080000,0.420000,0.000000,0.481654
0.080000,0.440000,-0.062790,0.425671
0.080000,0.460000,-0.125333,0.368008
0.080000,0.480000,-0.187381,0.308893
0.080000,0.500000,-0.248690,0.248559
0.080000,0.520000,-0.309017,0.187245
0.080000,0.540000,-0.368125,0.125192
0.080000,0.560000,-0.425779,0.062646
0.080000,0.580000,-0.481754,-0.000146
0.080000,0.600000,-0.535827,-0.062937
0.080000,0.620000,-0.587785,-0.125479
0.080000,0.640000,-0.637424,-0.187524
0.080000,0.660000,-0.684547,-0.248828
0.080000,0.680000,-0.728969,-0.309149
0.080000,0.700000,-0.770513,-0.368249
0.080000,0.720000,-0.809017,-0.425895
0.080000,0.740000,-0.844328,-0.481860
0.080000,0.760000,-0.876307,-0.535923
0.080000,0.780000,-0.904827,-0.587871
0.080000,0.800000,-0.929776,-0.637499
0.080000,0.820000,-0.951057,-0.684612
0.080000,0.840000,-0.968583,-0.729024
0.080000,0.860000,-0.982287,-0.770560
0.080000,0.880000,-0.992115,-0.809056
0.080000,0.900000,-0.998027,-0.844362
0.080000,0.920000,-1.000000,-0.876337
0.080000,0.940000,-0.998027,-0.904856
0.080000,0.960000,-0.992115,-0.929806
0.080000,0.980000,-0.982287,-0.951090
0.080000,1.000000,-0.968583,-0.968622
0.100000,0.000000,0.951057,0.951054
0.100000,0.020000,0.929776,0.968569
0.100000,0.040000,0.904827,0.982263
0.100000,0.060000,0.876307,0.992083
0.100000,0.080000,0.844328,0.997988
0.100000,0.100000,0.809017,0.999956
0.100000,0.120000,0.770513,0.997979
0.100000,0.140000,0.728969,0.992063
0.100000,0.160000,0.684547,0.982232
0.100000,0.180000,0.637424,0.968525
0.100000,0.200000,0.587785,0.950995
0.100000,0.220000,0.535827,0.929711
0.100000,0.240000,0.481754,0.904758
0.100000,0.260000,0.425779,0.876233
0.100000,0.280000,0.368125,0.844249
0.100000,0.300000,0.309017,0.808933
0.100000,0.320000,0.248690,0.770423
0.100000,0.340000,0.187381,0.728871
0.100000,0.360000,0.125333,0.684443
0.100000,0.380000,0.062790,0.637312
0.100000,0.400000,0.000000,0.587665
0.100000,0.420000,-0.062790,0.535699
0.100000,0.440000,-0.125333,0.481618
0.100000,0.460000,-0.187381,0.425636
0.100000,0.480000,-0.248690,0.367974
0.100000,0.500000,-0.309017,0.308861
0.100000,0.520000,-0.368125,0.248529
0.100000,0.540000,-0.425779,0.187216
0.100000,0.560000,-0.481754,0.125165
0.100000,0.580000,-0.535827,0.062621
0.100000,0.600000,-0.587785,-0.000169
0.100000,0.620000,-0.637424,-0.062958
0.100000,0.640000,-0.684547,-0.125497
0.100000,0.660000,-0.728969,-0.187541
0.100000,0.680000,-0.770513,-0.248843
0.100000,0.700000,-0.809017,-0.309162
0.100000,0.720000,-0.844328,-0.368261
0.100000,0.740000,-0.876307,-0.425906
0.100000,0.760000,-0.904827,-0.481869
0.100000,0.780000,-0.929776,-0.535931
0.100000,0.800000,-0.951057,-0.587879
0.100000,0.820000,-0.968583,-0.637506
0.100000,0.840000,-0.982287,-0.684619
0.100000,0.860000,-0.992115,-0.729031
0.100000,0.880000,-0.998027,-0.770567
0.100000,0.900000,-1.000000,-0.809064
0.100000,0.920000,-0.998027,-0.844369
0.100000,0.940000,-0.992115,-0.876345
0.100000,0.960000,-0.982287,-0.904864
0.100000,0.980000,-0.968583,-0.929814
0.100000,1.000000,-0.951057,-0.951098
