x,y,u_exact,u_approx
0.000000,0.000000,0.000000,-0.000148
0.000000,0.020000,0.000000,-0.000060
0.000000,0.040000,0.000000,0.000010
0.000000,0.060000,0.000000,0.000061
0.000000,0.080000,0.000000,0.000095
0.000000,0.100000,0.000000,0.000113
0.000000,0.120000,0.000000,0.000118
0.000000,0.140000,0.000000,0.000112
0.000000,0.160000,0.000000,0.000099
0.000000,0.180000,0.000000,0.000081
0.000000,0.200000,0.000000,0.000060
0.000000,0.220000,0.000000,0.000038
0.000000,0.240000,0.000000,0.000017
0.000000,0.260000,0.000000,-0.000002
0.000000,0.280000,0.000000,-0.000017
0.000000,0.300000,0.000000,-0.000030
0.000000,0.320000,0.000000,-0.000038
0.000000,0.340000,0.000000,-0.000044
0.000000,0.360000,0.000000,-0.000046
0.000000,0.380000,0.000000,-0.000045
0.000000,0.400000,0.000000,-0.000041
0.000000,0.420000,0.000000,-0.000035
0.000000,0.440000,0.000000,-0.000028
0.000000,0.460000,0.000000,-0.000021
0.000000,0.480000,0.000000,-0.000013
0.000000,0.500000,0.000000,-0.000005
0.000000,0.520000,0.000000,0.000001
0.000000,0.540000,0.000000,0.000007
0.000000,0.560000,0.000000,0.000011
0.000000,0.580000,0.000000,0.000013
0.000000,0.600000,0.000000,0.000013
0.000000,0.620000,0.000000,0.000011
0.000000,0.640000,0.000000,0.000008
0.000000,0.660000,0.000000,0.000003
0.000000,0.680000,0.000000,-0.000002
0.000000,0.700000,0.000000,-0.000008
0.000000,0.720000,0.000000,-0.000014
0.000000,0.740000,0.000000,-0.000019
0.000000,0.760000,0.000000,-0.000024
0.000000,0.780000,0.000000,-0.000027
0.000000,0.800000,0.000000,-0.000028
0.000000,0.820000,0.000000,-0.000028
0.000000,0.840000,0.000000,-0.000025
0.000000,0.860000,0.000000,-0.000020
0.000000,0.880000,0.000000,-0.000013
0.000000,0.900000,0.000000,-0.000004
0.000000,0.920000,0.000000,0.000008
0.000000,0.940000,0.000000,0.000023
0.000000,0.960000,0.000000,0.000041
0.000000,0.980000,0.000000,0.000063
0.000000,1.000000,0.000000,0.000090
0.020000,0.000000,0.000000,-0.000138
0.020000,0.020000,0.003943,0.003874
0.020000,0.040000,0.007870,0.007858
0.020000,0.060000,0.011766,0.011798
0.020000,0.080000,0.015615,0.015678
0.020000,0.100000,0.019403,0.019484
0.020000,0.120000,0.023115,0.023203
0.020000,0.140000,0.026735,0.026821
0.020000,0.160000,0.030250,0.030328
0.020000,0.180000,0.033645,0.033710
0.020000,0.200000,0.036907,0.036957
0.020000,0.220000,0.040024,0.040058
0.020000,0.240000,0.042983,0.043001
0.020000,0.260000,0.045772,0.045775
0.020000,0.280000,0.048381,0.048371
0.020000,0.300000,0.050799,0.050778
0.020000,0.320000,0.053016,0.052988
0.020000,0.340000,0.055024,0.054991
0.020000,0.360000,0.056815,0.056779
0.020000,0.380000,0.058381,0.058346
0.020000,0.400000,0.059717,0.059684
0.020000,0.420000,0.060818,0.060788
0.020000,0.440000,0.061678,0.061653
0.020000,0.460000,0.062295,0.062275
0.020000,0.480000,0.062667,0.062653
0.020000,0.500000,0.062790,0.062782
0.020000,0.520000,0.062667,0.062663
0.020000,0.540000,0.062295,0.062296
0.020000,0.560000,0.061678,0.061682
0.020000,0.580000,0.060818,0.060823
0.020000,0.600000,0.059717,0.059723
0.020000,0.620000,0.058381,0.058386
0.020000,0.640000,0.056815,0.056817
0.020000,0.660000,0.055024,0.055023
0.020000,0.680000,0.053016,0.053011
0.020000,0.700000,0.050799,0.050789
0.020000,0.720000,0.048381,0.048367
0.020000,0.740000,0.045772,0.045754
0.020000,0.760000,0.042983,0.042962
0.020000,0.780000,0.040024,0.040001
0.020000,0.800000,0.036907,0.036883
0.020000,0.820000,0.033645,0.033622
0.020000,0.840000,0.030250,0.030229
0.020000,0.860000,0.026735,0.026719
0.020000,0.880000,0.023115,0.023106
0.020000,0.900000,0.019403,0.019403
0.020000,0.920000,0.015615,0.015625
0.020000,0.940000,0.011766,0.011788
0.020000,0.960000,0.007870,0.007908
0.020000,0.980000,0.003943,0.004000
0.020000,1.000000,0.000000,0.000081
0.040000,0.000000,0.000000,-0.000119
0.040000,0.020000,0.007870,0.007804
0.040000,0.040000,0.015708,0.015688
0.040000,0.060000,0.023485,0.023501
0.040000,0.080000,0.031169,0.031211
0.040000,0.100000,0.038730,0.038789
0.040000,0.120000,0.046138,0.046204
0.040000,0.140000,0.053364,0.053431
0.040000,0.160000,0.060380,0.060441
0.040000,0.180000,0.067157,0.067210
0.040000,0.200000,0.073669,0.073711
0.040000,0.220000,0.079890,0.079920
