x,u_exact,u_approx
0,1,1
0.01,0.988377,0.19784
0.02,0.976755,0.19784
0.03,0.965491,0.19784
0.04,0.954242,0.19784
0.05,0.943308,0.19784
0.06,0.932403,0.19784
0.07,0.921774,0.19784
0.08,0.911184,0.19784
0.09,0.900837,0.19784
0.1,0.890538,0.19784
0.11,0.880451,0.19784
0.12,0.870419,0.19784
0.13,0.860574,0.19784
0.14,0.85079,0.19784
0.15,0.841168,0.19784
0.16,0.831612,0.19784
0.17,0.822198,0.19784
0.18,0.812853,0.19784
0.19,0.803632,0.19784
0.2,0.794482,0.19784
0.21,0.78544,0.19784
0.22,0.776472,0.19784
0.23,0.767597,0.19784
0.24,0.758797,0.19784
0.25,0.750077,0.19784
0.26,0.741434,0.19784
0.27,0.732858,0.19784
0.28,0.724359,0.19784
0.29,0.715918,0.19784
0.3,0.707553,0.19784
0.31,0.699237,0.19784
0.32,0.690998,0.19784
0.33,0.682799,0.19784
0.34,0.674676,0.19784
0.35,0.666586,0.19784
0.36,0.65857,0.19784
0.37,0.650581,0.19784
0.38,0.642666,0.19784
0.39,0.634772,0.19784
0.4,0.62695,0.19784
0.41,0.619144,0.19784
0.42,0.611409,0.19784
0.43,0.603685,0.19784
0.44,0.59603,0.19784
0.45,0.588383,0.19784
0.46,0.580803,0.19784
0.47,0.573227,0.19784
0.48,0.565716,0.19784
0.49,0.558206,0.19784
0.5,0.55076,0.19784
0.51,0.543313,0.19784
0.52,0.535925,0.19784
0.53,0.528538,0.19784
0.54,0.521203,0.19784
0.55,0.513871,0.19784
0.56,0.506585,0.19784
0.57,0.499305,0.19784
0.58,0.492065,0.19784
0.59,0.484832,0.19784
0.6,0.477634,0.19784
0.61,0.470444,0.19784
0.62,0.463286,0.19784
0.63,0.456137,0.19784
0.64,0.449015,0.19784
0.65,0.441903,0.19784
0.66,0.434815,0.19784
0.67,0.427737,0.19784
0.68,0.42068,0.19784
0.69,0.413634,0.19784
0.7,0.406605,0.19784
0.71,0.399588,0.19784
0.72,0.392585,0.19784
0.73,0.385594,0.19784
0.74,0.378616,0.19784
0.75,0.371649,0.19784
0.76,0.364693,0.19784
0.77,0.357749,0.19784
0.78,0.350813,0.19784
0.79,0.343888,0.19784
0.8,0.336971,0.19784
0.81,0.330064,0.19784
0.82,0.323164,0.19784
0.83,0.316274,0.19784
0.84,0.309389,0.19784
0.85,0.302513,0.19784
0.86,0.295642,0.19784
0.87,0.28878,0.19784
0.88,0.281921,0.19784
0.89,0.275071,0.19784
0.9,0.268223,0.19784
0.91,0.261384,0.19784
0.92,0.254546,0.19784
0.93,0.247716,0.19784
0.94,0.240887,0.19784
0.95,0.234066,0.19784
0.96,0.227245,0.19784
0.97,0.22043,0.19784
0.98,0.213616,0.19784
0.99,0.206808,0.19784
1,0.2,0.19784
