x,u_exact,u_approx
0.000000,1.000000,1.000000
0.010000,0.988377,0.988278
0.020000,0.976755,0.976747
0.030000,0.965491,0.965399
0.040000,0.954242,0.954228
0.050000,0.943308,0.943225
0.060000,0.932403,0.932385
0.070000,0.921774,0.921699
0.080000,0.911184,0.911162
0.090000,0.900837,0.900769
0.100000,0.890538,0.890513
0.110000,0.880451,0.880389
0.120000,0.870419,0.870392
0.130000,0.860574,0.860517
0.140000,0.850790,0.850760
0.150000,0.841168,0.841116
0.160000,0.831612,0.831581
0.170000,0.822198,0.822151
0.180000,0.812853,0.812822
0.190000,0.803632,0.803590
0.200000,0.794482,0.794452
0.210000,0.785440,0.785404
0.220000,0.776472,0.776442
0.230000,0.767597,0.767565
0.240000,0.758797,0.758768
0.250000,0.750077,0.750049
0.260000,0.741434,0.741404
0.270000,0.732858,0.732833
0.280000,0.724359,0.724330
0.290000,0.715918,0.715896
0.300000,0.707553,0.707526
0.310000,0.699237,0.699218
0.320000,0.690998,0.690971
0.330000,0.682799,0.682783
0.340000,0.674676,0.674650
0.350000,0.666586,0.666572
0.360000,0.658570,0.658546
0.370000,0.650581,0.650570
0.380000,0.642666,0.642643
0.390000,0.634772,0.634763
0.400000,0.626950,0.626929
0.410000,0.619144,0.619138
0.420000,0.611409,0.611389
0.430000,0.603685,0.603680
0.440000,0.596030,0.596011
0.450000,0.588383,0.588380
0.460000,0.580803,0.580785
0.470000,0.573227,0.573225
0.480000,0.565716,0.565699
0.490000,0.558206,0.558206
0.500000,0.550760,0.550744
0.510000,0.543313,0.543313
0.520000,0.535925,0.535910
0.530000,0.528538,0.528536
0.540000,0.521203,0.521189
0.550000,0.513871,0.513869
0.560000,0.506585,0.506573
0.570000,0.499305,0.499302
0.580000,0.492065,0.492054
0.590000,0.484832,0.484828
0.600000,0.477634,0.477624
0.610000,0.470444,0.470441
0.620000,0.463286,0.463277
0.630000,0.456137,0.456133
0.640000,0.449015,0.449007
0.650000,0.441903,0.441899
0.660000,0.434815,0.434808
0.670000,0.427737,0.427733
0.680000,0.420680,0.420673
0.690000,0.413634,0.413629
0.700000,0.406605,0.406599
0.710000,0.399588,0.399583
0.720000,0.392585,0.392580
0.730000,0.385594,0.385590
0.740000,0.378616,0.378612
0.750000,0.371649,0.371645
0.760000,0.364693,0.364689
0.770000,0.357749,0.357744
0.780000,0.350813,0.350809
0.790000,0.343888,0.343884
0.800000,0.336971,0.336968
0.810000,0.330064,0.330061
0.820000,0.323164,0.323162
0.830000,0.316274,0.316270
0.840000,0.309389,0.309387
0.850000,0.302513,0.302510
0.860000,0.295642,0.295641
0.870000,0.288780,0.288777
0.880000,0.281921,0.281920
0.890000,0.275071,0.275069
0.900000,0.268223,0.268222
0.910000,0.261384,0.261382
0.920000,0.254546,0.254545
0.930000,0.247716,0.247714
0.940000,0.240887,0.240887
0.950000,0.234066,0.234064
0.960000,0.227245,0.227244
0.970000,0.220430,0.220428
0.980000,0.213616,0.213616
0.990000,0.206808,0.206807
1.000000,0.200000,0.200000
