x,y,u_exact,u_approx
0,0,1,0.997927
0,0.02,0.9996,0.984718
0,0.04,0.998403,0.971854
0,0.06,0.996413,0.959322
0,0.08,0.993641,0.94711
0,0.1,0.990099,0.935204
0,0.12,0.985804,0.923593
0,0.14,0.980777,0.912268
0,0.16,0.975039,0.901217
0,0.18,0.968617,0.89043
0,0.2,0.961538,0.879899
0,0.22,0.953834,0.869614
0,0.24,0.945537,0.859566
0,0.26,0.93668,0.849748
0,0.28,0.9273,0.840152
0,0.3,0.917431,0.83077
0,0.32,0.907112,0.821595
0,0.34,0.896379,0.812621
0,0.36,0.885269,0.803841
0,0.38,0.87382,0.795248
0,0.4,0.862069,0.786837
0,0.42,0.850051,0.778602
0,0.44,0.837802,0.770538
0,0.46,0.825355,0.762639
0,0.48,0.812744,0.754901
0,0.5,0.8,0.747318
0,0.52,0.787154,0.739885
0,0.54,0.774234,0.732599
0,0.56,0.761267,0.725456
0,0.58,0.748279,0.71845
0,0.6,0.735294,0.711578
0,0.62,0.722335,0.704836
0,0.64,0.709421,0.698221
0,0.66,0.696573,0.691729
0,0.68,0.683807,0.685357
0,0.7,0.671141,0.679101
0,0.72,0.658588,0.672958
0,0.74,0.646162,0.666925
0,0.76,0.633874,0.660999
0,0.78,0.621736,0.655178
0,0.8,0.609756,0.649458
0,0.82,0.597943,0.643838
0,0.84,0.586304,0.638314
0,0.86,0.574845,0.632884
0,0.88,0.563571,0.627545
0,0.9,0.552486,0.622296
0,0.92,0.541594,0.617134
0,0.94,0.530898,0.612057
0,0.96,0.5204,0.607062
0,0.98,0.5101,0.602149
0,1,0.5,0.597314
0.02,0,0.9996,0.984718
0.02,0.02,0.999201,0.971854
0.02,0.04,0.998004,0.959322
0.02,0.06,0.996016,0.94711
0.02,0.08,0.993246,0.935204
0.02,0.1,0.989707,0.923593
0.02,0.12,0.985416,0.912268
0.02,0.14,0.980392,0.901217
0.02,0.16,0.974659,0.89043
0.02,0.18,0.968242,0.879899
0.02,0.2,0.961169,0.869614
0.02,0.22,0.953471,0.859566
0.02,0.24,0.94518,0.849748
0.02,0.26,0.93633,0.840152
0.02,0.28,0.926956,0.83077
0.02,0.3,0.917095,0.821595
0.02,0.32,0.906783,0.812621
0.02,0.34,0.896057,0.803841
0.02,0.36,0.884956,0.795248
0.02,0.38,0.873515,0.786837
0.02,0.4,0.861772,0.778602
0.02,0.42,0.849762,0.770538
0.02,0.44,0.837521,0.762639
0.02,0.46,0.825083,0.754901
0.02,0.48,0.81248,0.747318
0.02,0.5,0.799744,0.739885
0.02,0.52,0.786906,0.732599
0.02,0.54,0.773994,0.725456
0.02,0.56,0.761035,0.71845
0.02,0.58,0.748055,0.711578
0.02,0.6,0.735078,0.704836
0.02,0.62,0.722126,0.698221
0.02,0.64,0.70922,0.691729
0.02,0.66,0.696379,0.685357
0.02,0.68,0.68362,0.679101
0.02,0.7,0.670961,0.672958
0.02,0.72,0.658415,0.666925
0.02,0.74,0.645995,0.660999
0.02,0.76,0.633714,0.655178
0.02,0.78,0.621581,0.649458
0.02,0.8,0.609607,0.643838
0.02,0.82,0.5978,0.638314
0.02,0.84,0.586166,0.632884
0.02,0.86,0.574713,0.627545
0.02,0.88,0.563444,0.622296
0.02,0.9,0.552364,0.617134
0.02,0.92,0.541477,0.612057
0.02,0.94,0.530786,0.607062
0.02,0.96,0.520291,0.602149
0.02,0.98,0.509996,0.597314
0.02,1,0.4999,0.592557
0.04,0,0.998403,0.971854
0.04,0.02,0.998004,0.959322
0.04,0.04,0.99681,0.94711
0.04,0.06,0.994827,0.935204
0.04,0.08,0.992063,0.923593
