x,u_exact,u_approx
0,0,0
0.01,0.0029951,0.00295051
0.02,0.00599289,0.00594814
0.03,0.00899607,0.00899344
0.04,0.0120074,0.012087
0.05,0.0150294,0.0152294
0.06,0.0180651,0.0184212
0.07,0.0211169,0.0216631
0.08,0.0241878,0.0249558
0.09,0.0272805,0.0282999
0.1,0.0303977,0.0316961
0.11,0.0335423,0.0351453
0.12,0.036717,0.0386481
0.13,0.0399248,0.0422054
0.14,0.0431686,0.0458181
0.15,0.0464512,0.049487
0.16,0.0497756,0.053213
0.17,0.0531448,0.0569971
0.18,0.0565618,0.0608403
0.19,0.0600298,0.0647436
0.2,0.0635518,0.0687083
0.21,0.0671309,0.0727353
0.22,0.0707705,0.076826
0.23,0.0744739,0.0809816
0.24,0.0782442,0.0852034
0.25,0.0820849,0.0894928
0.26,0.0859996,0.0938512
0.27,0.0899916,0.0982803
0.28,0.0940647,0.102782
0.29,0.0982224,0.107357
0.3,0.102469,0.112008
0.31,0.106807,0.116736
0.32,0.111241,0.121544
0.33,0.115776,0.126433
0.34,0.120415,0.131406
0.35,0.125162,0.136465
0.36,0.130022,0.141613
0.37,0.134999,0.146851
0.38,0.140097,0.152183
0.39,0.145322,0.157611
0.4,0.150677,0.163138
0.41,0.156168,0.168768
0.42,0.161799,0.174503
0.43,0.167576,0.180347
0.44,0.173504,0.186304
0.45,0.179588,0.192377
0.46,0.185834,0.19857
0.47,0.192247,0.204888
0.48,0.198833,0.211336
0.49,0.205598,0.217917
0.5,0.212548,0.224637
0.51,0.219689,0.231501
0.52,0.227028,0.238515
0.53,0.234572,0.245685
0.54,0.242326,0.253017
0.55,0.250299,0.260517
0.56,0.258497,0.268193
0.57,0.266928,0.276052
0.58,0.275599,0.284102
0.59,0.284517,0.292352
0.6,0.293692,0.30081
0.61,0.303132,0.309486
0.62,0.312844,0.318391
0.63,0.322838,0.327535
0.64,0.333122,0.336929
0.65,0.343706,0.346586
0.66,0.3546,0.35652
0.67,0.365813,0.366744
0.68,0.377355,0.377273
0.69,0.389236,0.388124
0.7,0.401468,0.399314
0.71,0.414061,0.410861
0.72,0.427027,0.422787
0.73,0.440378,0.435111
0.74,0.454124,0.447859
0.75,0.46828,0.461054
0.76,0.482857,0.474724
0.77,0.497868,0.488899
0.78,0.513328,0.503611
0.79,0.52925,0.518894
0.8,0.545648,0.534786
0.81,0.562537,0.551328
0.82,0.579932,0.568565
0.83,0.59785,0.586547
0.84,0.616305,0.605327
0.85,0.635315,0.624965
0.86,0.654898,0.645525
0.87,0.675069,0.667081
0.88,0.695848,0.689711
0.89,0.717254,0.713504
0.9,0.739305,0.738558
0.91,0.762021,0.764983
0.92,0.785424,0.792902
0.93,0.809533,0.822453
0.94,0.834371,0.853789
0.95,0.85996,0.887088
0.96,0.886323,0.922547
0.97,0.913483,0.960394
0.98,0.941466,1.00089
0.99,0.970296,1.04433
1,1,1.09106
