gen,best_mse_domain,best_mse_boundary,best_total_mse
0,0,0,0.232629
1,0,0,0.00378559
2,0,0,0.00378559
3,0,0,0.00231072
4,0,0,0.00231072
5,0,0,0.00166203
6,0,0,0.00141791
7,0,0,0.00134376
8,0,0,0.00123377
9,0,0,0.00123377
10,0,0,0.00123377
11,0,0,0.00123377
12,0,0,0.00118346
13,0,0,0.00118346
14,0,0,0.00118346
15,0,0,0.00118346
16,0,0,0.00118346
17,0,0,0.00118346
18,0,0,0.00118346
19,0,0,0.00118346
20,0,0,0.00118346
21,0,0,0.00101319
22,0,0,0.00101295
23,0,0,0.00101295
24,0,0,0.00101244
25,0,0,0.00101244
26,0,0,0.00101244
27,0,0,0.00101244
28,0,0,0.00101244
29,0,0,0.00101244
30,0,0,0.00101244
31,0,0,0.00101244
32,0,0,0.00101244
33,0,0,0.00101244
34,0,0,0.00101244
35,0,0,0.00101244
36,0,0,0.00101244
37,0,0,0.00101121
38,0,0,0.000980331
39,0,0,0.000980331
40,0,0,0.000980331
41,0,0,0.000980331
42,0,0,0.000980331
43,0,0,0.000980331
44,0,0,0.000980331
45,0,0,0.000980331
46,0,0,0.000980331
47,0,0,0.000980331
48,0,0,0.000980331
49,0,0,0.000980331
50,0,0,0.000980331
51,0,0,0.000980331
52,0,0,0.000980331
53,0,0,0.000980331
54,0,0,0.000980331
55,0,0,0.000980331
56,0,0,0.000980331
57,0,0,0.000980331
58,0,0,0.000980331
59,0,0,0.000980331
60,0,0,0.000959436
61,0,0,0.000959436
62,0,0,0.000959436
63,0,0,0.000959436
64,0,0,0.000959436
65,0,0,0.000959436
66,0,0,0.000959436
67,0,0,0.000959436
68,0,0,0.000959436
69,0,0,0.000959436
70,0,0,0.000959436
71,0,0,0.000959436
72,0,0,0.000959436
73,0,0,0.000959436
74,0,0,0.000959436
75,0,0,0.000959436
76,0,0,0.000959436
77,0,0,0.000959436
78,0,0,0.000959436
79,0,0,0.000959436
80,0,0,0.000959436
81,0,0,0.000959436
82,0,0,0.000959436
83,0,0,0.000959436
84,0,0,0.000959436
85,0,0,0.000959436
86,0,0,0.000959436
87,0,0,0.000959436
88,0,0,0.000959436
89,0,0,0.000959436
90,0,0,0.000959436
91,0,0,0.000959436
92,0,0,0.000959436
93,0,0,0.000959436
94,0,0,0.000959436
95,0,0,0.000959436
96,0,0,0.000959436
97,0,0,0.000959436
98,0,0,0.000959436
99,0,0,0.000959436
100,0,0,0.000959436
101,0,0,0.000959436
102,0,0,0.000959436
103,0,0,0.000959436
104,0,0,0.000959436
105,0,0,0.000959436
106,0,0,0.000959436
107,0,0,0.000959436
108,0,0,0.000959436
109,0,0,0.000959436
110,0,0,0.000959436
111,0,0,0.000959436
112,0,0,0.000959436
113,0,0,0.000959436
114,0,0,0.000959436
115,0,0,0.000959436
116,0,0,0.000959436
117,0,0,0.000959436
118,0,0,0.000959436
119,0,0,0.000959436
120,0,0,0.000959436
121,0,0,0.000959436
122,0,0,0.000959436
123,0,0,0.000959436
124,0,0,0.000959436
125,0,0,0.000959436
126,0,0,0.000959436
127,0,0,0.000959436
128,0,0,0.000959436
129,0,0,0.000959436
130,0,0,0.000959436
131,0,0,0.000959436
132,0,0,0.000959436
133,0,0,0.000959436
134,0,0,0.000959436
135,0,0,0.000959436
136,0,0,0.000959436
137,0,0,0.000959436
138,0,0,0.000959436
139,0,0,0.000959436
140,0,0,0.000959436
141,0,0,0.000959436
142,0,0,0.000959436
143,0,0,0.000959436
144,0,0,0.000959436
145,0,0,0.000959436
146,0,0,0.000959436
147,0,0,0.000959436
148,0,0,0.000959436
149,0,0,0.000959436
