gen,best_mse_domain,best_mse_boundary,best_total_mse
0,0,0,0.260403
1,0,0,0.000115198
2,0,0,0.000115198
3,0,0,0.000115198
4,0,0,0.000115198
5,0,0,0.000115198
6,0,0,0.000115198
7,0,0,0.000115198
8,0,0,0.000115198
9,0,0,0.000115198
10,0,0,0.000115198
11,0,0,0.000115198
12,0,0,0.000115198
13,0,0,0.000115198
14,0,0,0.000115198
15,0,0,0.000115198
16,0,0,0.000115198
17,0,0,0.000115198
18,0,0,0.000115198
19,0,0,0.000115198
20,0,0,0.000115198
21,0,0,0.000115198
22,0,0,0.000115198
23,0,0,0.000115198
24,0,0,0.000115198
25,0,0,0.000115198
26,0,0,0.000115198
27,0,0,0.000115198
28,0,0,0.000115198
29,0,0,0.000115198
30,0,0,0.000115198
31,0,0,0.000115198
32,0,0,0.000115198
33,0,0,0.000115198
34,0,0,0.000115198
35,0,0,0.000115198
36,0,0,0.000115198
37,0,0,0.000115198
38,0,0,0.000115198
39,0,0,0.000115198
40,0,0,0.000115198
41,0,0,0.000115198
42,0,0,0.000115198
43,0,0,0.000115198
44,0,0,0.000115198
45,0,0,0.000115198
46,0,0,0.000115198
47,0,0,0.000115198
48,0,0,0.000115198
49,0,0,0.000115198
50,0,0,0.000115198
51,0,0,0.000115198
52,0,0,0.000115198
53,0,0,0.000115198
54,0,0,0.000115198
55,0,0,0.000115198
56,0,0,0.000115198
57,0,0,0.000115198
58,0,0,0.000115198
59,0,0,0.000115198
60,0,0,0.000115198
61,0,0,0.000115198
62,0,0,0.000115198
63,0,0,0.000115198
64,0,0,0.000115198
65,0,0,0.000115198
66,0,0,0.000115198
67,0,0,0.000115198
68,0,0,0.000115198
69,0,0,0.000115198
70,0,0,0.000115198
71,0,0,0.000115198
72,0,0,0.000115198
73,0,0,0.000115198
74,0,0,0.000115198
75,0,0,0.000115198
76,0,0,0.000115198
77,0,0,0.000115198
78,0,0,0.000115198
79,0,0,0.000115198
80,0,0,0.000115198
81,0,0,0.000115198
82,0,0,0.000115198
83,0,0,0.000115198
84,0,0,0.000115198
85,0,0,0.000115198
86,0,0,0.000115198
87,0,0,0.000115198
88,0,0,0.000115198
89,0,0,0.000115198
90,0,0,0.000115198
91,0,0,0.000115198
92,0,0,0.000115198
93,0,0,0.000115198
94,0,0,0.000115198
95,0,0,0.000115198
96,0,0,0.000115198
97,0,0,0.000115198
98,0,0,0.000115198
99,0,0,0.000115198
100,0,0,0.000115198
101,0,0,0.000115198
102,0,0,0.000115198
103,0,0,0.000115198
104,0,0,0.000115198
105,0,0,0.000115198
106,0,0,0.000115198
107,0,0,0.000115198
108,0,0,0.000115198
109,0,0,0.000115198
110,0,0,0.000115198
111,0,0,0.000115198
112,0,0,0.000115198
113,0,0,0.000115198
114,0,0,0.000115198
115,0,0,0.000115198
116,0,0,0.000115198
117,0,0,0.000115198
118,0,0,0.000115198
119,0,0,0.000115198
120,0,0,0.000115198
121,0,0,0.000115198
122,0,0,0.000115198
123,0,0,0.000115198
124,0,0,0.000115198
125,0,0,0.000115198
126,0,0,0.000115198
127,0,0,0.000115198
128,0,0,0.000115198
129,0,0,0.000115198
130,0,0,0.000115198
131,0,0,0.000115198
132,0,0,0.000115198
133,0,0,0.000115198
134,0,0,0.000115198
135,0,0,0.000115198
136,0,0,0.000115198
137,0,0,0.000115198
138,0,0,0.000115198
139,0,0,0.000115198
140,0,0,0.000115198
141,0,0,0.000115198
142,0,0,0.000115198
143,0,0,0.000115198
144,0,0,0.000115198
145,0,0,0.000115198
146,0,0,0.000115198
147,0,0,0.000115198
148,0,0,0.000115198
149,0,0,0.000115198
