method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PI-NSGA-II,Navier-Stokes,2,0.0000000069,0.0000000000,13,1
PI-NSGA-II,Navier-Stokes,2,0.0000000051,0.0000000000,13,1
PI-NSGA-II,Navier-Stokes,2,0.0000000018,0.0000000017,13,1
PI-NSGA-II,Navier-Stokes,2,0.0000000069,0.0000000000,13,1
PI-NSGA-II,Navier-Stokes,2,0.0000000069,0.0000000000,13,1
PI-NSGA-II,Navier-Stokes,2,0.0000000069,0.0000000000,13,1
PI-NSGA-II,Navier-Stokes,2,0.0000000069,0.0000000000,13,1
PI-NSGA-II,Navier-Stokes,2,0.0000000069,0.0000000000,13,1
PI-NSGA-II,Navier-Stokes,2,0.0000000069,0.0000000000,13,1
PI-NSGA-II,Navier-Stokes,2,0.0000000069,0.0000000000,13,1
PI-NSGA-II,Navier-Stokes,2,0.0000000069,0.0000000000,13,1
PI-NSGA-II,Navier-Stokes,2,0.0000000069,0.0000000000,13,1
PI-NSGA-II,Navier-Stokes,2,0.0000000069,0.0000000000,13,1
PI-NSGA-II,Navier-Stokes,2,0.0000000018,0.0000000006,13,1
PI-NSGA-II,Navier-Stokes,2,0.0000000069,0.0000000000,13,1
PI-NSGA-II,Navier-Stokes,2,0.0000000069,0.0000000000,13,1
PI-NSGA-II,Navier-Stokes,2,0.0000000003,0.0000000001,13,1
PI-NSGA-II,Navier-Stokes,2,0.0000000069,0.0000000000,13,1
PI-NSGA-II,Navier-Stokes,2,0.0000000069,0.0000000000,13,1
PI-NSGA-II,Navier-Stokes,2,0.0000000069,0.0000000000,13,1
PI-NSGA-II,Navier-Stokes,2,0.0000000069,0.0000000000,13,1
PI-NSGA-II,Navier-Stokes,2,0.0000000069,0.0000000000,13,1
PI-NSGA-II,Navier-Stokes,2,0.0000000010,0.0000000004,13,1
PI-NSGA-II,Navier-Stokes,2,0.0000000001,0.0000000014,13,1
PI-NSGA-II,Navier-Stokes,2,0.0000000069,0.0000000000,13,1
PI-NSGA-II,Navier-Stokes,2,0.0000000069,0.0000000000,13,1
PI-NSGA-II,Navier-Stokes,2,0.0000000001,0.0000000040,13,1
PI-NSGA-II,Navier-Stokes,2,0.0000000008,0.0000000013,13,1
PI-NSGA-II,Navier-Stokes,2,0.0000000069,0.0000000000,13,1
PI-NSGA-II,Navier-Stokes,2,0.0000000069,0.0000000000,13,1
PI-NSGA-II,Navier-Stokes,2,0.0000000000,0.0000000052,13,1
PI-NSGA-II,Navier-Stokes,2,0.0000000069,0.0000000000,13,1
PI-NSGA-II,Navier-Stokes,2,0.0000000069,0.0000000000,13,1
