x,u_exact,u_approx
0,0.355,0.355079
0.01,0.352412,0.113895
0.02,0.349825,0.113901
0.03,0.347239,0.113912
0.04,0.344653,0.113927
0.05,0.342069,0.113947
0.06,0.339486,0.11397
0.07,0.336906,0.113999
0.08,0.334327,0.114031
0.09,0.331753,0.114068
0.1,0.329179,0.114109
0.11,0.326611,0.114154
0.12,0.324045,0.114203
0.13,0.321484,0.114257
0.14,0.318926,0.114316
0.15,0.316374,0.114378
0.16,0.313824,0.114445
0.17,0.311282,0.114516
0.18,0.308743,0.114592
0.19,0.306212,0.114671
0.2,0.303685,0.114755
0.21,0.301165,0.114844
0.22,0.29865,0.114936
0.23,0.296143,0.115033
0.24,0.293642,0.115134
0.25,0.291148,0.11524
0.26,0.288662,0.11535
0.27,0.286182,0.115464
0.28,0.283711,0.115582
0.29,0.281248,0.115705
0.3,0.278793,0.115831
0.31,0.276345,0.115963
0.32,0.273908,0.116098
0.33,0.271477,0.116238
0.34,0.269058,0.116381
0.35,0.266645,0.11653
0.36,0.264245,0.116682
0.37,0.26185,0.116839
0.38,0.25947,0.116999
0.39,0.257094,0.117165
0.4,0.254734,0.117334
0.41,0.252378,0.117507
0.42,0.250039,0.117685
0.43,0.247703,0.117867
0.44,0.245386,0.118053
0.45,0.243071,0.118244
0.46,0.240776,0.118438
0.47,0.238482,0.118637
0.48,0.23621,0.11884
0.49,0.233939,0.119047
0.5,0.23169,0.119258
0.51,0.229441,0.119473
0.52,0.227216,0.119693
0.53,0.224991,0.119917
0.54,0.222789,0.120145
0.55,0.220588,0.120377
0.56,0.21841,0.120613
0.57,0.216234,0.120853
0.58,0.21408,0.121097
0.59,0.21193,0.121346
0.6,0.2098,0.121598
0.61,0.207675,0.121855
0.62,0.20557,0.122115
0.63,0.203471,0.12238
0.64,0.201391,0.122649
0.65,0.199318,0.122922
0.66,0.197264,0.123199
0.67,0.195217,0.12348
0.68,0.193188,0.123765
0.69,0.191169,0.124054
0.7,0.189165,0.124346
0.71,0.187173,0.124643
0.72,0.185195,0.124944
0.73,0.18323,0.125249
0.74,0.181279,0.125558
0.75,0.17934,0.125871
0.76,0.177416,0.126187
0.77,0.175505,0.126508
0.78,0.173607,0.126833
0.79,0.171723,0.127161
0.8,0.169851,0.127493
0.81,0.167996,0.127829
0.82,0.166151,0.128169
0.83,0.164323,0.128513
0.84,0.162505,0.128861
0.85,0.160705,0.129212
0.86,0.158913,0.129568
0.87,0.157141,0.129927
0.88,0.155376,0.13029
0.89,0.153632,0.130656
0.9,0.151893,0.131027
0.91,0.150177,0.131401
0.92,0.148466,0.131779
0.93,0.146777,0.13216
0.94,0.145093,0.132545
0.95,0.143432,0.132934
0.96,0.141774,0.133327
0.97,0.140141,0.133723
0.98,0.13851,0.134122
0.99,0.136905,0.134526
1,0.1353,0.134933
