x,u_exact,u_approx
0,1,0.980771
0.01,0.990099,0.971774
0.02,0.980392,0.96294
0.03,0.970874,0.954265
0.04,0.961538,0.945746
0.05,0.952381,0.937377
0.06,0.943396,0.929155
0.07,0.934579,0.921076
0.08,0.925926,0.913136
0.09,0.917431,0.905332
0.1,0.909091,0.89766
0.11,0.900901,0.890117
0.12,0.892857,0.8827
0.13,0.884956,0.875405
0.14,0.877193,0.86823
0.15,0.869565,0.861172
0.16,0.862069,0.854227
0.17,0.854701,0.847394
0.18,0.847458,0.840669
0.19,0.840336,0.83405
0.2,0.833333,0.827534
0.21,0.826446,0.821119
0.22,0.819672,0.814803
0.23,0.813008,0.808584
0.24,0.806452,0.802458
0.25,0.8,0.796425
0.26,0.793651,0.790482
0.27,0.787402,0.784627
0.28,0.78125,0.778858
0.29,0.775194,0.773173
0.3,0.769231,0.767571
0.31,0.763359,0.762049
0.32,0.757576,0.756606
0.33,0.75188,0.75124
0.34,0.746269,0.74595
0.35,0.740741,0.740734
0.36,0.735294,0.73559
0.37,0.729927,0.730517
0.38,0.724638,0.725514
0.39,0.719424,0.720579
0.4,0.714286,0.71571
0.41,0.70922,0.710907
0.42,0.704225,0.706168
0.43,0.699301,0.701491
0.44,0.694444,0.696877
0.45,0.689655,0.692322
0.46,0.684932,0.687827
0.47,0.680272,0.683389
0.48,0.675676,0.679009
0.49,0.671141,0.674684
0.5,0.666667,0.670414
0.51,0.662252,0.666198
0.52,0.657895,0.662034
0.53,0.653595,0.657922
0.54,0.649351,0.653861
0.55,0.645161,0.64985
0.56,0.641026,0.645888
0.57,0.636943,0.641973
0.58,0.632911,0.638106
0.59,0.628931,0.634285
0.6,0.625,0.63051
0.61,0.621118,0.626779
0.62,0.617284,0.623093
0.63,0.613497,0.619449
0.64,0.609756,0.615848
0.65,0.606061,0.612288
0.66,0.60241,0.608769
0.67,0.598802,0.605291
0.68,0.595238,0.601852
0.69,0.591716,0.598452
0.7,0.588235,0.59509
0.71,0.584795,0.591765
0.72,0.581395,0.588478
0.73,0.578035,0.585227
0.74,0.574713,0.582011
0.75,0.571429,0.578831
0.76,0.568182,0.575685
0.77,0.564972,0.572574
0.78,0.561798,0.569495
0.79,0.558659,0.56645
0.8,0.555556,0.563437
0.81,0.552486,0.560456
0.82,0.549451,0.557506
0.83,0.546448,0.554588
0.84,0.543478,0.551699
0.85,0.540541,0.548841
0.86,0.537634,0.546012
0.87,0.534759,0.543212
0.88,0.531915,0.54044
0.89,0.529101,0.537697
0.9,0.526316,0.534982
0.91,0.52356,0.532293
0.92,0.520833,0.529632
0.93,0.518135,0.526997
0.94,0.515464,0.524388
0.95,0.512821,0.521805
0.96,0.510204,0.519247
0.97,0.507614,0.516715
0.98,0.505051,0.514206
0.99,0.502513,0.511722
1,0.5,0.509262
