x,y,u_exact,u_approx
0,0,0,0
0,0.02,0.0190026,0.0190026
0,0.04,0.038021,0.038021
0,0.06,0.0570706,0.0570706
0,0.08,0.0761663,0.0761665
0,0.1,0.0953226,0.0953229
0,0.12,0.114553,0.114553
0,0.14,0.133868,0.133869
0,0.16,0.153281,0.153282
0,0.18,0.1728,0.172801
0,0.2,0.192432,0.192434
0,0.22,0.212183,0.212186
0,0.24,0.232058,0.232062
0,0.26,0.252058,0.252063
0,0.28,0.272183,0.272189
0,0.3,0.292432,0.292439
0,0.32,0.3128,0.312808
0,0.34,0.333281,0.33329
0,0.36,0.353868,0.353879
0,0.38,0.374553,0.374564
0,0.4,0.395323,0.395335
0,0.42,0.416166,0.416179
0,0.44,0.437071,0.437084
0,0.46,0.458021,0.458035
0,0.48,0.479003,0.479017
0,0.5,0.5,0.500014
0,0.52,0.520997,0.521012
0,0.54,0.541979,0.541993
0,0.56,0.562929,0.562943
0,0.58,0.583834,0.583846
0,0.6,0.604677,0.604689
0,0.62,0.625447,0.625457
0,0.64,0.646132,0.64614
0,0.66,0.666719,0.666725
0,0.68,0.6872,0.687205
0,0.7,0.707568,0.70757
0,0.72,0.727817,0.727816
0,0.74,0.747942,0.747939
0,0.76,0.767942,0.767936
0,0.78,0.787817,0.787808
0,0.8,0.807568,0.807557
0,0.82,0.8272,0.827186
0,0.84,0.846719,0.846702
0,0.86,0.866132,0.866112
0,0.88,0.885447,0.885426
0,0.9,0.904677,0.904654
0,0.92,0.923834,0.923808
0,0.94,0.942929,0.942902
0,0.96,0.961979,0.961951
0,0.98,0.980997,0.980969
0,1,1,0.999971
0.02,0,0,0
0.02,0.02,0.0190381,0.0190381
0.02,0.04,0.0380914,0.0380914
0.02,0.06,0.0571747,0.0571748
0.02,0.08,0.0763026,0.0763029
0.02,0.1,0.0954889,0.0954893
0.02,0.12,0.114746,0.114747
0.02,0.14,0.134086,0.134087
0.02,0.16,0.15352,0.153521
0.02,0.18,0.173056,0.173058
0.02,0.2,0.192701,0.192703
0.02,0.22,0.212461,0.212464
0.02,0.24,0.23234,0.232344
0.02,0.26,0.25234,0.252345
0.02,0.28,0.272461,0.272467
0.02,0.3,0.292701,0.292708
0.02,0.32,0.313056,0.313064
0.02,0.34,0.33352,0.333529
0.02,0.36,0.354086,0.354096
0.02,0.38,0.374746,0.374757
0.02,0.4,0.395489,0.395501
0.02,0.42,0.416303,0.416315
0.02,0.44,0.437175,0.437188
0.02,0.46,0.458091,0.458105
0.02,0.48,0.479038,0.479052
0.02,0.5,0.5,0.500014
0.02,0.52,0.520962,0.520976
0.02,0.54,0.541909,0.541922
0.02,0.56,0.562825,0.562838
0.02,0.58,0.583697,0.583709
0.02,0.6,0.604511,0.604522
0.02,0.62,0.625254,0.625263
0.02,0.64,0.645914,0.645921
0.02,0.66,0.66648,0.666486
0.02,0.68,0.686944,0.686948
0.02,0.7,0.707299,0.707301
0.02,0.72,0.727539,0.727538
0.02,0.74,0.74766,0.747656
0.02,0.76,0.76766,0.767654
0.02,0.78,0.787539,0.78753
0.02,0.8,0.807299,0.807288
0.02,0.82,0.826944,0.826931
0.02,0.84,0.84648,0.846464
0.02,0.86,0.865914,0.865895
0.02,0.88,0.885254,0.885233
0.02,0.9,0.904511,0.904488
0.02,0.92,0.923697,0.923673
0.02,0.94,0.942825,0.942799
0.02,0.96,0.961909,0.961882
0.02,0.98,0.980962,0.980934
0.02,1,1,0.999972
0.04,0,0,0
0.04,0.02,0.0190723,0.0190723
0.04,0.04,0.0381592,0.0381593
0.04,0.06,0.0572752,0.0572753
0.04,0.08,0.0764341,0.0764344
0.04,0.1,0.0956492,0.0956497
0.04,0.12,0.114933,0.114934
0.04,0.14,0.134297,0.134298
0.04,0.16,0.15375,0.153752
0.04,0.18,0.173303,0.173305
0.04,0.2,0.19296,0.192963
0.04,0.22,0.212729,0.212733
0.04,0.24,0.232613,0.232617
0.04,0.26,0.252613,0.252618
0.04,0.28,0.272729,0.272735
0.04,0.3,0.29296,0.292967
0.04,0.32,0.313303,0.31331
0.04,0.34,0.33375,0.333759
0.04,0.36,0.354297,0.354306
0.04,0.38,0.374933,0.374944
0.04,0.4,0.395649,0.395661
0.04,0.42,0.416434,0.416446
0.04,0.44,0.437275,0.437288
0.04,0.46,0.458159,0.458172
0.04,0.48,0.479072,0.479086
0.04,0.5,0.5,0.500013
0.04,0.52,0.520928,0.520941
0.04,0.54,0.541841,0.541854
0.04,0.56,0.562725,0.562737
0.04,0.58,0.583566,0.583577
0.04,0.6,0.604351,0.604361
0.04,0.62,0.625067,0.625076
0.04,0.64,0.645703,0.645711
0.04,0.66,0.66625,0.666255
0.04,0.68,0.686697,0.686701
0.04,0.7,0.70704,0.707041
0.04,0.72,0.727271,0.72727
0.04,0.74,0.747387,0.747384
0.04,0.76,0.767387,0.767381
0.04,0.78,0.787271,0.787262
0.04,0.8,0.80704,0.807029
0.04,0.82,0.826697,0.826684
0.04,0.84,0.84625,0.846234
0.04,0.86,0.865703,0.865685
0.04,0.88,0.885067,0.885047
0.04,0.9,0.904351,0.904328
0.04,0.92,0.923566,0.923542
0.04,0.94,0.942725,0.9427
0.04,0.96,0.961841,0.961815
0.04,0.98,0.980928,0.980901
0.04,1,1,0.999973
0.06,0,0,0
0.06,0.02,0.0191053,0.0191053
0.06,0.04,0.0382247,0.0382248
0.06,0.06,0.057372,0.0573723
0.06,0.08,0.0765609,0.0765612
0.06,0.1,0.0958039,0.0958045
0.06,0.12,0.115113,0.115114
0.06,0.14,0.134499,0.134501
0.06,0.16,0.153973,0.153974
0.06,0.18,0.173541,0.173543
0.06,0.2,0.193211,0.193213
0.06,0.22,0.212988,0.212991
0.06,0.24,0.232875,0.232879
0.06,0.26,0.252875,0.25288
0.06,0.28,0.272988,0.272994
0.06,0.3,0.293211,0.293217
0.06,0.32,0.313541,0.313548
0.06,0.34,0.333973,0.333981
0.06,0.36,0.354499,0.354509
0.06,0.38,0.375113,0.375123
0.06,0.4,0.395804,0.395815
0.06,0.42,0.416561,0.416573
0.06,0.44,0.437372,0.437384
0.06,0.46,0.458225,0.458237
0.06,0.48,0.479105,0.479118
0.06,0.5,0.5,0.500013
0.06,0.52,0.520895,0.520908
0.06,0.54,0.541775,0.541788
0.06,0.56,0.562628,0.56264
0.06,0.58,0.583439,0.58345
0.06,0.6,0.604196,0.604206
0.06,0.62,0.624887,0.624895
0.06,0.64,0.645501,0.645508
0.06,0.66,0.666027,0.666033
0.06,0.68,0.686459,0.686463
0.06,0.7,0.706789,0.706791
0.06,0.72,0.727012,0.727011
0.06,0.74,0.747125,0.747121
0.06,0.76,0.767125,0.767119
0.06,0.78,0.787012,0.787004
0.06,0.8,0.806789,0.806779
0.06,0.82,0.826459,0.826446
0.06,0.84,0.846027,0.846012
0.06,0.86,0.865501,0.865483
0.06,0.88,0.884887,0.884867
0.06,0.9,0.904196,0.904174
0.06,0.92,0.923439,0.923416
0.06,0.94,0.942628,0.942604
0.06,0.96,0.961775,0.96175
0.06,0.98,0.980895,0.980869
0.06,1,1,0.999974
0.08,0,0,0
0.08,0.02,0.0191371,0.0191372
0.08,0.04,0.0382878,0.0382879
0.08,0.06,0.0574655,0.0574658
0.08,0.08,0.0766831,0.0766836
0.08,0.1,0.0959531,0.0959538
0.08,0.12,0.115287,0.115288
0.08,0.14,0.134695,0.134696
0.08,0.16,0.154187,0.154189
0.08,0.18,0.17377,0.173772
0.08,0.2,0.193452,0.193455
0.08,0.22,0.213237,0.21324
0.08,0.24,0.233129,0.233133
0.08,0.26,0.253129,0.253134
0.08,0.28,0.273237,0.273243
0.08,0.3,0.293452,0.293459
0.08,0.32,0.31377,0.313778
0.08,0.34,0.334187,0.334195
0.08,0.36,0.354695,0.354704
0.08,0.38,0.375287,0.375297
0.08,0.4,0.395953,0.395964
0.08,0.42,0.416683,0.416695
0.08,0.44,0.437465,0.437477
0.08,0.46,0.458288,0.4583
0.08,0.48,0.479137,0.47915
0.08,0.5,0.5,0.500013
0.08,0.52,0.520863,0.520875
0.08,0.54,0.541712,0.541724
0.08,0.56,0.562535,0.562546
0.08,0.58,0.583317,0.583327
0.08,0.6,0.604047,0.604056
0.08,0.62,0.624713,0.624721
0.08,0.64,0.645305,0.645312
0.08,0.66,0.665813,0.665818
0.08,0.68,0.68623,0.686233
0.08,0.7,0.706548,0.706549
0.08,0.72,0.726763,0.726762
0.08,0.74,0.746871,0.746868
0.08,0.76,0.766871,0.766866
0.08,0.78,0.786763,0.786755
0.08,0.8,0.806548,0.806537
0.08,0.82,0.82623,0.826217
0.08,0.84,0.845813,0.845798
0.08,0.86,0.865305,0.865288
0.08,0.88,0.884713,0.884694
0.08,0.9,0.904047,0.904026
0.08,0.92,0.923317,0.923294
0.08,0.94,0.942535,0.942511
0.08,0.96,0.961712,0.961688
0.08,0.98,0.980863,0.980838
0.08,1,1,0.999975
0.1,0,0,0
0.1,0.02,0.0191678,0.0191679
0.1,0.04,0.0383487,0.0383488
0.1,0.06,0.0575556,0.0575559
0.1,0.08,0.0768011,0.0768016
0.1,0.1,0.096097,0.0960977
0.1,0.12,0.115454,0.115455
0.1,0.14,0.134884,0.134885
0.1,0.16,0.154394,0.154395
0.1,0.18,0.173992,0.173994
0.1,0.2,0.193685,0.193688
0.1,0.22,0.213477,0.213481
0.1,0.24,0.233373,0.233377
0.1,0.26,0.253373,0.253378
0.1,0.28,0.273477,0.273483
0.1,0.3,0.293685,0.293691
0.1,0.32,0.313992,0.313999
0.1,0.34,0.334394,0.334402
0.1,0.36,0.354884,0.354893
0.1,0.38,0.375454,0.375464
0.1,0.4,0.396097,0.396107
0.1,0.42,0.416801,0.416812
0.1,0.44,0.437556,0.437567
0.1,0.46,0.458349,0.458361
0.1,0.48,0.479168,0.47918
0.1,0.5,0.5,0.500012
0.1,0.52,0.520832,0.520844
0.1,0.54,0.541651,0.541663
0.1,0.56,0.562444,0.562455
0.1,0.58,0.583199,0.583209
0.1,0.6,0.603903,0.603912
0.1,0.62,0.624546,0.624553
0.1,0.64,0.645116,0.645123
0.1,0.66,0.665606,0.665611
0.1,0.68,0.686008,0.686011
0.1,0.7,0.706315,0.706316
0.1,0.72,0.726523,0.726521
0.1,0.74,0.746627,0.746624
0.1,0.76,0.766627,0.766621
0.1,0.78,0.786523,0.786515
0.1,0.8,0.806315,0.806305
0.1,0.82,0.826008,0.825996
0.1,0.84,0.845606,0.845592
0.1,0.86,0.865116,0.8651
0.1,0.88,0.884546,0.884527
0.1,0.9,0.903903,0.903883
0.1,0.92,0.923199,0.923177
0.1,0.94,0.942444,0.942422
0.1,0.96,0.961651,0.961628
0.1,0.98,0.980832,0.980808
0.1,1,1,0.999976
0.12,0,0,0
0.12,0.02,0.0191974,0.0191975
0.12,0.04,0.0384074,0.0384076
0.12,0.06,0.0576425,0.0576429
0.12,0.08,0.0769148,0.0769154
0.12,0.1,0.0962358,0.0962365
0.12,0.12,0.115616,0.115617
0.12,0.14,0.135066,0.135067
0.12,0.16,0.154593,0.154595
0.12,0.18,0.174205,0.174208
0.12,0.2,0.193909,0.193912
0.12,0.22,0.213709,0.213713
0.12,0.24,0.233609,0.233613
0.12,0.26,0.253609,0.253613
0.12,0.28,0.273709,0.273715
0.12,0.3,0.293909,0.293916
0.12,0.32,0.314205,0.314213
0.12,0.34,0.334593,0.334601
0.12,0.36,0.355066,0.355074
0.12,0.38,0.375616,0.375626
0.12,0.4,0.396236,0.396246
0.12,0.42,0.416915,0.416926
0.12,0.44,0.437643,0.437654
0.12,0.46,0.458407,0.458419
0.12,0.48,0.479197,0.479209
0.12,0.5,0.5,0.500012
0.12,0.52,0.520803,0.520814
0.12,0.54,0.541593,0.541604
0.12,0.56,0.562357,0.562368
0.12,0.58,0.583085,0.583095
0.12,0.6,0.603764,0.603773
0.12,0.62,0.624384,0.624391
0.12,0.64,0.644934,0.64494
0.12,0.66,0.665407,0.665412
0.12,0.68,0.685795,0.685797
0.12,0.7,0.706091,0.706091
0.12,0.72,0.726291,0.726289
0.12,0.74,0.746391,0.746388
0.12,0.76,0.766391,0.766386
0.12,0.78,0.786291,0.786283
0.12,0.8,0.806091,0.806081
0.12,0.82,0.825795,0.825782
0.12,0.84,0.845407,0.845393
0.12,0.86,0.864934,0.864918
0.12,0.88,0.884384,0.884366
0.12,0.9,0.903764,0.903745
0.12,0.92,0.923085,0.923064
0.12,0.94,0.942357,0.942335
0.12,0.96,0.961593,0.96157
0.12,0.98,0.980803,0.980779
0.12,1,1,0.999977
0.14,0,0,0
0.14,0.02,0.0192259,0.019226
0.14,0.04,0.038464,0.0384642
0.14,0.06,0.0577263,0.0577267
0.14,0.08,0.0770245,0.0770251
0.14,0.1,0.0963696,0.0963704
0.14,0.12,0.115772,0.115773
0.14,0.14,0.135241,0.135242
0.14,0.16,0.154785,0.154787
0.14,0.18,0.174411,0.174414
0.14,0.2,0.194126,0.194129
0.14,0.22,0.213933,0.213937
0.14,0.24,0.233836,0.23384
0.14,0.26,0.253836,0.253841
0.14,0.28,0.273933,0.273939
0.14,0.3,0.294126,0.294132
0.14,0.32,0.314411,0.314419
0.14,0.34,0.334785,0.334793
0.14,0.36,0.355241,0.35525
0.14,0.38,0.375772,0.375781
0.14,0.4,0.39637,0.39638
0.14,0.42,0.417025,0.417035
0.14,0.44,0.437726,0.437737
