method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,0.5020257190,1.1558336512,1,1
PI-NSGA-II,Bratu,2,12.8317003615,1.0300868712,1,1
PI-NSGA-II,Bratu,2,12.8317003615,1.0300868712,1,1
PI-NSGA-II,Bratu,2,4.3950431766,0.6746084479,3,1
PI-NSGA-II,Bratu,2,0.5005444867,1.1580344157,1,1
PI-NSGA-II,Bratu,2,2.4396770793,0.7843700013,4,1
PI-NSGA-II,Bratu,2,0.2140621827,1.9716931386,6,1
PI-NSGA-II,Bratu,2,12.8317003615,1.0300868712,1,1
PI-NSGA-II,Bratu,2,12.8317003615,1.0300868712,1,1
PI-NSGA-II,Bratu,2,12.8317003615,1.0300868712,1,1
PI-NSGA-II,Bratu,2,12.8317003615,1.0300868712,1,1
PI-NSGA-II,Bratu,2,0.5413411329,1.1011545492,4,1
PI-NSGA-II,Bratu,2,0.0000000000,0.0000000000,8,1
PI-NSGA-II,Bratu,2,12.8317003615,1.0300868712,1,1
PI-NSGA-II,Bratu,2,12.8317003615,1.0300868712,1,1
PI-NSGA-II,Bratu,2,0.4620806640,1.2192430828,1,1
PI-NSGA-II,Bratu,2,12.8317003615,1.0300868712,1,1
PI-NSGA-II,Bratu,2,12.8317003615,1.0300868712,1,1
PI-NSGA-II,Bratu,2,4.0000000000,0.6884467158,2,1
PI-NSGA-II,Bratu,2,12.8317003615,1.0300868712,1,1
PI-NSGA-II,Bratu,2,12.8317003615,1.0300868712,1,1
PI-NSGA-II,Bratu,2,12.8317003615,1.0300868712,1,1
PI-NSGA-II,Bratu,2,12.8317003615,1.0300868712,1,1
PI-NSGA-II,Bratu,2,12.8317003615,1.0300868712,1,1
PI-NSGA-II,Bratu,2,2.4396770793,0.7843700013,4,1
PI-NSGA-II,Bratu,2,12.8317003615,1.0300868712,1,1
PI-NSGA-II,Bratu,2,3.9702321994,0.6862671937,3,1
PI-NSGA-II,Bratu,2,0.4624457599,1.2186228431,1,1
PI-NSGA-II,Bratu,2,12.8317003615,1.0300868712,1,1
PI-NSGA-II,Bratu,2,0.5413411329,1.1011545492,4,1
PI-NSGA-II,Bratu,2,12.8317003615,1.0300868712,1,1
PI-NSGA-II,Bratu,2,0.2380097939,1.8504055339,6,1
PI-NSGA-II,Bratu,2,0.5413411329,1.1011545492,4,1
PI-NSGA-II,Bratu,2,12.8317003615,1.0300868712,1,1
PI-NSGA-II,Bratu,2,12.8317003615,1.0300868712,1,1
PI-NSGA-II,Bratu,2,12.8317003615,1.0300868712,1,1
PI-NSGA-II,Bratu,2,12.8317003615,1.0300868712,1,1
PI-NSGA-II,Bratu,2,0.4654841421,1.2134920442,1,1
PI-NSGA-II,Bratu,2,12.8317003615,1.0300868712,1,1
PI-NSGA-II,Bratu,2,12.8317003615,1.0300868712,1,1
PI-NSGA-II,Bratu,2,0.3006708470,1.6029601696,1,1
PI-NSGA-II,Bratu,2,12.8317003615,1.0300868712,1,1
PI-NSGA-II,Bratu,2,0.5710967115,1.0640741101,1,1
PI-NSGA-II,Bratu,2,0.5190446846,1.1313058108,1,1
PI-NSGA-II,Bratu,2,0.1744006225,2.2219870283,6,1
PI-NSGA-II,Bratu,2,12.8317003615,1.0300868712,1,1
PI-NSGA-II,Bratu,2,0.2205728688,1.9368551771,6,1
PI-NSGA-II,Bratu,2,4.0000000000,0.6884467158,2,1
PI-NSGA-II,Bratu,2,0.5973486537,1.0340362444,1,1
PI-NSGA-II,Bratu,2,12.8317003615,1.0300868712,1,1
PI-NSGA-II,Bratu,2,12.8317003615,1.0300868712,1,1
PI-NSGA-II,Bratu,2,12.8317003615,1.0300868712,1,1
PI-NSGA-II,Bratu,2,0.7095778014,0.9189779656,6,1
PI-NSGA-II,Bratu,2,3.4006503590,0.6473674003,7,1
PI-NSGA-II,Bratu,2,4.3950431766,0.6746084479,3,1
