x,y,u_exact,u_approx
0,0,1,1
0,0.02,0.99005,0.987522
0,0.04,0.980199,0.975199
0,0.06,0.970446,0.963031
0,0.08,0.960789,0.951014
0,0.1,0.951229,0.939147
0,0.12,0.941765,0.927428
0,0.14,0.932394,0.915855
0,0.16,0.923116,0.904427
0,0.18,0.913931,0.893141
0,0.2,0.904837,0.881996
0,0.22,0.895834,0.870991
0,0.24,0.88692,0.860122
0,0.26,0.878095,0.84939
0,0.28,0.869358,0.838791
0,0.3,0.860708,0.828324
0,0.32,0.852144,0.817988
0,0.34,0.843665,0.807781
0,0.36,0.83527,0.797701
0,0.38,0.826959,0.787747
0,0.4,0.818731,0.777918
0,0.42,0.810584,0.768211
0,0.44,0.802519,0.758625
0,0.46,0.794534,0.749159
0,0.48,0.786628,0.73981
0,0.5,0.778801,0.730579
0,0.52,0.771052,0.721463
0,0.54,0.763379,0.71246
0,0.56,0.755784,0.70357
0,0.58,0.748264,0.694791
0,0.6,0.740818,0.686121
0,0.62,0.733447,0.677559
0,0.64,0.726149,0.669104
0,0.66,0.718924,0.660755
0,0.68,0.71177,0.65251
0,0.7,0.704688,0.644368
0,0.72,0.697676,0.636327
0,0.74,0.690734,0.628387
0,0.76,0.683861,0.620546
0,0.78,0.677057,0.612803
0,0.8,0.67032,0.605156
0,0.82,0.66365,0.597605
0,0.84,0.657047,0.590148
0,0.86,0.650509,0.582784
0,0.88,0.644036,0.575512
0,0.9,0.637628,0.56833
0,0.92,0.631284,0.561239
0,0.94,0.625002,0.554235
0,0.96,0.618783,0.547319
0,0.98,0.612626,0.54049
0,1,0.606531,0.533746
0.02,0,0.99005,0.987522
0.02,0.02,0.980199,0.975199
0.02,0.04,0.970446,0.963031
0.02,0.06,0.960789,0.951014
0.02,0.08,0.951229,0.939147
0.02,0.1,0.941765,0.927428
0.02,0.12,0.932394,0.915855
0.02,0.14,0.923116,0.904427
0.02,0.16,0.913931,0.893141
0.02,0.18,0.904837,0.881996
0.02,0.2,0.895834,0.870991
0.02,0.22,0.88692,0.860122
0.02,0.24,0.878095,0.84939
0.02,0.26,0.869358,0.838791
0.02,0.28,0.860708,0.828324
0.02,0.3,0.852144,0.817988
0.02,0.32,0.843665,0.807781
0.02,0.34,0.83527,0.797701
0.02,0.36,0.826959,0.787747
