method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.0297396478,0.1629409162,6,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.0307257769,0.1578034901,6,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
PI-NSGA-II,Duffing,2,0.0265130848,0.3381351561,6,1
PI-NSGA-II,Duffing,2,0.0262408185,0.3624344600,6,1
PI-NSGA-II,Duffing,2,0.4845607586,0.0000000000,4,1
