x,y,u_exact,u_approx
0,0,0,0
0,0.02,0.0199973,0.019564
0,0.04,0.0399787,0.0391124
0,0.06,0.0599281,0.0586296
0,0.08,0.0798298,0.0781
0,0.1,0.099668,0.0975084
0,0.12,0.119427,0.11684
0,0.14,0.139092,0.136079
0,0.16,0.158649,0.155211
0,0.18,0.178081,0.174222
0,0.2,0.197375,0.193099
0,0.22,0.216518,0.211827
0,0.24,0.235496,0.230393
0,0.26,0.254296,0.248785
0,0.28,0.272905,0.266992
0,0.3,0.291313,0.285
0,0.32,0.309507,0.302801
0,0.34,0.327477,0.320382
0,0.36,0.345214,0.337734
0,0.38,0.362707,0.354848
0,0.4,0.379949,0.371716
0,0.42,0.39693,0.38833
0,0.44,0.413644,0.404682
0,0.46,0.430084,0.420765
0,0.48,0.446244,0.436574
0,0.5,0.462117,0.452104
0,0.52,0.4777,0.467349
0,0.54,0.492988,0.482306
0,0.56,0.507977,0.496971
0,0.58,0.522665,0.51134
0,0.6,0.53705,0.525413
0,0.62,0.551128,0.539186
0,0.64,0.5649,0.552659
0,0.66,0.578363,0.565832
0,0.68,0.591519,0.578702
0,0.7,0.604368,0.591272
0,0.72,0.616909,0.603542
0,0.74,0.629145,0.615513
0,0.76,0.641077,0.627186
0,0.78,0.652707,0.638564
0,0.8,0.664037,0.649649
0,0.82,0.67507,0.660443
0,0.84,0.685809,0.670949
0,0.86,0.696258,0.681171
0,0.88,0.706419,0.691113
0,0.9,0.716298,0.700777
0,0.92,0.725897,0.710169
0,0.94,0.735222,0.719292
0,0.96,0.744277,0.72815
0,0.98,0.753066,0.736749
0,1,0.761594,0.745092
0.02,0,0.0199973,0
0.02,0.02,0.0399787,0.019564
0.02,0.04,0.0599281,0.0391124
0.02,0.06,0.0798298,0.0586296
0.02,0.08,0.099668,0.0781
0.02,0.1,0.119427,0.0975084
0.02,0.12,0.139092,0.11684
0.02,0.14,0.158649,0.136079
0.02,0.16,0.178081,0.155211
0.02,0.18,0.197375,0.174222
0.02,0.2,0.216518,0.193099
0.02,0.22,0.235496,0.211827
0.02,0.24,0.254296,0.230393
0.02,0.26,0.272905,0.248785
0.02,0.28,0.291313,0.266992
0.02,0.3,0.309507,0.285
0.02,0.32,0.327477,0.302801
0.02,0.34,0.345214,0.320382
0.02,0.36,0.362707,0.337734
0.02,0.38,0.379949,0.354848
0.02,0.4,0.39693,0.371716
0.02,0.42,0.413644,0.38833
0.02,0.44,0.430084,0.404682
0.02,0.46,0.446244,0.420765
0.02,0.48,0.462117,0.436574
0.02,0.5,0.4777,0.452104
0.02,0.52,0.492988,0.467349
0.02,0.54,0.507977,0.482306
0.02,0.56,0.522665,0.496971
0.02,0.58,0.53705,0.51134
0.02,0.6,0.551128,0.525413
0.02,0.62,0.5649,0.539186
0.02,0.64,0.578363,0.552659
0.02,0.66,0.591519,0.565832
0.02,0.68,0.604368,0.578702
0.02,0.7,0.616909,0.591272
0.02,0.72,0.629145,0.603542
0.02,0.74,0.641077,0.615513
0.02,0.76,0.652707,0.627186
0.02,0.78,0.664037,0.638564
0.02,0.8,0.67507,0.649649
0.02,0.82,0.685809,0.660443
0.02,0.84,0.696258,0.670949
0.02,0.86,0.706419,0.681171
0.02,0.88,0.716298,0.691113
0.02,0.9,0.725897,0.700777
0.02,0.92,0.735222,0.710169
0.02,0.94,0.744277,0.719292
0.02,0.96,0.753066,0.72815
0.02,0.98,0.761594,0.736749
