x,u_exact,u_approx
0,1,1
0.01,0.999983,0.999983
0.02,0.999933,0.999933
0.03,0.99985,0.99985
0.04,0.999733,0.999733
0.05,0.999583,0.999583
0.06,0.9994,0.9994
0.07,0.999183,0.999183
0.08,0.998933,0.998933
0.09,0.99865,0.99865
0.1,0.998333,0.998333
0.11,0.997983,0.997983
0.12,0.9976,0.9976
0.13,0.997183,0.997183
0.14,0.996733,0.996733
0.15,0.99625,0.99625
0.16,0.995733,0.995733
0.17,0.995183,0.995183
0.18,0.9946,0.9946
0.19,0.993983,0.993983
0.2,0.993333,0.993333
0.21,0.99265,0.99265
0.22,0.991933,0.991933
0.23,0.991183,0.991183
0.24,0.9904,0.9904
0.25,0.989583,0.989583
0.26,0.988733,0.988733
0.27,0.98785,0.98785
0.28,0.986933,0.986933
0.29,0.985983,0.985983
0.3,0.985,0.985
0.31,0.983983,0.983983
0.32,0.982933,0.982933
0.33,0.98185,0.98185
0.34,0.980733,0.980733
0.35,0.979583,0.979583
0.36,0.9784,0.9784
0.37,0.977183,0.977183
0.38,0.975933,0.975933
0.39,0.97465,0.97465
0.4,0.973333,0.973333
0.41,0.971983,0.971983
0.42,0.9706,0.9706
0.43,0.969183,0.969183
0.44,0.967733,0.967733
0.45,0.96625,0.96625
0.46,0.964733,0.964733
0.47,0.963183,0.963183
0.48,0.9616,0.9616
0.49,0.959983,0.959983
0.5,0.958333,0.958333
0.51,0.95665,0.95665
0.52,0.954933,0.954933
0.53,0.953183,0.953183
0.54,0.9514,0.9514
0.55,0.949583,0.949583
0.56,0.947733,0.947733
0.57,0.94585,0.94585
0.58,0.943933,0.943933
0.59,0.941983,0.941983
0.6,0.94,0.94
0.61,0.937983,0.937983
0.62,0.935933,0.935933
0.63,0.93385,0.93385
0.64,0.931733,0.931733
0.65,0.929583,0.929583
0.66,0.9274,0.9274
0.67,0.925183,0.925183
0.68,0.922933,0.922933
0.69,0.92065,0.92065
0.7,0.918333,0.918333
0.71,0.915983,0.915983
0.72,0.9136,0.9136
0.73,0.911183,0.911183
0.74,0.908733,0.908733
0.75,0.90625,0.90625
0.76,0.903733,0.903733
0.77,0.901183,0.901183
0.78,0.8986,0.8986
0.79,0.895983,0.895983
0.8,0.893333,0.893333
0.81,0.89065,0.89065
0.82,0.887933,0.887933
0.83,0.885183,0.885183
0.84,0.8824,0.8824
0.85,0.879583,0.879583
0.86,0.876733,0.876733
0.87,0.87385,0.87385
0.88,0.870933,0.870933
0.89,0.867983,0.867983
0.9,0.865,0.865
0.91,0.861983,0.861983
0.92,0.858933,0.858933
0.93,0.85585,0.85585
0.94,0.852733,0.852733
0.95,0.849583,0.849583
0.96,0.8464,0.8464
0.97,0.843183,0.843183
0.98,0.839933,0.839933
0.99,0.83665,0.83665
1,0.833333,0.833333
