x,u_exact,u_approx
0,1,1
0.01,0.999898,0.99995
0.02,0.999796,0.9998
0.03,0.999498,0.99955
0.04,0.999192,0.9992
0.05,0.998699,0.998751
0.06,0.99819,0.998202
0.07,0.997502,0.997553
0.08,0.99679,0.996805
0.09,0.995908,0.995958
0.1,0.994994,0.995012
0.11,0.99392,0.993968
0.12,0.992804,0.992826
0.13,0.991538,0.991586
0.14,0.990223,0.990248
0.15,0.988767,0.988813
0.16,0.987255,0.987282
0.17,0.98561,0.985654
0.18,0.983901,0.983931
0.19,0.98207,0.982112
0.2,0.980167,0.980199
0.21,0.978151,0.978191
0.22,0.976057,0.97609
0.23,0.973859,0.973897
0.24,0.971576,0.971611
0.25,0.969198,0.969233
0.26,0.966729,0.966765
0.27,0.964173,0.964206
0.28,0.961521,0.961558
0.29,0.958792,0.958822
0.3,0.955959,0.955997
0.31,0.953059,0.953086
0.32,0.95005,0.950089
0.33,0.946981,0.947006
0.34,0.9438,0.943839
0.35,0.940566,0.940588
0.36,0.937216,0.937255
0.37,0.933821,0.93384
0.38,0.930306,0.930345
0.39,0.926754,0.92677
0.4,0.923078,0.923116
0.41,0.919372,0.919385
0.42,0.915539,0.915578
0.43,0.911685,0.911695
0.44,0.9077,0.907738
0.45,0.9037,0.903707
0.46,0.899568,0.899605
0.47,0.895427,0.895431
0.48,0.891152,0.891188
0.49,0.886875,0.886876
0.5,0.882462,0.882497
0.51,0.87805,0.878052
0.52,0.873508,0.873541
0.53,0.868963,0.868967
0.54,0.864299,0.864331
0.55,0.859627,0.859633
0.56,0.854845,0.854875
0.57,0.850051,0.850059
0.58,0.845156,0.845185
0.59,0.840245,0.840255
0.6,0.835244,0.83527
0.61,0.830221,0.830232
0.62,0.825117,0.825142
0.63,0.819989,0.820001
0.64,0.814787,0.81481
0.65,0.809559,0.809572
0.66,0.804265,0.804286
0.67,0.798942,0.798956
0.68,0.793562,0.793581
0.69,0.78815,0.788163
0.7,0.782687,0.782705
0.71,0.777192,0.777206
0.72,0.771653,0.771669
0.73,0.766081,0.766094
0.74,0.760471,0.760484
0.75,0.754827,0.75484
0.76,0.74915,0.749162
0.77,0.74344,0.743453
0.78,0.737703,0.737713
0.79,0.731933,0.731945
0.8,0.726141,0.726149
0.81,0.720316,0.720327
0.82,0.714473,0.71448
0.83,0.7086,0.70861
0.84,0.702712,0.702718
0.85,0.696795,0.696805
0.86,0.690868,0.690872
0.87,0.684914,0.684922
0.88,0.678952,0.678955
0.89,0.672966,0.672973
0.9,0.666975,0.666977
0.91,0.660962,0.660968
0.92,0.654946,0.654948
0.93,0.648913,0.648917
0.94,0.642877,0.642878
0.95,0.636828,0.636832
0.96,0.630778,0.630779
0.97,0.624719,0.624721
0.98,0.61866,0.61866
0.99,0.612595,0.612596
1,0.606531,0.606531
