x,u_exact,u_approx
0,1,1
0.01,0.999507,0.999507
0.02,0.998027,0.998027
0.03,0.995562,0.995562
0.04,0.992115,0.992115
0.05,0.987688,0.987688
0.06,0.982287,0.982287
0.07,0.975917,0.975917
0.08,0.968583,0.968583
0.09,0.960294,0.960294
0.1,0.951057,0.951057
0.11,0.940881,0.940881
0.12,0.929776,0.929776
0.13,0.917755,0.917755
0.14,0.904827,0.904827
0.15,0.891007,0.891007
0.16,0.876307,0.876307
0.17,0.860742,0.860742
0.18,0.844328,0.844328
0.19,0.827081,0.827081
0.2,0.809017,0.809017
0.21,0.790155,0.790155
0.22,0.770513,0.770513
0.23,0.750111,0.750111
0.24,0.728969,0.728969
0.25,0.707107,0.707107
0.26,0.684547,0.684547
0.27,0.661312,0.661312
0.28,0.637424,0.637424
0.29,0.612907,0.612907
0.3,0.587785,0.587785
0.31,0.562083,0.562083
0.32,0.535827,0.535827
0.33,0.509041,0.509041
0.34,0.481754,0.481754
0.35,0.45399,0.45399
0.36,0.425779,0.425779
0.37,0.397148,0.397148
0.38,0.368125,0.368125
0.39,0.338738,0.338738
0.4,0.309017,0.309017
0.41,0.278991,0.278991
0.42,0.24869,0.24869
0.43,0.218143,0.218143
0.44,0.187381,0.187381
0.45,0.156434,0.156434
0.46,0.125333,0.125333
0.47,0.0941083,0.0941083
0.48,0.0627905,0.0627905
0.49,0.0314108,0.0314108
0.5,6.12323e-17,6.12323e-17
0.51,-0.0314108,-0.0314108
0.52,-0.0627905,-0.0627905
0.53,-0.0941083,-0.0941083
0.54,-0.125333,-0.125333
0.55,-0.156434,-0.156434
0.56,-0.187381,-0.187381
0.57,-0.218143,-0.218143
0.58,-0.24869,-0.24869
0.59,-0.278991,-0.278991
0.6,-0.309017,-0.309017
0.61,-0.338738,-0.338738
0.62,-0.368125,-0.368125
0.63,-0.397148,-0.397148
0.64,-0.425779,-0.425779
0.65,-0.45399,-0.45399
0.66,-0.481754,-0.481754
0.67,-0.509041,-0.509041
0.68,-0.535827,-0.535827
0.69,-0.562083,-0.562083
0.7,-0.587785,-0.587785
0.71,-0.612907,-0.612907
0.72,-0.637424,-0.637424
0.73,-0.661312,-0.661312
0.74,-0.684547,-0.684547
0.75,-0.707107,-0.707107
0.76,-0.728969,-0.728969
0.77,-0.750111,-0.750111
0.78,-0.770513,-0.770513
0.79,-0.790155,-0.790155
0.8,-0.809017,-0.809017
0.81,-0.827081,-0.827081
0.82,-0.844328,-0.844328
0.83,-0.860742,-0.860742
0.84,-0.876307,-0.876307
0.85,-0.891007,-0.891007
0.86,-0.904827,-0.904827
0.87,-0.917755,-0.917755
0.88,-0.929776,-0.929776
0.89,-0.940881,-0.940881
0.9,-0.951057,-0.951057
0.91,-0.960294,-0.960294
0.92,-0.968583,-0.968583
0.93,-0.975917,-0.975917
0.94,-0.982287,-0.982287
0.95,-0.987688,-0.987688
0.96,-0.992115,-0.992115
0.97,-0.995562,-0.995562
0.98,-0.998027,-0.998027
0.99,-0.999507,-0.999507
1,-1,-1
