method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PI-NSGA-II,Allen-Cahn,2,0.0003556509,0.0039414333,8,1
PI-NSGA-II,Allen-Cahn,2,0.0013772288,0.0028882125,8,1
PI-NSGA-II,Allen-Cahn,2,0.0015977688,0.0027718725,8,1
PI-NSGA-II,Allen-Cahn,2,0.0014945398,0.0028840289,8,1
PI-NSGA-II,Allen-Cahn,2,0.0004750660,0.0038617798,8,1
PI-NSGA-II,Allen-Cahn,2,0.0002600194,0.0041192243,8,1
PI-NSGA-II,Allen-Cahn,2,0.0001651869,0.0043376342,8,1
PI-NSGA-II,Allen-Cahn,2,0.0000890041,0.0046856259,8,1
PI-NSGA-II,Allen-Cahn,2,0.0004811670,0.0041394227,8,1
PI-NSGA-II,Allen-Cahn,2,0.0006521906,0.0039145370,8,1
PI-NSGA-II,Allen-Cahn,2,0.0031191633,0.0022285709,8,1
PI-NSGA-II,Allen-Cahn,2,0.0005734232,0.0037491861,8,1
PI-NSGA-II,Allen-Cahn,2,0.0019148909,0.0032818458,8,1
PI-NSGA-II,Allen-Cahn,2,0.0011431027,0.0030868221,8,1
PI-NSGA-II,Allen-Cahn,2,0.0004279883,0.0038544890,8,1
PI-NSGA-II,Allen-Cahn,2,0.0009599133,0.0032214672,8,1
PI-NSGA-II,Allen-Cahn,2,0.0003065182,0.0042238440,8,1
PI-NSGA-II,Allen-Cahn,2,0.0006315702,0.0042040111,8,1
PI-NSGA-II,Allen-Cahn,2,0.0003870630,0.0039770543,8,1
PI-NSGA-II,Allen-Cahn,2,0.0003824770,0.0039559593,8,1
PI-NSGA-II,Allen-Cahn,2,0.0004348604,0.0040393426,8,1
PI-NSGA-II,Allen-Cahn,2,0.0005905625,0.0035993871,8,1
PI-NSGA-II,Allen-Cahn,2,0.0010838641,0.0034499471,8,1
PI-NSGA-II,Allen-Cahn,2,0.0006913369,0.0035847408,8,1
PI-NSGA-II,Allen-Cahn,2,0.0022653330,0.0023845501,8,1
PI-NSGA-II,Allen-Cahn,2,0.0005157245,0.0042554101,8,1
PI-NSGA-II,Allen-Cahn,2,0.0009497456,0.0032589046,8,1
PI-NSGA-II,Allen-Cahn,2,0.0014375872,0.0031032704,8,1
PI-NSGA-II,Allen-Cahn,2,0.0015427616,0.0028513525,8,1
PI-NSGA-II,Allen-Cahn,2,0.0027024523,0.0021921496,8,1
PI-NSGA-II,Allen-Cahn,2,0.0001767790,0.0044321874,8,1
PI-NSGA-II,Allen-Cahn,2,0.0003163436,0.0044603038,8,1
PI-NSGA-II,Allen-Cahn,2,0.0005947707,0.0039254523,8,1
PI-NSGA-II,Allen-Cahn,2,0.0003491960,0.0039870862,8,1
PI-NSGA-II,Allen-Cahn,2,0.0016012608,0.0027649597,8,1
PI-NSGA-II,Allen-Cahn,2,0.0015848890,0.0027507258,8,1
PI-NSGA-II,Allen-Cahn,2,0.0003613511,0.0042669495,8,1
PI-NSGA-II,Allen-Cahn,2,0.0003277870,0.0041061793,8,1
PI-NSGA-II,Allen-Cahn,2,0.0002734398,0.0041768469,8,1
PI-NSGA-II,Allen-Cahn,2,0.0000910676,0.0045841715,8,1
PI-NSGA-II,Allen-Cahn,2,0.0005022066,0.0045588847,8,1
PI-NSGA-II,Allen-Cahn,2,0.0007123476,0.0034944218,8,1
PI-NSGA-II,Allen-Cahn,2,0.0006141117,0.0037303389,8,1
PI-NSGA-II,Allen-Cahn,2,0.0000000302,0.0053356277,8,1
PI-NSGA-II,Allen-Cahn,2,0.0010220768,0.0035175771,8,1
PI-NSGA-II,Allen-Cahn,2,0.0005115201,0.0044202497,8,1
PI-NSGA-II,Allen-Cahn,2,0.0005289897,0.0039681434,8,1
PI-NSGA-II,Allen-Cahn,2,0.0003957445,0.0043705117,8,1
PI-NSGA-II,Allen-Cahn,2,0.0000984636,0.0056092153,8,1
PI-NSGA-II,Allen-Cahn,2,0.0005693301,0.0044499383,8,1
PI-NSGA-II,Allen-Cahn,2,0.0314527891,0.0000000000,8,1
PI-NSGA-II,Allen-Cahn,2,0.0314527891,0.0000000000,8,1
PI-NSGA-II,Allen-Cahn,2,0.0314527891,0.0000000000,8,1
PI-NSGA-II,Allen-Cahn,2,0.0314527891,0.0000000000,8,1
PI-NSGA-II,Allen-Cahn,2,0.0314527891,0.0000000000,8,1
PI-NSGA-II,Allen-Cahn,2,0.0314527891,0.0000000000,8,1
PI-NSGA-II,Allen-Cahn,2,0.0647089797,0.6507219552,6,1
PI-NSGA-II,Allen-Cahn,2,0.0314527891,0.0000000000,8,1
PI-NSGA-II,Allen-Cahn,2,0.0314527891,0.0000000000,8,1
PI-NSGA-II,Allen-Cahn,2,0.0314527891,0.0000000000,8,1
PI-NSGA-II,Allen-Cahn,2,0.0314527891,0.0000000000,8,1
PI-NSGA-II,Allen-Cahn,2,0.0314527891,0.0000000000,8,1
PI-NSGA-II,Allen-Cahn,2,0.0314527891,0.0000000000,8,1
PI-NSGA-II,Allen-Cahn,2,0.0314527891,0.0000000000,8,1
PI-NSGA-II,Allen-Cahn,2,0.0314527891,0.0000000000,8,1
PI-NSGA-II,Allen-Cahn,2,0.0314527891,0.0000000000,8,1
PI-NSGA-II,Allen-Cahn,2,0.0314527891,0.0000000000,8,1
PI-NSGA-II,Allen-Cahn,2,0.0314527891,0.0000000000,8,1
PI-NSGA-II,Allen-Cahn,2,0.0643382346,0.6515109526,6,1
PI-NSGA-II,Allen-Cahn,2,0.0058121356,0.8659814538,1,1
PI-NSGA-II,Allen-Cahn,2,0.0000000000,0.8556721112,2,1
PI-NSGA-II,Allen-Cahn,2,0.0789634882,0.8297205443,1,1
PI-NSGA-II,Allen-Cahn,2,0.0000000000,0.8556721112,2,1
PI-NSGA-II,Allen-Cahn,2,0.0000000000,0.8556721112,4,1
PI-NSGA-II,Allen-Cahn,2,0.0761452739,0.8379427967,1,1
PI-NSGA-II,Allen-Cahn,2,0.0000000000,0.8556721112,2,1
PI-NSGA-II,Allen-Cahn,2,0.0314527891,0.0000000000,8,1
PI-NSGA-II,Allen-Cahn,2,0.0950255747,0.7793135239,3,1
PI-NSGA-II,Allen-Cahn,2,0.0000000000,1.1788827143,9,1
PI-NSGA-II,Allen-Cahn,2,0.0935301276,0.7875796848,3,1
PI-NSGA-II,Allen-Cahn,2,0.0019923644,0.0026977831,8,1
PI-NSGA-II,Allen-Cahn,2,0.0000000000,0.8556721112,2,1
PI-NSGA-II,Allen-Cahn,2,0.0938199888,0.7905294259,2,1
PI-NSGA-II,Allen-Cahn,2,0.0789634882,0.8297205443,1,1
PI-NSGA-II,Allen-Cahn,2,0.0670333660,0.2754372243,6,1
PI-NSGA-II,Allen-Cahn,2,0.0643559299,0.6513934409,6,1
PI-NSGA-II,Allen-Cahn,2,0.0761452739,0.8379427967,1,1
PI-NSGA-II,Allen-Cahn,2,0.0000000000,1.2353260611,8,1
PI-NSGA-II,Allen-Cahn,2,0.0035870186,0.0019222058,8,1
PI-NSGA-II,Allen-Cahn,2,0.0000002687,0.0220442899,8,1
PI-NSGA-II,Allen-Cahn,2,0.0789634882,0.8297205443,1,1
PI-NSGA-II,Allen-Cahn,2,0.0938199888,0.7905294259,2,1
PI-NSGA-II,Allen-Cahn,2,0.0869125330,0.8111395674,2,1
PI-NSGA-II,Allen-Cahn,2,0.0000000000,1.6351871647,8,1
PI-NSGA-II,Allen-Cahn,2,0.0000000000,0.8556721112,10,1
PI-NSGA-II,Allen-Cahn,2,0.0647452339,0.6507177499,6,1
PI-NSGA-II,Allen-Cahn,2,0.0000000000,1.9134153554,8,1
PI-NSGA-II,Allen-Cahn,2,0.0005035924,1.7758880256,1,1
PI-NSGA-II,Allen-Cahn,2,0.0000000000,0.8556721112,4,1
PI-NSGA-II,Allen-Cahn,2,0.0314527891,0.0000000000,8,1
PI-NSGA-II,Allen-Cahn,2,0.0000000000,0.8556721112,2,1
PI-NSGA-II,Allen-Cahn,2,0.0006935846,0.8548448775,7,1
PI-NSGA-II,Allen-Cahn,2,0.0552073873,0.5972698597,7,1
PI-NSGA-II,Allen-Cahn,2,0.0006935846,0.8548448775,7,1
PI-NSGA-II,Allen-Cahn,2,0.0000000000,1.9134135417,8,1
PI-NSGA-II,Allen-Cahn,2,0.0000000000,1.9134153554,8,1
PI-NSGA-II,Allen-Cahn,2,0.0000000000,0.8556721112,4,1
PI-NSGA-II,Allen-Cahn,2,0.0670565572,0.2741187197,6,1
PI-NSGA-II,Allen-Cahn,2,0.0919491872,0.7992520780,2,1
PI-NSGA-II,Allen-Cahn,2,0.0789634882,0.8297205443,1,1
PI-NSGA-II,Allen-Cahn,2,0.0891070614,0.8024087280,2,1
PI-NSGA-II,Allen-Cahn,2,0.0000002842,0.0062687542,8,1
