method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PI-NSGA-II,ThomasFermi,2,0.1160142226,0.1720952902,9,1
PI-NSGA-II,ThomasFermi,2,0.0583272659,0.2360860602,9,1
PI-NSGA-II,ThomasFermi,2,0.0889196189,0.2401199013,9,1
PI-NSGA-II,ThomasFermi,2,0.4068301784,0.0899598940,9,1
PI-NSGA-II,ThomasFermi,2,0.0843847251,0.2066767143,9,1
PI-NSGA-II,ThomasFermi,2,0.0888176304,0.2210805982,9,1
PI-NSGA-II,ThomasFermi,2,0.3443832777,0.1150478512,9,1
PI-NSGA-II,ThomasFermi,2,0.1719173237,0.1603074364,9,1
PI-NSGA-II,ThomasFermi,2,0.0715149325,0.2404641808,9,1
PI-NSGA-II,ThomasFermi,2,0.1129040860,0.2084685689,9,1
PI-NSGA-II,ThomasFermi,2,0.0762685402,0.2521486387,9,1
PI-NSGA-II,ThomasFermi,2,0.3335984503,0.1149989678,9,1
PI-NSGA-II,ThomasFermi,2,0.0784681019,0.2129054851,9,1
PI-NSGA-II,ThomasFermi,2,0.0798840865,0.2279645202,9,1
PI-NSGA-II,ThomasFermi,2,0.1057159552,0.1968199594,9,1
PI-NSGA-II,ThomasFermi,2,0.0720767670,0.2427596973,9,1
PI-NSGA-II,ThomasFermi,2,0.1499291570,0.1817483584,9,1
PI-NSGA-II,ThomasFermi,2,0.2234297635,0.1303250402,9,1
PI-NSGA-II,ThomasFermi,2,0.1533673469,0.1593433234,9,1
PI-NSGA-II,ThomasFermi,2,0.1656293079,0.1706780884,9,1
PI-NSGA-II,ThomasFermi,2,0.0580065708,0.2610368346,9,1
PI-NSGA-II,ThomasFermi,2,0.0538365567,0.2394358566,9,1
PI-NSGA-II,ThomasFermi,2,0.0697621356,0.2424474305,9,1
PI-NSGA-II,ThomasFermi,2,0.2665594314,0.1379644788,9,1
PI-NSGA-II,ThomasFermi,2,0.0927237128,0.1961789189,9,1
PI-NSGA-II,ThomasFermi,2,0.0664450444,0.2212061167,9,1
PI-NSGA-II,ThomasFermi,2,0.2925386334,0.1122214833,9,1
PI-NSGA-II,ThomasFermi,2,0.1157261548,0.1765288374,9,1
PI-NSGA-II,ThomasFermi,2,0.0734299950,0.2306684523,9,1
PI-NSGA-II,ThomasFermi,2,0.0726025992,0.2317118999,9,1
PI-NSGA-II,ThomasFermi,2,0.0892673990,0.2097490993,9,1
PI-NSGA-II,ThomasFermi,2,0.1514944202,0.1604749924,9,1
PI-NSGA-II,ThomasFermi,2,0.2964011109,0.1171944014,9,1
PI-NSGA-II,ThomasFermi,2,0.0561092316,0.2514919827,9,1
PI-NSGA-II,ThomasFermi,2,0.0518426536,0.2519919061,9,1
PI-NSGA-II,ThomasFermi,2,0.0532743510,0.2345672687,9,1
PI-NSGA-II,ThomasFermi,2,0.0727026944,0.2270462894,9,1
PI-NSGA-II,ThomasFermi,2,0.2673655979,0.1144283348,9,1
PI-NSGA-II,ThomasFermi,2,0.2830586244,0.1298308561,9,1
PI-NSGA-II,ThomasFermi,2,0.0645419386,0.2353290688,9,1
PI-NSGA-II,ThomasFermi,2,0.1988068764,0.1560871376,9,1
PI-NSGA-II,ThomasFermi,2,0.2981928386,0.1329523585,9,1
PI-NSGA-II,ThomasFermi,2,0.1644203468,0.1624846695,9,1
PI-NSGA-II,ThomasFermi,2,0.1022470279,0.2092076051,9,1
PI-NSGA-II,ThomasFermi,2,0.0810515753,0.2187603703,9,1
PI-NSGA-II,ThomasFermi,2,0.0673770565,0.2416949283,9,1
PI-NSGA-II,ThomasFermi,2,0.1808828007,0.1465682846,9,1
PI-NSGA-II,ThomasFermi,2,0.4829143482,0.0967998907,9,1
PI-NSGA-II,ThomasFermi,2,0.0660342428,0.2562438191,9,1
PI-NSGA-II,ThomasFermi,2,0.0588450710,0.2328402698,9,1
PI-NSGA-II,ThomasFermi,2,3.0238123105,0.0000000000,9,1
PI-NSGA-II,ThomasFermi,2,1.0746151006,0.0276239826,11,1
PI-NSGA-II,ThomasFermi,2,3.0238123105,0.0000000000,9,1
PI-NSGA-II,ThomasFermi,2,3.0238123105,0.0000000000,9,1
PI-NSGA-II,ThomasFermi,2,1.0746151006,0.0276239826,11,1
PI-NSGA-II,ThomasFermi,2,3.0238123105,0.0000000000,9,1
PI-NSGA-II,ThomasFermi,2,1.0746151006,0.0276239826,11,1
