method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PI-NSGA-II,Airy,2,0.0449161076,0.0055148984,6,1
PI-NSGA-II,Airy,2,0.0451335528,0.0052937333,6,1
PI-NSGA-II,Airy,2,0.0448962719,0.0055383936,6,1
PI-NSGA-II,Airy,2,0.0450788363,0.0053443243,6,1
PI-NSGA-II,Airy,2,0.0449965925,0.0054261896,6,1
PI-NSGA-II,Airy,2,0.0450417818,0.0053802608,6,1
PI-NSGA-II,Airy,2,0.0449126565,0.0055189342,6,1
PI-NSGA-II,Airy,2,0.0449944302,0.0054284508,6,1
PI-NSGA-II,Airy,2,0.0449180547,0.0055126306,6,1
PI-NSGA-II,Airy,2,0.0452697155,0.0051783322,6,1
PI-NSGA-II,Airy,2,0.0450938858,0.0053301299,6,1
PI-NSGA-II,Airy,2,0.0450879344,0.0053357167,6,1
PI-NSGA-II,Airy,2,0.0450324684,0.0053895282,6,1
PI-NSGA-II,Airy,2,0.0449309460,0.0054977824,6,1
PI-NSGA-II,Airy,2,0.0450609636,0.0053614766,6,1
PI-NSGA-II,Airy,2,0.0449668214,0.0054578766,6,1
PI-NSGA-II,Airy,2,0.0450174472,0.0054046873,6,1
PI-NSGA-II,Airy,2,0.0450855689,0.0053379469,6,1
PI-NSGA-II,Airy,2,0.0450052286,0.0054172190,6,1
PI-NSGA-II,Airy,2,0.0450308768,0.0053911219,6,1
PI-NSGA-II,Airy,2,0.0450673096,0.0053553487,6,1
PI-NSGA-II,Airy,2,0.0449960536,0.0054267526,6,1
PI-NSGA-II,Airy,2,0.0450229071,0.0053991464,6,1
PI-NSGA-II,Airy,2,0.0449641898,0.0054607373,6,1
PI-NSGA-II,Airy,2,0.0449602671,0.0054650203,6,1
PI-NSGA-II,Airy,2,0.0450733190,0.0053495843,6,1
PI-NSGA-II,Airy,2,0.0450275957,0.0053944165,6,1
PI-NSGA-II,Airy,2,0.0450777328,0.0053453738,6,1
PI-NSGA-II,Airy,2,0.0450419364,0.0053801078,6,1
PI-NSGA-II,Airy,2,0.0448102984,0.0056501100,6,1
PI-NSGA-II,Airy,2,0.0452113960,0.0052261208,6,1
PI-NSGA-II,Airy,2,0.0451262740,0.0053003064,6,1
PI-NSGA-II,Airy,2,0.0450126645,0.0054095706,6,1
PI-NSGA-II,Airy,2,0.0449937442,0.0054291694,6,1
PI-NSGA-II,Airy,2,0.0450723027,0.0053505566,6,1
PI-NSGA-II,Airy,2,0.0449797757,0.0054439389,6,1
PI-NSGA-II,Airy,2,0.0450402590,0.0053817694,6,1
PI-NSGA-II,Airy,2,0.0450340771,0.0053879204,6,1
PI-NSGA-II,Airy,2,0.0450829329,0.0053404385,6,1
PI-NSGA-II,Airy,2,0.0450337916,0.0053882055,6,1
PI-NSGA-II,Airy,2,0.0449550178,0.0054707875,6,1
PI-NSGA-II,Airy,2,0.0449147701,0.0055164600,6,1
PI-NSGA-II,Airy,2,0.0450511822,0.0053710052,6,1
PI-NSGA-II,Airy,2,0.0449700972,0.0054543296,6,1
PI-NSGA-II,Airy,2,0.0451126453,0.0053127391,6,1
PI-NSGA-II,Airy,2,0.0450444651,0.0053776089,6,1
PI-NSGA-II,Airy,2,0.0452316745,0.0052092465,6,1
PI-NSGA-II,Airy,2,0.0452870614,0.0051645394,6,1
PI-NSGA-II,Airy,2,0.0450056860,0.0054167465,6,1
PI-NSGA-II,Airy,2,0.0450605589,0.0053618688,6,1
PI-NSGA-II,Airy,2,0.1088957491,0.0000000000,6,1
PI-NSGA-II,Airy,2,0.1088957491,0.0000000000,6,1
PI-NSGA-II,Airy,2,0.1088957491,0.0000000000,6,1
PI-NSGA-II,Airy,2,0.1088957491,0.0000000000,6,1
PI-NSGA-II,Airy,2,0.1088957491,0.0000000000,6,1
PI-NSGA-II,Airy,2,0.1088957491,0.0000000000,6,1
PI-NSGA-II,Airy,2,0.1088957491,0.0000000000,6,1
PI-NSGA-II,Airy,2,0.1088957491,0.0000000000,6,1
PI-NSGA-II,Airy,2,0.1088957491,0.0000000000,6,1
PI-NSGA-II,Airy,2,0.1088957491,0.0000000000,6,1
PI-NSGA-II,Airy,2,0.1088957491,0.0000000000,6,1
PI-NSGA-II,Airy,2,0.1088957491,0.0000000000,6,1
PI-NSGA-II,Airy,2,0.1088957491,0.0000000000,6,1
PI-NSGA-II,Airy,2,0.1088957491,0.0000000000,6,1
PI-NSGA-II,Airy,2,0.1088957491,0.0000000000,6,1
PI-NSGA-II,Airy,2,0.1088957491,0.0000000000,6,1
PI-NSGA-II,Airy,2,0.1088957491,0.0000000000,6,1
PI-NSGA-II,Airy,2,0.5075502578,0.0302563513,1,1
PI-NSGA-II,Airy,2,0.0292270123,0.2588116717,2,1
PI-NSGA-II,Airy,2,0.0007248052,0.4037954603,2,1
PI-NSGA-II,Airy,2,0.1870260912,0.0860078393,3,1
