method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000353777,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000180113,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0001447473,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000003927,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000518726,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000197002,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0001536154,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000003432,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0002812200,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000131592,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0005813469,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000115680,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0013341755,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000017957,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000236787,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0003532494,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000762777,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0002416747,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0003073436,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0006454075,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000548561,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000608141,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000946657,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0002504029,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000000632,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0002245600,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000087773,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000988786,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000009314,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0012391803,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000000514,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0001647522,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0004644035,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000980619,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000106255,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0006741675,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0001546045,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000228684,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000138991,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000000007,0.0000000000,14,1
PI-NSGA-II,Navier-Stokes-Unsteady,2,0.0000522386,0.0000000000,14,1
