x,y,u_exact,u_approx
0,0,-0.999999,-0.999947
0,0.02,-0.999998,-0.999935
0,0.04,-0.999997,-0.99992
0,0.06,-0.999997,-0.999901
0,0.08,-0.999996,-0.999877
0,0.1,-0.999994,-0.999848
0,0.12,-0.999992,-0.999813
0,0.14,-0.99999,-0.999769
0,0.16,-0.999986,-0.999714
0,0.18,-0.999982,-0.999647
0,0.2,-0.999976,-0.999564
0,0.22,-0.999968,-0.999462
0,0.24,-0.999957,-0.999335
0,0.26,-0.999943,-0.999179
0,0.28,-0.999924,-0.998986
0,0.3,-0.9999,-0.998748
0,0.32,-0.999867,-0.998454
0,0.34,-0.999823,-0.998091
0,0.36,-0.999765,-0.997642
0,0.38,-0.999689,-0.997089
0,0.4,-0.999587,-0.996406
0,0.42,-0.999452,-0.995562
0,0.44,-0.999273,-0.994522
0,0.46,-0.999036,-0.993238
0,0.48,-0.998721,-0.991655
0,0.5,-0.998303,-0.989703
0,0.52,-0.997749,-0.987298
0,0.54,-0.997014,-0.984335
0,0.56,-0.996039,-0.980687
0,0.58,-0.994748,-0.976201
0,0.6,-0.993037,-0.970688
0,0.62,-0.990772,-0.96392
0,0.64,-0.987774,-0.955626
0,0.66,-0.983809,-0.945478
0,0.68,-0.978573,-0.933088
0,0.7,-0.971668,-0.918001
0,0.72,-0.96258,-0.899689
0,0.74,-0.950649,-0.87755
0,0.76,-0.93504,-0.850907
0,0.78,-0.91471,-0.819025
0,0.8,-0.888386,-0.781133
0,0.82,-0.854553,-0.736456
0,0.84,-0.811488,-0.684276
0,0.86,-0.757341,-0.624002
0,0.88,-0.6903,-0.555259
0,0.9,-0.608859,-0.477988
0,0.92,-0.512184,-0.392536
0,0.94,-0.400517,-0.299723
0,0.96,-0.275534,-0.200867
0,0.98,-0.140486,-0.0977435
0,1,0,0.00752253
0.02,0,-0.999998,-0.999935
0.02,0.02,-0.999997,-0.99992
0.02,0.04,-0.999997,-0.999901
0.02,0.06,-0.999996,-0.999877
0.02,0.08,-0.999994,-0.999848
0.02,0.1,-0.999992,-0.999813
0.02,0.12,-0.99999,-0.999769
0.02,0.14,-0.999986,-0.999714
0.02,0.16,-0.999982,-0.999647
0.02,0.18,-0.999976,-0.999564
0.02,0.2,-0.999968,-0.999462
0.02,0.22,-0.999957,-0.999335
0.02,0.24,-0.999943,-0.999179
0.02,0.26,-0.999924,-0.998986
0.02,0.28,-0.9999,-0.998748
0.02,0.3,-0.999867,-0.998454
0.02,0.32,-0.999823,-0.998091
0.02,0.34,-0.999765,-0.997642
0.02,0.36,-0.999689,-0.997089
0.02,0.38,-0.999587,-0.996406
0.02,0.4,-0.999452,-0.995562
0.02,0.42,-0.999273,-0.994522
0.02,0.44,-0.999036,-0.993238
0.02,0.46,-0.998721,-0.991655
0.02,0.48,-0.998303,-0.989703
0.02,0.5,-0.997749,-0.987298
0.02,0.52,-0.997014,-0.984335
0.02,0.54,-0.996039,-0.980687
0.02,0.56,-0.994748,-0.976201
0.02,0.58,-0.993037,-0.970688
0.02,0.6,-0.990772,-0.96392
0.02,0.62,-0.987774,-0.955626
0.02,0.64,-0.983809,-0.945478
0.02,0.66,-0.978573,-0.933088
0.02,0.68,-0.971668,-0.918001
0.02,0.7,-0.96258,-0.899689
0.02,0.72,-0.950649,-0.87755
0.02,0.74,-0.93504,-0.850907
0.02,0.76,-0.91471,-0.819025
0.02,0.78,-0.888386,-0.781133
0.02,0.8,-0.854553,-0.736456
