x,y,u_exact,u_approx
0,0,0,0.541718
0,0.02,0.0199973,0.541717
0,0.04,0.0399787,0.541717
0,0.06,0.0599281,0.541716
0,0.08,0.0798298,0.541715
0,0.1,0.099668,0.541714
0,0.12,0.119427,0.541713
0,0.14,0.139092,0.541713
0,0.16,0.158649,0.541712
0,0.18,0.178081,0.541711
0,0.2,0.197375,0.54171
0,0.22,0.216518,0.54171
0,0.24,0.235496,0.541709
0,0.26,0.254296,0.541709
0,0.28,0.272905,0.541708
0,0.3,0.291313,0.541707
0,0.32,0.309507,0.541707
0,0.34,0.327477,0.541706
0,0.36,0.345214,0.541706
0,0.38,0.362707,0.541706
0,0.4,0.379949,0.541705
0,0.42,0.39693,0.541705
0,0.44,0.413644,0.541704
0,0.46,0.430084,0.541704
0,0.48,0.446244,0.541704
0,0.5,0.462117,0.541703
0,0.52,0.4777,0.541703
0,0.54,0.492988,0.541703
0,0.56,0.507977,0.541702
0,0.58,0.522665,0.541702
0,0.6,0.53705,0.541702
0,0.62,0.551128,0.541701
0,0.64,0.5649,0.541701
0,0.66,0.578363,0.541701
0,0.68,0.591519,0.541701
0,0.7,0.604368,0.5417
0,0.72,0.616909,0.5417
0,0.74,0.629145,0.5417
0,0.76,0.641077,0.5417
0,0.78,0.652707,0.5417
0,0.8,0.664037,0.5417
0,0.82,0.67507,0.541699
0,0.84,0.685809,0.541699
0,0.86,0.696258,0.541699
0,0.88,0.706419,0.541699
0,0.9,0.716298,0.541699
0,0.92,0.725897,0.541699
0,0.94,0.735222,0.541699
0,0.96,0.744277,0.541698
0,0.98,0.753066,0.541698
0,1,0.761594,0.541698
0.02,0,0.0199973,0.550232
0.02,0.02,0.0399787,0.550231
0.02,0.04,0.0599281,0.55023
0.02,0.06,0.0798298,0.550229
0.02,0.08,0.099668,0.550228
0.02,0.1,0.119427,0.550227
0.02,0.12,0.139092,0.550227
0.02,0.14,0.158649,0.550226
0.02,0.16,0.178081,0.550225
0.02,0.18,0.197375,0.550225
0.02,0.2,0.216518,0.550224
0.02,0.22,0.235496,0.550223
0.02,0.24,0.254296,0.550223
0.02,0.26,0.272905,0.550222
0.02,0.28,0.291313,0.550221
0.02,0.3,0.309507,0.550221
0.02,0.32,0.327477,0.55022
0.02,0.34,0.345214,0.55022
0.02,0.36,0.362707,0.550219
0.02,0.38,0.379949,0.550219
0.02,0.4,0.39693,0.550219
0.02,0.42,0.413644,0.550218
0.02,0.44,0.430084,0.550218
0.02,0.46,0.446244,0.550217
0.02,0.48,0.462117,0.550217
0.02,0.5,0.4777,0.550217
0.02,0.52,0.492988,0.550216
0.02,0.54,0.507977,0.550216
0.02,0.56,0.522665,0.550216
0.02,0.58,0.53705,0.550215
0.02,0.6,0.551128,0.550215
0.02,0.62,0.5649,0.550215
0.02,0.64,0.578363,0.550215
0.02,0.66,0.591519,0.550214
0.02,0.68,0.604368,0.550214
0.02,0.7,0.616909,0.550214
0.02,0.72,0.629145,0.550214
0.02,0.74,0.641077,0.550214
0.02,0.76,0.652707,0.550213
0.02,0.78,0.664037,0.550213
0.02,0.8,0.67507,0.550213
0.02,0.82,0.685809,0.550213
0.02,0.84,0.696258,0.550213
0.02,0.86,0.706419,0.550213
0.02,0.88,0.716298,0.550212
0.02,0.9,0.725897,0.550212
0.02,0.92,0.735222,0.550212
0.02,0.94,0.744277,0.550212
0.02,0.96,0.753066,0.550212
0.02,0.98,0.761594,0.550212
0.02,1,0.769867,0.550212
0.04,0,0.0399787,0.558625
0.04,0.02,0.0599281,0.558624
0.04,0.04,0.0798298,0.558624
0.04,0.06,0.099668,0.558623
0.04,0.08,0.119427,0.558622
0.04,0.1,0.139092,0.558621
0.04,0.12,0.158649,0.55862
0.04,0.14,0.178081,0.55862
0.04,0.16,0.197375,0.558619
0.04,0.18,0.216518,0.558618
0.04,0.2,0.235496,0.558618
0.04,0.22,0.254296,0.558617
0.04,0.24,0.272905,0.558616
0.04,0.26,0.291313,0.558616
0.04,0.28,0.309507,0.558615
0.04,0.3,0.327477,0.558615
0.04,0.32,0.345214,0.558614
0.04,0.34,0.362707,0.558614
0.04,0.36,0.379949,0.558613
0.04,0.38,0.39693,0.558613
0.04,0.4,0.413644,0.558612
0.04,0.42,0.430084,0.558612
0.04,0.44,0.446244,0.558612
0.04,0.46,0.462117,0.558611
0.04,0.48,0.4777,0.558611
0.04,0.5,0.492988,0.55861
0.04,0.52,0.507977,0.55861
0.04,0.54,0.522665,0.55861
0.04,0.56,0.53705,0.55861
0.04,0.58,0.551128,0.558609
0.04,0.6,0.5649,0.558609
0.04,0.62,0.578363,0.558609
0.04,0.64,0.591519,0.558608
0.04,0.66,0.604368,0.558608
0.04,0.68,0.616909,0.558608
0.04,0.7,0.629145,0.558608
0.04,0.72,0.641077,0.558608
0.04,0.74,0.652707,0.558607
0.04,0.76,0.664037,0.558607
0.04,0.78,0.67507,0.558607
0.04,0.8,0.685809,0.558607
0.04,0.82,0.696258,0.558607
0.04,0.84,0.706419,0.558607
0.04,0.86,0.716298,0.558606
0.04,0.88,0.725897,0.558606
0.04,0.9,0.735222,0.558606
0.04,0.92,0.744277,0.558606
0.04,0.94,0.753066,0.558606
0.04,0.96,0.761594,0.558606
0.04,0.98,0.769867,0.558606
0.04,1,0.777888,0.558606
0.06,0,0.0599281,0.566893
0.06,0.02,0.0798298,0.566892
0.06,0.04,0.099668,0.566891
0.06,0.06,0.119427,0.56689
0.06,0.08,0.139092,0.566889
0.06,0.1,0.158649,0.566888
0.06,0.12,0.178081,0.566888
0.06,0.14,0.197375,0.566887
0.06,0.16,0.216518,0.566886
0.06,0.18,0.235496,0.566886
0.06,0.2,0.254296,0.566885
0.06,0.22,0.272905,0.566884
0.06,0.24,0.291313,0.566884
0.06,0.26,0.309507,0.566883
0.06,0.28,0.327477,0.566883
0.06,0.3,0.345214,0.566882
0.06,0.32,0.362707,0.566882
0.06,0.34,0.379949,0.566881
0.06,0.36,0.39693,0.566881
0.06,0.38,0.413644,0.56688
0.06,0.4,0.430084,0.56688
0.06,0.42,0.446244,0.566879
0.06,0.44,0.462117,0.566879
0.06,0.46,0.4777,0.566879
0.06,0.48,0.492988,0.566878
0.06,0.5,0.507977,0.566878
0.06,0.52,0.522665,0.566878
0.06,0.54,0.53705,0.566877
0.06,0.56,0.551128,0.566877
0.06,0.58,0.5649,0.566877
0.06,0.6,0.578363,0.566876
0.06,0.62,0.591519,0.566876
0.06,0.64,0.604368,0.566876
0.06,0.66,0.616909,0.566876
0.06,0.68,0.629145,0.566876
0.06,0.7,0.641077,0.566875
0.06,0.72,0.652707,0.566875
0.06,0.74,0.664037,0.566875
0.06,0.76,0.67507,0.566875
0.06,0.78,0.685809,0.566875
