method,pde,pareto_size,best_mse_domain,best_mse_boundary,mean_mse_domain,mean_mse_boundary,hypervolume,runtime_s
PI-NSGA-II,Laplace_1D,173,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0327559540
RK4/FDM,Laplace_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000091200
PI-NSGA-II,Poisson_1D,165,0.0000000000,0.0000000000,2.6419810172,0.0014430454,0.7465260926,0.0450129450
RK4/FDM,Poisson_1D,1,1.9599999655,0.0000000000,1.9599999655,0.0000000000,0.0000000000,0.0000201750
PI-NSGA-II,Helmholtz_1D,175,0.0000000000,0.0000000000,2.8915004588,0.0041497428,0.7471382758,0.0472647560
RK4/FDM,Helmholtz_1D,1,1.9599999382,0.0000000000,1.9599999382,0.0000000000,0.0000000000,0.0000668480
PI-NSGA-II,Schrodinger_1D,179,0.0000000000,0.0000000000,0.0000000000,0.0502793296,0.8332500000,0.0424796720
RK4/FDM,Schrodinger_1D,1,0.4914014268,0.0000000000,0.4914014268,0.0000000000,0.0000000000,0.0000098920
PI-NSGA-II,HarmonicOscillator_1D,184,0.0000000000,0.0000000000,0.0136909923,0.0900938801,0.4999771542,0.0366741270
RK4/FDM,HarmonicOscillator_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000073170
PI-NSGA-II,Airy_1D,149,0.0000000000,0.0000000000,0.0493073578,0.1767738947,0.9565195574,0.0695400230
RK4/FDM,Airy_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000074910
PI-NSGA-II,Fisher_1D,189,0.0000000000,0.0000000000,0.1479447767,0.0272975933,0.9565216990,0.0456330100
RK4/FDM,Fisher_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000210960
PI-NSGA-II,Duffing_1D,197,0.0000000000,0.0000000000,0.0893623350,0.0255676613,0.9565216989,0.0428172670
RK4/FDM,Duffing_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000244310
PI-NSGA-II,ThomasFermi_1D,110,0.0000000000,0.0000000000,0.0560720863,0.1647378239,0.9565190547,0.1328956690
RK4/FDM,ThomasFermi_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000313010
PI-NSGA-II,Laplace_2D,79,0.0000000000,0.0000000000,0.1046658151,0.0206450191,0.9090835249,0.2633186600
RK4/FDM,Laplace_2D,1,0.0000062306,0.0000000000,0.0000062306,0.0000000000,0.0000000000,0.0394983390
PI-NSGA-II,Poisson_2D,159,0.0000000000,0.0000000000,11.1330771504,0.0265262328,0.8819363877,0.0646554890
RK4/FDM,Poisson_2D,1,0.9450813646,0.0000000000,0.9450813646,0.0000000000,0.0000000000,0.1534356420
PI-NSGA-II,Helmholtz_2D,156,0.0000000000,0.0000000000,7.3944663353,0.0518353027,0.8835945643,0.0745442320
RK4/FDM,Helmholtz_2D,1,0.9414860071,0.0000000000,0.9414860071,0.0000000000,0.0000000000,0.2546872620
PI-NSGA-II,Schrodinger_2D,143,0.0000000000,0.0000000000,0.0000378664,0.0139793152,0.8749125359,0.0524606460
RK4/FDM,Schrodinger_2D,1,0.2401012177,0.0000000000,0.2401012177,0.0000000000,0.0000000000,0.0466903410
PI-NSGA-II,HarmonicOscillator_2D,174,0.0000000000,0.0000000000,0.0992604076,0.0616137167,0.7999971005,0.0548891150
RK4/FDM,HarmonicOscillator_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0436794800
PI-NSGA-II,Airy_2D,126,0.0000000000,0.0000000000,0.1607950904,0.0524205968,0.8749959689,0.0830787510
RK4/FDM,Airy_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0421033500
PI-NSGA-II,Fisher_2D,178,0.0000000001,0.0000000000,0.8052186023,0.0291015493,0.9166637999,0.0577682010
RK4/FDM,Fisher_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0410483610
PI-NSGA-II,Duffing_2D,175,0.0000517285,0.0000000000,0.4371492895,0.0289753373,0.8571257872,0.0577783130
RK4/FDM,Duffing_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0490513860
PI-NSGA-II,ThomasFermi_2D,111,0.0000000003,0.0000000000,0.6059434281,0.1701342342,0.9166624126,0.1674349040
RK4/FDM,ThomasFermi_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0508686380
PI-NSGA-II,NonlinearPoisson_2D,107,0.0000000000,0.0000000000,0.4112689159,0.0961926355,0.8888244490,0.1672410750
RK4/FDM,NonlinearPoisson_2D,1,0.0001150038,0.0000000000,0.0001150038,0.0000000000,0.0000000000,0.1158271040
PI-NSGA-II,Liouville_2D,103,0.0000000000,0.0000000000,0.3662811239,0.0880365572,0.8888460807,0.1737542440
RK4/FDM,Liouville_2D,1,0.0001504742,0.0000000000,0.0001504742,0.0000000000,0.0000000000,0.1805061770
PI-NSGA-II,ThomasFermi_2D,111,0.0000000003,0.0000000000,0.5948105427,0.1736423354,0.9166624126,0.1744417890
RK4/FDM,ThomasFermi_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0524129640
PI-NSGA-II,Navier-Stokes_2D,69,0.0000000000,0.0000000000,0.0011816550,0.0000008044,0.9333333328,1.0642423540
PI-NSGA-II,Navier-Stokes-Unsteady_2D,138,0.0000000000,0.0000000000,1.0982970237,0.0204470069,0.9285646436,1.2802688170
PI-NSGA-II,Bratu_2D,92,0.0000000000,0.0000000000,3.2286011288,2.6476330302,0.8747632793,0.2475050790
RK4/FDM,Bratu_2D,1,0.0000152097,0.0000000000,0.0000152097,0.0000000000,0.0000000000,0.0971327150
PI-NSGA-II,Allen-Cahn_2D,107,0.0000000000,0.0000000000,0.0263879589,0.2969631797,0.8999610354,0.1771208280
RK4/FDM,Allen-Cahn_2D,1,0.1375674152,0.0000000000,0.1375674152,0.0000000000,0.0000000000,0.0599574740
PI-NSGA-II,Lane-Emden_1D,83,0.0000000001,0.0000000000,0.1686746988,0.0631607108,0.8332420508,0.1347630420
RK4/FDM,Lane-Emden_1D,1,0.0036296290,0.0000000000,0.0036296290,0.0000000000,0.0000000000,0.0000172490
